Name,antibacterial ,antifungal,other function,target,class ,species,target types,BGC_id,
#arginomycin,yes,yes,,,other,streptomyces,gram pos,,
#bongkrekic acid,,yes,cytotoxic (to eukaryotes),adenine nucleotide translocase,pk,burkholderia,,,
#cerein,yes,,,,ripp,,gram pos,,
#clycloheximide,no,yes,,ribosome (eukaryotic only),polyketide,streptomyces,,,
#coelimycin,,,unknown (might have antibiotic activity),,polyketide,streptomyces,,,
#enterocin,yes,,,,pk,streptomyces,gram pos,,
#enterocin_a,yes,,,,ripp,enterococcus,gram pos,,
#From ripp miner:,,,,,,,,,
#gryncamycin,,,cytotoxic,,pk saccharide,streptomyces,,,
#mehtylpendolmycin,,,unknown,,nrp,marinactinospora,?,,
#phosphinothricin,yes,yes,herbicidal,glutamine synthetase,nrp,streptomyces,,,
#saquayamycin,yes,,cytotoxic; antitumor,,pk saccharide,micromonospora,gram pos,,
#sioxanthin,,,antioxidant; unknown,,terpene,salinospora,,,
#staph_aureus_carotenoid,,,pigment,,terpene,,,,
#streptococcin_a_m49,yes,,,,ripp,streptococcus,gram pos,,
#trunkamide,,,cytotoxic,,ripp,prochloron,,,
2_4_diacetylphloroglucinol,yes,yes,protects plants,,pk,,gram pos,BGC0000281,
2_amino_4_methoxy_trans_3_butenoic_acid,yes,,cytotoxic,,nrp,,?,BGC0000287,
2_deoxystreptamine,,,unknown; actually tobramycin?,,saccharide,micromonospora,,BGC0000689,
2_methylisoborneol,,?,taste; odor,,terpene,pseudanabaena,,BGC0000657,
2_methylisoborneol_2,,,taste; odor,,terpene,streptomyces,,BGC0000658,
2_methylisoborneol_3,,,taste; odor,,terpene,saccharopolyspora,,BGC0000659,
3_methylarginine,yes,,,,other,pseudomonas,gram neg; pseudomonas,BGC0000884,
4_Z_annamycin,,,unknown,,pk,streptomyces,,BGC0001298,
4-hydroxy-3-nitrospbenzamide,,,unknown,,other,streptomyces,,BGC0000885,
5_hydroxystreptomycin,,,unknown,,saccharide,streptomyces,,BGC0000690,
7_prenylisatin,yes,,,,other,streptomyces,bacillus; gram pos,BGC0001294,
9methylstreptimidone,,yes,antitumor,,polyketide,streptomyces,,BGC0000171,
A_102395,,,,translocase,other,amycolatopsis,,BGC0001191,
A_500359,yes,,,translocase,nrp,streptomyces,"?, mycobacterium",BGC0000949,
A_503083,yes,,,peptidogylcan synthesis,nrp,,?,BGC0000288,
A_74528,,,antiviral,2'-PDE,pk,,,BGC0000190,
A_90289,,,unknown,translocase,other,streptomyces,,BGC0000872,
A201A,yes,,,ribosome,nucleoside,,gram pos; anaerobic gram neg,BGC0001138,
A201A_2,yes,,,ribosome,other,saccharothrix,gram pos; anaerobic gram neg,BGC0000873,
A33853,,,anti-parasite,,other,streptomyces,,BGC0001292,
A40926,yes,,,lipid II,nrp saccharide,nonomuraea,gram pos; some gram neg; neisseria,BGC0000289,
A47934,yes,,,peptidogylcan precursor,nrp saccharide,streptomyces,gram pos,BGC0000290,
A54145,yes,,,,nrp,,gram pos,BGC0000291,
abyssomicin,yes,,,PaBb (pABA pathway),polyketide,verrucosispora,gram pos,BGC0000001,
acarbose,,,,glucosidase inhbitor,saccharide,actinoplanes,,BGC0000691,
acarviostatin,,,unknown,alpha amylase inhibitor,saccharide,streptomyces,,BGC0000804,
acidocin_b,yes,,,,ripp,,gram pos,BGC0000485,
acidocin_b_2,yes,,,,ripp,lactobacillus,gram pos; clostridium; lactobacillus,BGC0001222,
acinetobactin,,,siderophore,,nrp,,,BGC0000294,
aclacinomycin,,,antitumor; cytotoxic,,pk,,,BGC0000191,
aclacinomycin_2,,,antitumor; cytotoxic,,pk,,,BGC0000192,
aclacinomycin_3,,,antitumor; cytotoxic,,pk,,,BGC0000193,
actagardine,yes,,,,ripp,,gram pos,BGC0000495,
actinetoferrin,,,siderophore,,nrp,,,BGC0000295,
actinomycin,yes,yes,antitumor; cytotoxic,dna,nrp,,gram pos; gram neg,BGC0000296,
actinonin,yes,,,metalloprotinase; bacterial peptide deformylase,nrp,,gram pos; gram neg,BGC0001442,
actinorhodin,yes,,,,pk,streptomyces,gram pos,BGC0000189,
aculeximycin,yes,yes,antilarval,,pk,,gram pos; gram neg,BGC0000002,
aerobactin,,,siderophore,,other,grimontia,,BGC0000939,
aeruginosamide,,,cytotoxic,,ripp,microcystis,,BGC0000483,
aeruginoside,,,unknown,,nrp saccharide,planktothrix,,BGC0000297,
aeruginosin,,,protease inhibitor,,nrp,microcystis,,BGC0000298,
ajudazol,,yes,,,nrp pk,,,BGC0000954,
akaeolide,yes,,cytotoxic,,pk,streptomyces,?,BGC0001199,
alanylclavam,yes,yes,,,beta-lactam,,?,BGC0000841,
albachelin,,,siderophore,,nrp,amycolatopsis,,BGC0001211,
albaflavenone,,,unknown,,terpene,streptomyces,,BGC0000660,
albicidin,yes,yes,plant toxin,,nrp pk,xanthomonas,gram pos; gram neg,BGC0001088,
albonoursin,yes,,osmolyte,,other,streptomyces,gram pos,BGC0000851,
aldgamycin,yes,,,,pk,streptomyces,gram pos,BGC0001396,
alginate,,,immune stimulant; antioxidant; inhibits antibiotic diffusion,,saccharide,pseudomonas,,BGC0000725,
alginate_2,,,immune stimulant; antioxidant; inhibits antibiotic diffusion,,saccharide,pseudomonas,,BGC0000726,
alginate_3,,,immune stimulant; antioxidant; inhibits antibiotic diffusion,,saccharide,pseudomonas,,,
alkyl_o_dihydrogeranyl_methoxyhydroquinones,,,unknown,,pk,actinoplanes,,BGC0001077,
allylmalonyl_coa,,,unknown,,other,streptomyces,,BGC0000886,
alnumycin,yes,,antitumor,,pk,streptomyces,gram pos,BGC0000195,
alpha_galactosylceramide,,,nkt cell activation,,other,,,BGC0000948,
alterochromides,,,unknown,,nrp,,,BGC0000299,
althiomycin,yes,,,ribosome,nrp pk,,gram pos; gram neg,BGC0000955,
althiomycin_2,yes,,,,nrp,serratia,gram pos; gram neg,BGC0001415,
ambiguine,yes,yes,cytotoxic,,terpene,,gram pos; mycobacterium,BGC0001126,
ambruticin,,yes,,,pk,,,BGC0000014,
amfs,,,regulation; inhibits aerial mycelium formation; streptomycin synthesis,,ripp,,,BGC0000496,
amicetin,yes,,,rna polymerase ,saccharide,,gram pos; gram neg,BGC0000953,
amphotericin,,yes,,,pk,,,BGC0000015,
amychelin,,,siderophore,,nrp,,,BGC0000300,
amylocyclicin,yes,,,,ripp,,gram pos,BGC0000616,
anabaenopeptin,,,protease inhibitor,,nrp,anabaena,,BGC0000302,
anabaenopeptin_2,,,protease inhibitor,,nrp,,,BGC0000301,
anacyclamide,,,unknown,,ripp,anabaena,,BGC0000472,
anatoxin,,,neurotoxin,,pk alkaloid,oscillatoria,,BGC0000017,
andrimid,yes,,,acetyl-coa carboxylase,nrp pk,,gram pos; gram neg,BGC0000956,
anglomycin,yes,,,,pk,,?,BGC0000018,
anglomycin_2,yes,,,,pk,,?,BGC0000019,
ansamitocin,,,antitumor; cytotoxic,,pk,,,BGC0000020,
ansatrienin,,yes,antitumor,,nrp pk,streptomyces,,BGC0000957,
antalid,,,unknown,,nrp pk,polyangium,,BGC0001235,
anthracimycin,yes,,,,pk,streptomyces,gram pos,BGC0001300,
anthracimycin_2,yes,,,,pk,streptomyces,gram pos,BGC0001301,
anthramycin,yes,yes,antitumor; cytotoxic,,nrp,,,BGC0000303,
antimycin,,yes,cytotoxic,,nrp pk,,,BGC0000958,
