2_4_diacetylphloroglucinol,BGC0000281.1
2_amino_4_methoxy_trans_3_butenoic_acid,BGC0000287.1
2_deoxystreptamine,BGC0000689.1
2_methylisoborneol,BGC0000657.1
2_methylisoborneol_2,BGC0000658.1
2_methylisoborneol_3,BGC0000659.1
3_methylarginine,BGC0000884.1
4-hydroxy-3-nitrospbenzamide,BGC0000885.1
4_Z_annamycin,BGC0001298.1
5_hydroxystreptomycin,BGC0000690.1
7_prenylisatin,BGC0001294.1
9methylstreptimidone,BGC0000171.1
A201A,BGC0001138.1
A201A_2,BGC0000873.1
A33853,BGC0001292.1
A40926,BGC0000289.1
A47934,BGC0000290.1
A54145,BGC0000291.1
A_102395,BGC0001191.1
A_500359,BGC0000949.1
A_503083,BGC0000288.1
A_74528,BGC0000190.1
A_90289,BGC0000872.1
abyssomicin,BGC0000001.1
acarbose,BGC0000691.1
acarviostatin,BGC0000804.1
acidocin_b,BGC0000485.1
acidocin_b_2,BGC0001222.1
acinetobactin,BGC0000294.1
aclacinomycin,BGC0000191.1
aclacinomycin_2,BGC0000192.1
aclacinomycin_3,BGC0000193.1
actagardine,BGC0000495.1
actinetoferrin,BGC0000295.1
actinomycin,BGC0000296.1
actinonin,BGC0001442.1
actinorhodin,BGC0000194.1
aculeximycin,BGC0000002.1
aerobactin,BGC0000939.1
aeruginosamide,BGC0000483.1
aeruginoside,BGC0000297.1
aeruginosin,BGC0000298.1
ajudazol,BGC0000954.1
akaeolide,BGC0001199.1
alanylclavam,BGC0000841.1
albachelin,BGC0001211.1
albaflavenone,BGC0000660.1
albicidin,BGC0001088.1
albonoursin,BGC0000851.1
aldgamycin,BGC0001396.1
alginate,BGC0000725.1
alginate_2,BGC0000726.1
alginate_3,CP010945
alkyl_o_dihydrogeranyl_methoxyhydroquinones,BGC0001077.1
allylmalonyl_coa,BGC0000886.1
alnumycin,BGC0000195.1
alpha_galactosylceramide,BGC0000948.1
alterochromides,BGC0000299.1
althiomycin,BGC0000955.1
althiomycin_2,BGC0001415.1
ambiguine,BGC0001126.1
ambruticin,BGC0000014.1
amfs,BGC0000496.1
amicetin,BGC0000953.1
amphotericin,BGC0000015.1
amychelin,BGC0000300.1
amylocyclicin,BGC0000616.1
anabaenopeptin,BGC0000302.1
anabaenopeptin_2,BGC0000301.1
anacyclamide,BGC0000472.1
anatoxin,BGC0000017.1
andrimid,BGC0000956.1
anglomycin,BGC0000018.1
anglomycin_2,BGC0000019.1
ansamitocin,BGC0000020.1
ansatrienin,BGC0000957.1
antalid,BGC0001235.1
anthracimycin,BGC0001300.1
anthracimycin_2,BGC0001301.1
anthramycin,BGC0000303.1
antimycin,BGC0000958.1
APE_ec,BGC0000836.1
APE_vf,BGC0000837.1
apoptolidin,BGC0000021.1
apramycin,BGC0000692.1
aranciamycin,BGC0000197.1
arenimycin,BGC0000198.1
aresnopolyketides,BGC0001283.1
argimycin,BGC0001433.1
arimetamycin,BGC0000199.1
arixanthomycin,BGC0000200.1
arthrofactin,BGC0000305.1
arylomycin,BGC0000306.1
astaxanthin,BGC0000630.1
astaxanthin_dideoxyglycoside,BGC0001086.1
astexin_1,BGC0000570.1
asukamycin,BGC0000187.1
AT2433,BGC0000809.1
athraquinone,BGC0000196.1
aurachin,BGC0001343.1
aurachin_re,BGC0001075.1
aurafuron,BGC0000023.1
aureothin,BGC0000024.1
aureusimine,BGC0000308.1
auricin,BGC0000201.1
auricin_deoxysugar_moieties,BGC0000727.1
avermectin,BGC0000025.1
avilamycin,BGC0000026.1
AWQC131C,BGC0000887.1
azicemicin,BGC0000202.1
azinomycin_b,BGC0000960.1
bacillaene,BGC0001089.1
bacillibactin,BGC0001185.1
bacillibactin_2,BGC0000309.1
bacillomycin,BGC0001090.1
bacilysin,BGC0001184.1
bacilysin_2,BGC0000888.1
bacitracin,BGC0000310.1
bactobolin,BGC0000961.1
bafilomycin,BGC0000028.1
bagremycin,BGC0000889.1
balhimycin,BGC0000311.1
bananamide,BGC0001346.1
barbamide,BGC0000962.1
basiliskamides,BGC0000172.1
BD_12,BGC0001379.1
BE_43547A1,BGC0001330.1
BE_43547A1_2,BGC0001331.1
BE_54017,BGC0001333.1
BE_7585A,BGC0000203.1
belactosin,BGC0001441.1
benastatin,BGC0000204.1
BhtA1_BhtA2,BGC0000497.1
bicereucin,BGC0001407.1
blasticidin,BGC0000874.1
bleomycin,BGC0000963.1
borregomycin,BGC0001335.1
borrelidin,BGC0000031.1
bottromycin,BGC0000468.1
bottromycin_a2,BGC0001157.1
bottromycin_a2_2,BGC0000469.1
bottromycin_d,BGC0000470.1
bovicin_hj50,BGC0000498.1
brabantamide,BGC0001149.1
brasilicardin_a,BGC0000632.1
brasilinolide,BGC0001381.1
bromoalterochromides,BGC0000314.1
bromophenols_1,BGC0000890.1
bromophenols_2,BGC0000891.1
bryostatin,BGC0000205.1
bryostatin_2,MDLC01000001
burhizin,BGC0000571.1
burkholdac,BGC0000964.1
burkholderic_acid,BGC0001120.1
butirosin,BGC0000693.1
butirosin_2,BGC0000694.1
butyrivbriocin_or79,BGC0000499.1
butyrivibriocin_ar10,BGC0000486.1
C_1027,BGC0000965.1
cacibiocin,BGC0001154.1
caerulomycin_a,BGC0000966.1
cahuitamycin,BGC0001351.1
calcimycin,BGC0000032.1
calcium_dependent_antibiotic,BGC0000315.1
calicheamicin,BGC0000033.1
calyculin,BGC0000967.1
candicidin,BGC0000034.1
canthaxanthin_bradyrhizobium,NC_009445
capistruin,BGC0000572.1
caprazamycin,BGC0000875.1
capreomycin,BGC0000316.1
capsular_polysaccharide,BGC0000728.1
capsular_polysaccharide_10,BGC0000737.1
capsular_polysaccharide_11,BGC0000738.1
capsular_polysaccharide_12,BGC0000739.1
capsular_polysaccharide_13,BGC0000740.1
capsular_polysaccharide_14,BGC0000741.1
capsular_polysaccharide_15,BGC0000742.1
capsular_polysaccharide_16,BGC0000743.1
capsular_polysaccharide_17,BGC0000744.1
capsular_polysaccharide_18,BGC0000745.1
capsular_polysaccharide_19,BGC0000746.1
capsular_polysaccharide_2,BGC0000729.1
capsular_polysaccharide_20,BGC0000747.1
capsular_polysaccharide_21,BGC0000748.1
capsular_polysaccharide_22,BGC0000749.1
