UniProt ID	Cluster Number	Cluster Color
zzzz100	1	#FF0000
zzzz104	1	#FF0000
zzzz105	1	#FF0000
zzzz117	1	#FF0000
zzzz118	1	#FF0000
zzzz119	1	#FF0000
zzzz120	1	#FF0000
zzzz121	1	#FF0000
zzzz122	1	#FF0000
zzzz126	1	#FF0000
zzzz128	1	#FF0000
zzzz129	1	#FF0000
zzzz131	1	#FF0000
zzzz140	1	#FF0000
zzzz142	1	#FF0000
zzzz148	1	#FF0000
zzzz149	1	#FF0000
zzzz152	1	#FF0000
zzzz154	1	#FF0000
zzzz162	1	#FF0000
zzzz163	1	#FF0000
zzzz164	1	#FF0000
zzzz166	1	#FF0000
zzzz168	1	#FF0000
zzzz171	1	#FF0000
zzzz173	1	#FF0000
zzzz174	1	#FF0000
zzzz181	1	#FF0000
zzzz183	1	#FF0000
zzzz184	1	#FF0000
zzzz187	1	#FF0000
zzzz190	1	#FF0000
zzzz193	1	#FF0000
zzzz202	1	#FF0000
zzzz207	1	#FF0000
zzzz215	1	#FF0000
zzzz220	1	#FF0000
zzzz226	1	#FF0000
zzzz227	1	#FF0000
zzzz238	1	#FF0000
zzzz239	1	#FF0000
zzzz240	1	#FF0000
zzzz241	1	#FF0000
zzzz242	1	#FF0000
zzzz245	1	#FF0000
zzzz246	1	#FF0000
zzzz247	1	#FF0000
zzzz252	1	#FF0000
zzzz253	1	#FF0000
zzzz255	1	#FF0000
zzzz257	1	#FF0000
zzzz264	1	#FF0000
zzzz265	1	#FF0000
zzzz266	1	#FF0000
zzzz267	1	#FF0000
zzzz269	1	#FF0000
zzzz270	1	#FF0000
zzzz271	1	#FF0000
zzzz272	1	#FF0000
zzzz274	1	#FF0000
zzzz275	1	#FF0000
zzzz279	1	#FF0000
zzzz280	1	#FF0000
zzzz285	1	#FF0000
zzzz287	1	#FF0000
zzzz288	1	#FF0000
zzzz289	1	#FF0000
zzzz291	1	#FF0000
zzzz292	1	#FF0000
zzzz293	1	#FF0000
zzzz295	1	#FF0000
zzzz296	1	#FF0000
zzzz297	1	#FF0000
zzzz298	1	#FF0000
zzzz299	1	#FF0000
zzzz300	1	#FF0000
zzzz302	1	#FF0000
zzzz303	1	#FF0000
zzzz304	1	#FF0000
zzzz305	1	#FF0000
zzzz307	1	#FF0000
zzzz310	1	#FF0000
zzzz314	1	#FF0000
zzzz316	1	#FF0000
zzzz318	1	#FF0000
zzzz319	1	#FF0000
zzzz320	1	#FF0000
zzzz322	1	#FF0000
zzzz323	1	#FF0000
zzzz325	1	#FF0000
zzzz332	1	#FF0000
zzzz333	1	#FF0000
zzzz336	1	#FF0000
zzzz338	1	#FF0000
zzzz339	1	#FF0000
zzzz340	1	#FF0000
zzzz341	1	#FF0000
zzzz342	1	#FF0000
zzzz343	1	#FF0000
zzzz347	1	#FF0000
zzzz348	1	#FF0000
zzzz350	1	#FF0000
zzzz352	1	#FF0000
zzzz354	1	#FF0000
zzzz355	1	#FF0000
zzzz357	1	#FF0000
zzzz361	1	#FF0000
zzzz362	1	#FF0000
zzzz368	1	#FF0000
zzzz372	1	#FF0000
zzzz373	1	#FF0000
zzzz374	1	#FF0000
zzzz381	1	#FF0000
zzzz383	1	#FF0000
zzzz385	1	#FF0000
zzzz386	1	#FF0000
zzzz387	1	#FF0000
zzzz388	1	#FF0000
zzzz389	1	#FF0000
zzzz392	1	#FF0000
zzzz394	1	#FF0000
zzzzz12	1	#FF0000
zzzzz13	1	#FF0000
zzzzz16	1	#FF0000
zzzzz25	1	#FF0000
zzzzz26	1	#FF0000
zzzzz28	1	#FF0000
zzzzz29	1	#FF0000
zzzzz30	1	#FF0000
zzzzz34	1	#FF0000
zzzzz39	1	#FF0000
zzzzz40	1	#FF0000
zzzzz41	1	#FF0000
zzzzz45	1	#FF0000
zzzzz46	1	#FF0000
zzzzz47	1	#FF0000
zzzzz55	1	#FF0000
zzzzz56	1	#FF0000
zzzzz59	1	#FF0000
zzzzz60	1	#FF0000
zzzzz62	1	#FF0000
zzzzz63	1	#FF0000
zzzzz68	1	#FF0000
zzzzz74	1	#FF0000
zzzzz76	1	#FF0000
zzzzz77	1	#FF0000
zzzzz78	1	#FF0000
zzzzz80	1	#FF0000
zzzzz82	1	#FF0000
zzzzz85	1	#FF0000
zzzzz86	1	#FF0000
zzzzz87	1	#FF0000
zzzzz91	1	#FF0000
zzzzz93	1	#FF0000
zzzzz95	1	#FF0000
zzzzz96	1	#FF0000
zzzzz97	1	#FF0000
zzzzz99	1	#FF0000
zzzzzz2	1	#FF0000
zzzzzz3	1	#FF0000
zzzz101	2	#0000FF
zzzz113	2	#0000FF
zzzz114	2	#0000FF
zzzz116	2	#0000FF
zzzz138	2	#0000FF
zzzz157	2	#0000FF
zzzz158	2	#0000FF
zzzz195	2	#0000FF
zzzz203	2	#0000FF
zzzz212	2	#0000FF
zzzz233	2	#0000FF
zzzz276	2	#0000FF
zzzz284	2	#0000FF
zzzz306	2	#0000FF
zzzz313	2	#0000FF
zzzz327	2	#0000FF
zzzz329	2	#0000FF
zzzz359	2	#0000FF
