UniProt ID	Cluster Number	Cluster Color
zzz1000	1	#FF0000
zzz1001	1	#FF0000
zzz1002	1	#FF0000
zzz1003	1	#FF0000
zzz1004	1	#FF0000
zzz1005	1	#FF0000
zzz1006	1	#FF0000
zzz1007	1	#FF0000
zzz1018	1	#FF0000
zzz1019	1	#FF0000
zzz1020	1	#FF0000
zzz1021	1	#FF0000
zzz1022	1	#FF0000
zzz1023	1	#FF0000
zzz1024	1	#FF0000
zzz1026	1	#FF0000
zzz1027	1	#FF0000
zzz1041	1	#FF0000
zzz1042	1	#FF0000
zzz1044	1	#FF0000
zzz1045	1	#FF0000
zzz1047	1	#FF0000
zzz1048	1	#FF0000
zzz1049	1	#FF0000
zzz1050	1	#FF0000
zzz1051	1	#FF0000
zzz1052	1	#FF0000
zzz1053	1	#FF0000
zzz1060	1	#FF0000
zzz1061	1	#FF0000
zzz1062	1	#FF0000
zzz1063	1	#FF0000
zzz1064	1	#FF0000
zzz1065	1	#FF0000
zzz1066	1	#FF0000
zzz1067	1	#FF0000
zzz1068	1	#FF0000
zzz1069	1	#FF0000
zzz1070	1	#FF0000
zzz1071	1	#FF0000
zzz1072	1	#FF0000
zzz1074	1	#FF0000
zzz1076	1	#FF0000
zzz1077	1	#FF0000
zzz1078	1	#FF0000
zzz1080	1	#FF0000
zzz1081	1	#FF0000
zzz1082	1	#FF0000
zzz1083	1	#FF0000
zzz1084	1	#FF0000
zzz1085	1	#FF0000
zzz1086	1	#FF0000
zzz1088	1	#FF0000
zzz1089	1	#FF0000
zzz1090	1	#FF0000
zzz1091	1	#FF0000
zzz1092	1	#FF0000
zzz1093	1	#FF0000
zzz1094	1	#FF0000
zzz1136	1	#FF0000
zzz1138	1	#FF0000
zzz1139	1	#FF0000
zzz1140	1	#FF0000
zzz1141	1	#FF0000
zzz1142	1	#FF0000
zzz1152	1	#FF0000
zzz1153	1	#FF0000
zzz1154	1	#FF0000
zzz1155	1	#FF0000
zzz1157	1	#FF0000
zzz1158	1	#FF0000
zzz1159	1	#FF0000
zzz1160	1	#FF0000
zzz1161	1	#FF0000
zzz1162	1	#FF0000
zzz1196	1	#FF0000
zzz1197	1	#FF0000
zzz1198	1	#FF0000
zzz1199	1	#FF0000
zzz1200	1	#FF0000
zzz1201	1	#FF0000
zzz1202	1	#FF0000
zzz1204	1	#FF0000
zzz1205	1	#FF0000
zzz1208	1	#FF0000
zzz1209	1	#FF0000
zzz1213	1	#FF0000
zzz1214	1	#FF0000
zzz1215	1	#FF0000
zzz1217	1	#FF0000
zzz1218	1	#FF0000
zzz1219	1	#FF0000
zzz1264	1	#FF0000
zzz1265	1	#FF0000
zzz1266	1	#FF0000
zzz1267	1	#FF0000
zzz1268	1	#FF0000
zzz1269	1	#FF0000
zzz1270	1	#FF0000
zzz1276	1	#FF0000
zzz1277	1	#FF0000
zzz1278	1	#FF0000
zzz1279	1	#FF0000
zzz1280	1	#FF0000
zzz1282	1	#FF0000
zzz1283	1	#FF0000
zzz1284	1	#FF0000
zzz1285	1	#FF0000
zzz1286	1	#FF0000
zzz1287	1	#FF0000
zzz1288	1	#FF0000
zzz1289	1	#FF0000
zzz1290	1	#FF0000
zzz1382	1	#FF0000
zzz1383	1	#FF0000
zzz1384	1	#FF0000
zzz1385	1	#FF0000
zzz1386	1	#FF0000
zzz1387	1	#FF0000
zzz1388	1	#FF0000
zzz1389	1	#FF0000
zzz1390	1	#FF0000
zzz1391	1	#FF0000
zzz1392	1	#FF0000
zzz1393	1	#FF0000
zzz1394	1	#FF0000
zzz1395	1	#FF0000
zzz1397	1	#FF0000
zzz1398	1	#FF0000
zzz1399	1	#FF0000
zzz1442	1	#FF0000
zzz1443	1	#FF0000
zzz1444	1	#FF0000
zzz1445	1	#FF0000
zzz1446	1	#FF0000
zzz1447	1	#FF0000
zzz1449	1	#FF0000
zzz1450	1	#FF0000
zzz1451	1	#FF0000
zzz1452	1	#FF0000
zzz1457	1	#FF0000
zzz1459	1	#FF0000
zzz1460	1	#FF0000
zzz1461	1	#FF0000
zzz1462	1	#FF0000
zzz1463	1	#FF0000
zzz1464	1	#FF0000
zzz1465	1	#FF0000
zzz1517	1	#FF0000
zzz1519	1	#FF0000
zzz1521	1	#FF0000
zzz1522	1	#FF0000
zzz1523	1	#FF0000
zzz1524	1	#FF0000
