UniProt ID	Cluster Number	Cluster Color
zzzz112	1	#FF0000
zzzz113	1	#FF0000
zzzz121	1	#FF0000
zzzz122	1	#FF0000
zzzz123	1	#FF0000
zzzz124	1	#FF0000
zzzz161	1	#FF0000
zzzz162	1	#FF0000
zzzz175	1	#FF0000
zzzz176	1	#FF0000
zzzz177	1	#FF0000
zzzz178	1	#FF0000
zzzz201	1	#FF0000
zzzz202	1	#FF0000
zzzz219	1	#FF0000
zzzz220	1	#FF0000
zzzz232	1	#FF0000
zzzz233	1	#FF0000
zzzz239	1	#FF0000
zzzz240	1	#FF0000
zzzzz22	1	#FF0000
zzzzz23	1	#FF0000
zzzzz87	1	#FF0000
zzzzz88	1	#FF0000
zzzzzz3	1	#FF0000
zzzzzz4	1	#FF0000
zzzz118	2	#0000FF
zzzz119	2	#0000FF
zzzz120	2	#0000FF
zzzz172	2	#0000FF
zzzz173	2	#0000FF
zzzz174	2	#0000FF
zzzz198	2	#0000FF
zzzz199	2	#0000FF
zzzz200	2	#0000FF
zzzz221	2	#0000FF
zzzz222	2	#0000FF
zzzz223	2	#0000FF
zzzz241	2	#0000FF
zzzz242	2	#0000FF
zzzz243	2	#0000FF
zzzzz24	2	#0000FF
zzzzz25	2	#0000FF
zzzzz26	2	#0000FF
zzzzz49	2	#0000FF
zzzzz50	2	#0000FF
zzzzz51	2	#0000FF
zzzzzz0	2	#0000FF
zzzzzz1	2	#0000FF
zzzzzz2	2	#0000FF
zzzz256	3	#FFA500
zzzz257	3	#FFA500
zzzz258	3	#FFA500
zzzzz63	3	#FFA500
zzzzz64	3	#FFA500
zzzzz65	3	#FFA500
zzzz195	4	#008000
zzzz196	4	#008000
zzzz197	4	#008000
zzzzz44	4	#008000
zzzzz45	4	#008000
zzzzz46	4	#008000
zzzz166	5	#FF00FF
zzzz167	5	#FF00FF
zzzzz31	5	#FF00FF
zzzzz32	5	#FF00FF
zzzzz33	5	#FF00FF
zzzz125	6	#808080
zzzz126	6	#808080
zzzz127	6	#808080
zzzzz16	6	#808080
zzzzz17	6	#808080
zzzzz72	7	#00FFFF
zzzzz73	7	#00FFFF
zzzzz75	7	#00FFFF
zzzzz76	7	#00FFFF
zzzzz80	8	#FFC0CB
zzzzz81	8	#FFC0CB
zzzzz84	8	#FFC0CB
zzzzz85	8	#FFC0CB
zzzz210	9	#FF69B4
