UniProt ID	Cluster Number	Cluster Color
zzzz103	1	#FF0000
zzzz104	1	#FF0000
zzzz106	1	#FF0000
zzzz110	1	#FF0000
zzzz111	1	#FF0000
zzzz112	1	#FF0000
zzzz114	1	#FF0000
zzzz116	1	#FF0000
zzzz120	1	#FF0000
zzzz121	1	#FF0000
zzzz122	1	#FF0000
zzzz125	1	#FF0000
zzzz127	1	#FF0000
zzzz136	1	#FF0000
zzzz139	1	#FF0000
zzzz141	1	#FF0000
zzzz142	1	#FF0000
zzzz143	1	#FF0000
zzzz144	1	#FF0000
zzzz153	1	#FF0000
zzzz158	1	#FF0000
zzzz159	1	#FF0000
zzzz161	1	#FF0000
zzzz162	1	#FF0000
zzzz163	1	#FF0000
zzzz165	1	#FF0000
zzzz166	1	#FF0000
zzzz173	1	#FF0000
zzzz178	1	#FF0000
zzzz179	1	#FF0000
zzzz180	1	#FF0000
zzzz182	1	#FF0000
zzzz184	1	#FF0000
zzzz185	1	#FF0000
zzzz186	1	#FF0000
zzzz187	1	#FF0000
zzzz188	1	#FF0000
zzzz199	1	#FF0000
zzzz200	1	#FF0000
zzzz201	1	#FF0000
zzzz204	1	#FF0000
zzzz205	1	#FF0000
zzzz207	1	#FF0000
zzzz208	1	#FF0000
zzzz210	1	#FF0000
zzzz211	1	#FF0000
zzzz216	1	#FF0000
zzzz217	1	#FF0000
zzzz219	1	#FF0000
zzzz222	1	#FF0000
zzzz232	1	#FF0000
zzzz237	1	#FF0000
zzzz238	1	#FF0000
zzzz239	1	#FF0000
zzzz240	1	#FF0000
zzzz244	1	#FF0000
zzzz248	1	#FF0000
zzzz249	1	#FF0000
zzzz250	1	#FF0000
zzzz251	1	#FF0000
zzzz255	1	#FF0000
zzzz257	1	#FF0000
zzzz258	1	#FF0000
zzzz273	1	#FF0000
zzzz275	1	#FF0000
zzzz280	1	#FF0000
zzzz281	1	#FF0000
zzzz282	1	#FF0000
zzzz283	1	#FF0000
zzzzz12	1	#FF0000
zzzzz13	1	#FF0000
zzzzz14	1	#FF0000
zzzzz15	1	#FF0000
zzzzz16	1	#FF0000
zzzzz18	1	#FF0000
zzzzz19	1	#FF0000
zzzzz26	1	#FF0000
zzzzz28	1	#FF0000
zzzzz33	1	#FF0000
zzzzz34	1	#FF0000
zzzzz35	1	#FF0000
zzzzz36	1	#FF0000
zzzzz37	1	#FF0000
zzzzz41	1	#FF0000
zzzzz42	1	#FF0000
zzzzz43	1	#FF0000
zzzzz44	1	#FF0000
zzzzz47	1	#FF0000
zzzzz54	1	#FF0000
zzzzz55	1	#FF0000
zzzzz63	1	#FF0000
zzzzz64	1	#FF0000
zzzzz65	1	#FF0000
zzzzz90	1	#FF0000
zzzzz91	1	#FF0000
zzzzz93	1	#FF0000
zzzzz94	1	#FF0000
zzzzz96	1	#FF0000
zzzzz97	1	#FF0000
zzzzz98	1	#FF0000
zzzzzz1	1	#FF0000
zzzzzz3	1	#FF0000
zzzzzz6	1	#FF0000
zzzzzz7	1	#FF0000
zzzzzz8	1	#FF0000
zzzz115	2	#0000FF
zzzz128	2	#0000FF
zzzz131	2	#0000FF
zzzz132	2	#0000FF
zzzz138	2	#0000FF
zzzz140	2	#0000FF
zzzz147	2	#0000FF
zzzz160	2	#0000FF
zzzz168	2	#0000FF
zzzz170	2	#0000FF
zzzz176	2	#0000FF
zzzz183	2	#0000FF
zzzz209	2	#0000FF
zzzz215	2	#0000FF
zzzz225	2	#0000FF
zzzz228	2	#0000FF
zzzz230	2	#0000FF
zzzz233	2	#0000FF
zzzz259	2	#0000FF
zzzz263	2	#0000FF
zzzz271	2	#0000FF
zzzz278	2	#0000FF
zzzz285	2	#0000FF
zzzzz10	2	#0000FF
zzzzz20	2	#0000FF
zzzzz53	2	#0000FF
zzzz102	3	#FFA500
zzzz177	3	#FFA500
zzzz181	3	#FFA500
zzzz189	3	#FFA500
zzzz194	3	#FFA500
zzzz195	3	#FFA500
zzzz202	3	#FFA500
zzzz203	3	#FFA500
zzzz226	3	#FFA500
zzzz242	3	#FFA500
zzzz267	3	#FFA500
zzzz268	3	#FFA500
zzzzz24	3	#FFA500
zzzzz27	3	#FFA500
zzzzz89	3	#FFA500
zzzz101	4	#008000
zzzz113	4	#008000
zzzz134	4	#008000
zzzz135	4	#008000
zzzz171	4	#008000
zzzz221	4	#008000
zzzz264	4	#008000
zzzzz17	4	#008000
zzzzz49	4	#008000
zzzzz51	4	#008000
zzzzz57	4	#008000
zzzzz92	4	#008000
zzzzzz2	4	#008000
zzzzz21	5	#FF00FF
zzzzz23	5	#FF00FF
zzzzz68	5	#FF00FF
zzzzz71	5	#FF00FF
zzzzz72	5	#FF00FF
zzzzz75	5	#FF00FF
zzzzz77	5	#FF00FF
zzzzz80	5	#FF00FF
zzzz151	6	#808080
zzzz224	6	#808080
zzzzz22	6	#808080
zzzzz70	6	#808080
zzzzz74	6	#808080
zzzzz79	6	#808080
zzzz124	7	#00FFFF
zzzz137	7	#00FFFF
zzzzz81	7	#00FFFF
zzzzz83	7	#00FFFF
zzzzz84	7	#00FFFF
zzzzz86	7	#00FFFF
zzzz190	8	#FFC0CB
zzzz191	8	#FFC0CB
zzzz192	8	#FFC0CB
zzzz193	8	#FFC0CB
zzzz154	9	#FF69B4
zzzz269	9	#FF69B4
zzzzzz0	9	#FF69B4
zzzz279	10	#808000
zzzzz38	10	#808000
zzzzzz9	10	#808000
zzzz196	11	#FA8072
zzzz266	11	#FA8072
zzzzz66	11	#FA8072
zzzz148	12	#EE82EE
zzzzz25	12	#EE82EE
zzzzz67	12	#EE82EE
zzzzz69	13	#006400
zzzzz73	13	#006400
zzzzz78	13	#006400
zzzz260	14	#00FF00
zzzz261	14	#00FF00
zzzz262	14	#00FF00
zzzz105	15	#B259B2
zzzzz50	15	#B259B2
zzzz129	16	#003366
zzzz130	16	#003366
zzzz227	17	#7FFFBF
zzzz270	17	#7FFFBF
zzzzz82	18	#8000FF
zzzzz85	18	#8000FF
zzzzz61	19	#B25900
zzzzz62	19	#B25900
zzzz107	20	#592C00
zzzz109	20	#592C00
zzzz149	21	#800000
zzzz276	21	#800000
zzzz100	22	#0080FF
zzzz243	22	#0080FF
zzzz126	23	#404040
zzzz214	23	#404040
zzzz150	24	#FF4040
zzzz277	24	#FF4040
zzzz272	25	#40FF40
zzzzz30	25	#40FF40
