UniProt ID	Cluster Number	Cluster Color
zzzz101	1	#FF0000
zzzz102	1	#FF0000
zzzz103	1	#FF0000
zzzz108	1	#FF0000
zzzz121	1	#FF0000
zzzz122	1	#FF0000
zzzz123	1	#FF0000
zzzz139	1	#FF0000
zzzz140	1	#FF0000
zzzz143	1	#FF0000
zzzz167	1	#FF0000
zzzz175	1	#FF0000
zzzz176	1	#FF0000
zzzz178	1	#FF0000
zzzz179	1	#FF0000
zzzz222	1	#FF0000
zzzz223	1	#FF0000
zzzz224	1	#FF0000
zzzz230	1	#FF0000
zzzz231	1	#FF0000
zzzz279	1	#FF0000
zzzz280	1	#FF0000
zzzzz10	1	#FF0000
zzzzz11	1	#FF0000
zzzzz12	1	#FF0000
zzzzz67	1	#FF0000
zzzzz68	1	#FF0000
zzzzz69	1	#FF0000
zzzzz70	1	#FF0000
zzzzz82	1	#FF0000
zzzzz83	1	#FF0000
zzzzzz4	1	#FF0000
zzzzzz5	1	#FF0000
zzzz115	2	#0000FF
zzzz116	2	#0000FF
zzzz117	2	#0000FF
zzzz118	2	#0000FF
zzzz119	2	#0000FF
zzzz120	2	#0000FF
zzzz258	2	#0000FF
zzzz259	2	#0000FF
zzzz260	2	#0000FF
zzzz261	2	#0000FF
zzzz262	2	#0000FF
zzzz263	2	#0000FF
zzzz114	3	#FFA500
zzzz141	3	#FFA500
zzzz142	3	#FFA500
zzzz180	3	#FFA500
zzzz181	3	#FFA500
zzzz197	3	#FFA500
zzzz228	3	#FFA500
zzzz229	3	#FFA500
zzzzz79	3	#FFA500
zzzzz80	3	#FFA500
zzzzz84	3	#FFA500
zzzzz85	3	#FFA500
zzzz148	4	#008000
zzzz149	4	#008000
zzzz150	4	#008000
zzzz160	4	#008000
zzzz161	4	#008000
zzzz164	4	#008000
zzzz165	4	#008000
zzzz166	4	#008000
zzzzz57	4	#008000
zzzzz58	4	#008000
zzzzz59	4	#008000
zzzz200	5	#FF00FF
zzzz237	5	#FF00FF
zzzz241	5	#FF00FF
zzzz243	5	#FF00FF
zzzz245	5	#FF00FF
zzzz249	5	#FF00FF
zzzzz61	5	#FF00FF
zzzz201	6	#808080
zzzz238	6	#808080
zzzz242	6	#808080
zzzz244	6	#808080
zzzz246	6	#808080
zzzz250	6	#808080
zzzzz62	6	#808080
zzzzz45	7	#00FFFF
zzzzz46	7	#00FFFF
zzzzz47	7	#00FFFF
zzzzz86	7	#00FFFF
zzzzz87	7	#00FFFF
zzzzz88	7	#00FFFF
zzzz268	8	#FFC0CB
zzzz269	8	#FFC0CB
zzzz270	8	#FFC0CB
zzzzz30	8	#FFC0CB
zzzzz31	8	#FFC0CB
zzzzz32	8	#FFC0CB
zzzz184	9	#FF69B4
zzzz185	9	#FF69B4
zzzz286	9	#FF69B4
zzzz287	9	#FF69B4
zzzzz49	9	#FF69B4
zzzzz50	9	#FF69B4
zzzzz74	10	#808000
zzzzz75	10	#808000
zzzzzz0	10	#808000
zzzzzz1	10	#808000
zzzzzz2	10	#808000
zzzzzz3	10	#808000
zzzz127	11	#FA8072
zzzz128	11	#FA8072
zzzz129	11	#FA8072
zzzz130	11	#FA8072
zzzz131	11	#FA8072
zzzz132	11	#FA8072
zzzz109	12	#EE82EE
zzzz110	12	#EE82EE
zzzz111	12	#EE82EE
zzzzz16	12	#EE82EE
zzzzz17	12	#EE82EE
zzzz188	13	#006400
zzzz191	13	#006400
zzzz192	13	#006400
zzzz271	13	#006400
zzzzz94	13	#006400
zzzz182	14	#00FF00
zzzz183	14	#00FF00
zzzz284	14	#00FF00
zzzz285	14	#00FF00
zzzzz48	14	#00FF00
zzzz125	15	#B259B2
zzzz126	15	#B259B2
zzzz134	15	#B259B2
zzzz135	15	#B259B2
zzzz136	15	#B259B2
zzzz144	16	#003366
zzzz145	16	#003366
zzzz146	16	#003366
zzzz147	16	#003366
zzzz210	17	#7FFFBF
zzzz211	17	#7FFFBF
zzzz214	17	#7FFFBF
zzzz215	17	#7FFFBF
zzzzz21	18	#8000FF
zzzzz22	18	#8000FF
zzzzz23	18	#8000FF
zzzzz99	18	#8000FF
zzzzz38	19	#B25900
zzzzz39	19	#B25900
zzzzz97	19	#B25900
zzzzz98	19	#B25900
zzzz105	20	#592C00
zzzz106	20	#592C00
zzzz107	20	#592C00
zzzz256	20	#592C00
zzzz275	21	#800000
zzzz276	21	#800000
zzzzz26	21	#800000
zzzzz27	21	#800000
zzzz189	22	#0080FF
zzzz190	22	#0080FF
zzzz272	22	#0080FF
zzzzz95	22	#0080FF
zzzz162	23	#404040
zzzz208	23	#404040
zzzz217	23	#404040
zzzzz77	23	#404040
zzzz273	24	#FF4040
zzzz274	24	#FF4040
zzzzz24	24	#FF4040
zzzzz25	24	#FF4040
zzzz163	25	#40FF40
zzzz209	25	#40FF40
zzzz218	25	#40FF40
zzzzz78	25	#40FF40
zzzz233	26	#4040FF
zzzz234	26	#4040FF
zzzz235	26	#4040FF
zzzz202	27	#004040
zzzz203	27	#004040
zzzz204	27	#004040
zzzz212	28	#400040
zzzz213	28	#400040
zzzz216	28	#400040
zzzz151	29	#404000
zzzz152	29	#404000
zzzz153	29	#404000
zzzzz35	30	#804040
zzzzz36	30	#804040
zzzzz37	30	#804040
zzzzz71	31	#408040
zzzzz72	31	#408040
zzzzz73	31	#408040
zzzz171	32	#404080
zzzz172	32	#404080
zzzz173	32	#404080
zzzzzz6	33	#40FFFF
zzzzzz7	33	#40FFFF
zzzzzz8	33	#40FFFF
zzzz168	34	#FF40FF
zzzz169	34	#FF40FF
zzzz170	34	#FF40FF
zzzz251	35	#FF0040
zzzz252	35	#FF0040
zzzz253	35	#FF0040
zzzzz18	36	#40FF00
zzzzz19	36	#40FF00
zzzzz20	36	#40FF00
zzzzz51	37	#0040FF
zzzzz52	37	#0040FF
zzzzz53	37	#0040FF
zzzz225	38	#FF8040
zzzz226	38	#FF8040
zzzz227	38	#FF8040
zzzz207	39	#40FF80
zzzzz13	39	#40FF80
zzzzz91	39	#40FF80
zzzz281	40	#8040FF
zzzz282	40	#8040FF
zzzz283	40	#8040FF
zzzz205	41	#00FF40
zzzz206	41	#00FF40
zzzz100	42	#4000FF
zzzzz29	42	#4000FF
zzzzz41	43	#FF4000
zzzzz42	43	#FF4000
