UniProt ID	Cluster Number	Cluster Color
zzz1042	1	#FF0000
zzz1043	1	#FF0000
zzz1044	1	#FF0000
zzz1129	1	#FF0000
zzz1130	1	#FF0000
zzz1131	1	#FF0000
zzz1132	1	#FF0000
zzz1133	1	#FF0000
zzz1139	1	#FF0000
zzz1140	1	#FF0000
zzz1141	1	#FF0000
zzz1142	1	#FF0000
zzz1143	1	#FF0000
zzz1145	1	#FF0000
zzz1146	1	#FF0000
zzz1147	1	#FF0000
zzz1148	1	#FF0000
zzz1149	1	#FF0000
zzz1150	1	#FF0000
zzz1151	1	#FF0000
zzz1152	1	#FF0000
zzz1153	1	#FF0000
zzz1154	1	#FF0000
zzz1155	1	#FF0000
zzz1359	1	#FF0000
zzz1360	1	#FF0000
zzz1361	1	#FF0000
zzz1362	1	#FF0000
zzz1363	1	#FF0000
zzz1364	1	#FF0000
zzz1365	1	#FF0000
zzz1366	1	#FF0000
zzz1367	1	#FF0000
zzz1368	1	#FF0000
zzz1480	1	#FF0000
zzz1481	1	#FF0000
zzz1482	1	#FF0000
zzz1483	1	#FF0000
zzz1484	1	#FF0000
zzz1485	1	#FF0000
zzz1486	1	#FF0000
zzz1495	1	#FF0000
zzz1496	1	#FF0000
zzz1497	1	#FF0000
zzz1498	1	#FF0000
zzz1499	1	#FF0000
zzz1500	1	#FF0000
zzz1501	1	#FF0000
zzz1502	1	#FF0000
zzz1503	1	#FF0000
zzz1504	1	#FF0000
zzz1505	1	#FF0000
zzz1506	1	#FF0000
zzz1757	1	#FF0000
zzz1758	1	#FF0000
zzz1759	1	#FF0000
zzz1760	1	#FF0000
zzz1761	1	#FF0000
zzz1769	1	#FF0000
zzz1770	1	#FF0000
zzz1771	1	#FF0000
zzz1772	1	#FF0000
zzz1773	1	#FF0000
zzz1774	1	#FF0000
zzz1775	1	#FF0000
zzz1776	1	#FF0000
zzz1777	1	#FF0000
zzz1778	1	#FF0000
zzz1779	1	#FF0000
zzz1780	1	#FF0000
zzz1781	1	#FF0000
zzz1782	1	#FF0000
zzz1783	1	#FF0000
zzz1784	1	#FF0000
zzz1785	1	#FF0000
zzz1786	1	#FF0000
zzz1787	1	#FF0000
zzz1891	1	#FF0000
zzz1892	1	#FF0000
zzz1893	1	#FF0000
zzz1894	1	#FF0000
zzz1895	1	#FF0000
zzz1899	1	#FF0000
zzz1900	1	#FF0000
zzz1901	1	#FF0000
zzz1902	1	#FF0000
zzz1903	1	#FF0000
zzz2143	1	#FF0000
zzz2144	1	#FF0000
zzz2159	1	#FF0000
zzz2160	1	#FF0000
zzz2161	1	#FF0000
zzz2162	1	#FF0000
zzz2163	1	#FF0000
zzz2316	1	#FF0000
zzz2317	1	#FF0000
zzz2318	1	#FF0000
zzz2319	1	#FF0000
zzz2422	1	#FF0000
zzz2423	1	#FF0000
zzz2424	1	#FF0000
zzz2425	1	#FF0000
zzz2426	1	#FF0000
zzz2427	1	#FF0000
zzz2428	1	#FF0000
zzz2429	1	#FF0000
zzz2430	1	#FF0000
zzz2431	1	#FF0000
zzz2432	1	#FF0000
zzz2433	1	#FF0000
zzz2434	1	#FF0000
zzz2435	1	#FF0000
zzz2436	1	#FF0000
zzz2500	1	#FF0000
zzz2501	1	#FF0000
zzz2502	1	#FF0000
zzz2503	1	#FF0000
zzz2504	1	#FF0000
zzz2505	1	#FF0000
zzz2506	1	#FF0000
zzz2507	1	#FF0000
zzz2508	1	#FF0000
zzz2509	1	#FF0000
zzz2510	1	#FF0000
zzz2604	1	#FF0000
zzz2605	1	#FF0000
zzz2606	1	#FF0000
zzz2607	1	#FF0000
zzz2608	1	#FF0000
zzz2840	1	#FF0000
zzz2841	1	#FF0000
zzz2842	1	#FF0000
zzz2843	1	#FF0000
zzz2844	1	#FF0000
zzz2845	1	#FF0000
zzz2846	1	#FF0000
zzz2847	1	#FF0000
zzz2848	1	#FF0000
zzz2849	1	#FF0000
zzz2850	1	#FF0000
zzz2851	1	#FF0000
zzz2852	1	#FF0000
zzz2853	1	#FF0000
zzz3021	1	#FF0000
zzz3022	1	#FF0000
zzz3043	1	#FF0000
zzz3044	1	#FF0000
zzz3084	1	#FF0000
zzz3085	1	#FF0000
zzz3086	1	#FF0000
zzz3087	1	#FF0000
zzz3226	1	#FF0000
zzz3227	1	#FF0000
zzz3228	1	#FF0000
zzz3229	1	#FF0000
zzz3230	1	#FF0000
zzz3231	1	#FF0000
zzz3232	1	#FF0000
zzz3233	1	#FF0000
zzz3234	1	#FF0000
zzz3235	1	#FF0000
zzz3346	1	#FF0000
zzz3347	1	#FF0000
zzz3348	1	#FF0000
zzz3349	1	#FF0000
zzz3350	1	#FF0000
zzz3358	1	#FF0000
zzz3359	1	#FF0000
zzz3360	1	#FF0000
zzz3361	1	#FF0000
zzz3362	1	#FF0000
zzz3363	1	#FF0000
zzz3364	1	#FF0000
zzz3365	1	#FF0000
zzz3366	1	#FF0000
zzz3367	1	#FF0000
zzzz186	1	#FF0000
zzzz187	1	#FF0000
zzzz188	1	#FF0000
zzzz189	1	#FF0000
zzzz190	1	#FF0000
zzzz191	1	#FF0000
zzzz192	1	#FF0000
zzzz193	1	#FF0000
zzzz194	1	#FF0000
zzzz195	1	#FF0000
zzzz196	1	#FF0000
zzzz197	1	#FF0000
zzzz198	1	#FF0000
zzzz199	1	#FF0000
zzzz200	1	#FF0000
zzzz201	1	#FF0000
zzzz202	1	#FF0000
zzzz309	1	#FF0000
zzzz310	1	#FF0000
zzzz311	1	#FF0000
zzzz312	1	#FF0000
zzzz313	1	#FF0000
zzzz314	1	#FF0000
zzzz315	1	#FF0000
zzzz316	1	#FF0000
zzzz317	1	#FF0000
zzzz318	1	#FF0000
zzzz319	1	#FF0000
zzzz320	1	#FF0000
zzzz321	1	#FF0000
zzzz322	1	#FF0000
zzzz323	1	#FF0000
zzzz324	1	#FF0000
zzzz325	1	#FF0000
zzzz326	1	#FF0000
zzzz327	1	#FF0000
zzzz328	1	#FF0000
zzzz329	1	#FF0000
zzzz330	1	#FF0000
zzzz456	1	#FF0000
zzzz457	1	#FF0000
zzzz458	1	#FF0000
zzzz459	1	#FF0000
zzzz460	1	#FF0000
zzzz461	1	#FF0000
zzzz488	1	#FF0000
zzzz489	1	#FF0000
zzzz490	1	#FF0000
zzzz491	1	#FF0000
zzzz492	1	#FF0000
zzzz493	1	#FF0000
zzzz501	1	#FF0000
zzzz502	1	#FF0000
zzzz503	1	#FF0000
zzzz504	1	#FF0000
zzzz675	1	#FF0000
zzzz676	1	#FF0000
zzzz677	1	#FF0000
zzzz742	1	#FF0000
zzzz743	1	#FF0000
zzzz744	1	#FF0000
zzzz745	1	#FF0000
zzzz746	1	#FF0000
zzzz747	1	#FF0000
zzzz748	1	#FF0000
zzzz749	1	#FF0000
zzzz750	1	#FF0000
zzzz751	1	#FF0000
zzzz752	1	#FF0000
zzzz825	1	#FF0000
zzzz826	1	#FF0000
zzzz827	1	#FF0000
zzzz833	1	#FF0000
zzzz834	1	#FF0000
zzzz835	1	#FF0000
zzzz836	1	#FF0000
zzzz837	1	#FF0000
zzzz838	1	#FF0000
zzzz839	1	#FF0000
zzzz956	1	#FF0000
zzzz957	1	#FF0000
zzzz958	1	#FF0000
zzzz959	1	#FF0000
zzz1224	2	#0000FF
zzz1225	2	#0000FF
zzz1226	2	#0000FF
zzz1227	2	#0000FF
zzz1228	2	#0000FF
zzz1229	2	#0000FF
zzz1230	2	#0000FF
zzz1269	2	#0000FF
zzz1270	2	#0000FF
zzz1271	2	#0000FF
zzz1272	2	#0000FF
zzz1273	2	#0000FF
zzz1274	2	#0000FF
zzz1286	2	#0000FF
zzz1287	2	#0000FF
zzz1288	2	#0000FF
zzz1554	2	#0000FF
zzz1555	2	#0000FF
zzz1556	2	#0000FF
zzz1557	2	#0000FF
zzz1558	2	#0000FF
zzz1559	2	#0000FF
zzz1560	2	#0000FF
zzz1813	2	#0000FF
zzz1814	2	#0000FF
zzz1815	2	#0000FF
zzz1816	2	#0000FF
zzz1817	2	#0000FF
zzz1818	2	#0000FF
zzz1819	2	#0000FF
zzz1991	2	#0000FF
zzz1992	2	#0000FF
zzz1993	2	#0000FF
zzz1994	2	#0000FF
zzz1995	2	#0000FF
zzz1996	2	#0000FF
zzz1997	2	#0000FF
zzz2330	2	#0000FF
zzz2331	2	#0000FF
zzz2332	2	#0000FF
zzz2333	2	#0000FF
zzz2334	2	#0000FF
zzz2335	2	#0000FF
zzz2336	2	#0000FF
zzz2458	2	#0000FF
zzz2459	2	#0000FF
zzz2460	2	#0000FF
zzz2461	2	#0000FF
zzz2462	2	#0000FF
zzz2463	2	#0000FF
zzz2464	2	#0000FF
zzz2756	2	#0000FF
zzz2757	2	#0000FF
zzz2758	2	#0000FF
zzz2759	2	#0000FF
zzz2760	2	#0000FF
zzz2761	2	#0000FF
zzz2762	2	#0000FF
zzz2919	2	#0000FF
zzz2921	2	#0000FF
zzz2922	2	#0000FF
zzz2923	2	#0000FF
zzz2924	2	#0000FF
zzz2925	2	#0000FF
zzz3014	2	#0000FF
zzz3015	2	#0000FF
zzz3016	2	#0000FF
zzz3017	2	#0000FF
zzz3018	2	#0000FF
zzz3019	2	#0000FF
zzz3020	2	#0000FF
zzz3102	2	#0000FF
zzz3103	2	#0000FF
zzz3104	2	#0000FF
zzz3105	2	#0000FF
zzz3106	2	#0000FF
zzz3107	2	#0000FF
zzz3108	2	#0000FF
zzz3273	2	#0000FF
zzz3274	2	#0000FF
zzz3275	2	#0000FF
zzz3276	2	#0000FF
zzz3277	2	#0000FF
zzz3278	2	#0000FF
zzz3279	2	#0000FF
zzz3375	2	#0000FF
zzz3376	2	#0000FF
zzz3377	2	#0000FF
zzz3378	2	#0000FF
zzz3379	2	#0000FF
zzz3380	2	#0000FF
zzz3381	2	#0000FF
zzz3387	2	#0000FF
zzz3388	2	#0000FF
zzz3389	2	#0000FF
zzz3390	2	#0000FF
zzz3391	2	#0000FF
zzz3392	2	#0000FF
zzz3393	2	#0000FF
zzzz360	2	#0000FF
zzzz361	2	#0000FF
zzzz362	2	#0000FF
zzzz363	2	#0000FF
zzzz375	2	#0000FF
zzzz376	2	#0000FF
zzzz378	2	#0000FF
zzzz512	2	#0000FF
zzzz513	2	#0000FF
zzzz514	2	#0000FF
zzzz515	2	#0000FF
zzzz516	2	#0000FF
zzzz517	2	#0000FF
zzzz518	2	#0000FF
zzzz555	2	#0000FF
zzzz556	2	#0000FF
zzzz557	2	#0000FF
zzzz558	2	#0000FF
zzzz559	2	#0000FF
zzzz560	2	#0000FF
zzzz561	2	#0000FF
zzzz759	2	#0000FF
zzzz760	2	#0000FF
zzzz761	2	#0000FF
zzzz762	2	#0000FF
zzzz763	2	#0000FF
zzzz764	2	#0000FF
zzzz765	2	#0000FF
zzzz880	2	#0000FF
zzzz881	2	#0000FF
zzzz882	2	#0000FF
zzzz883	2	#0000FF
zzzz886	2	#0000FF
zzzz887	2	#0000FF
zzzz888	2	#0000FF
zzzz889	2	#0000FF
zzzz890	2	#0000FF
zzz2105	3	#FFA500
zzz2106	3	#FFA500
zzz2107	3	#FFA500
zzz2108	3	#FFA500
zzz2109	3	#FFA500
zzz2110	3	#FFA500
zzz2111	3	#FFA500
zzz2112	3	#FFA500
zzz2113	3	#FFA500
zzz2114	3	#FFA500
zzz2168	3	#FFA500
zzz2169	3	#FFA500
zzz2170	3	#FFA500
zzz2171	3	#FFA500
zzz2172	3	#FFA500
zzz2180	3	#FFA500
zzz2181	3	#FFA500
zzz2182	3	#FFA500
zzz2183	3	#FFA500
zzz2184	3	#FFA500
zzz2185	3	#FFA500
zzz2186	3	#FFA500
zzz2187	3	#FFA500
zzz2188	3	#FFA500
zzz2189	3	#FFA500
zzz2190	3	#FFA500
zzz2191	3	#FFA500
zzz2192	3	#FFA500
zzz2399	3	#FFA500
zzz2400	3	#FFA500
zzz2401	3	#FFA500
zzz2402	3	#FFA500
zzz2653	3	#FFA500
zzz2654	3	#FFA500
zzz2655	3	#FFA500
zzz2656	3	#FFA500
zzz2657	3	#FFA500
zzz2658	3	#FFA500
zzz2659	3	#FFA500
zzz2875	3	#FFA500
zzz2876	3	#FFA500
zzz2877	3	#FFA500
zzz2878	3	#FFA500
zzz2879	3	#FFA500
zzz3303	3	#FFA500
zzz3304	3	#FFA500
zzz3305	3	#FFA500
zzz3306	3	#FFA500
zzz3307	3	#FFA500
zzz3308	3	#FFA500
zzz3309	3	#FFA500
zzz3310	3	#FFA500
zzz3311	3	#FFA500
zzz3312	3	#FFA500
zzz3313	3	#FFA500
zzz3314	3	#FFA500
zzzz180	3	#FFA500
zzzz181	3	#FFA500
zzzz182	3	#FFA500
zzzz183	3	#FFA500
zzzz184	3	#FFA500
zzzz185	3	#FFA500
zzzz250	3	#FFA500
zzzz251	3	#FFA500
zzzz252	3	#FFA500
zzzz253	3	#FFA500
zzzz254	3	#FFA500
zzzz255	3	#FFA500
zzzz602	3	#FFA500
zzzz603	3	#FFA500
zzzz604	3	#FFA500
zzzz605	3	#FFA500
zzzz606	3	#FFA500
zzzz607	3	#FFA500
zzzz608	3	#FFA500
zzzz609	3	#FFA500
zzzz610	3	#FFA500
zzzz611	3	#FFA500
zzzz612	3	#FFA500
zzzz613	3	#FFA500
zzzz614	3	#FFA500
zzzz615	3	#FFA500
zzzz616	3	#FFA500
zzzz617	3	#FFA500
zzzz618	3	#FFA500
zzzz626	3	#FFA500
zzzz627	3	#FFA500
zzzz628	3	#FFA500
zzzz629	3	#FFA500
zzzz630	3	#FFA500
zzzz631	3	#FFA500
zzzz632	3	#FFA500
zzzz633	3	#FFA500
zzzz634	3	#FFA500
zzzz635	3	#FFA500
zzzz636	3	#FFA500
zzzz637	3	#FFA500
zzzz638	3	#FFA500
zzzz639	3	#FFA500
zzzz640	3	#FFA500
zzzz641	3	#FFA500
zzzz642	3	#FFA500
zzzz643	3	#FFA500
zzzz657	3	#FFA500
zzzz658	3	#FFA500
zzzz659	3	#FFA500
zzzz660	3	#FFA500
zzzz661	3	#FFA500
zzzz662	3	#FFA500
zzzzz28	3	#FFA500
zzzzz29	3	#FFA500
zzzzz30	3	#FFA500
zzzzz31	3	#FFA500
zzzzz32	3	#FFA500
zzzzz33	3	#FFA500
zzz1708	4	#008000
zzz1709	4	#008000
zzz1710	4	#008000
zzz1711	4	#008000
zzz1712	4	#008000
zzz1713	4	#008000
zzz1714	4	#008000
zzz1715	4	#008000
zzz1716	4	#008000
zzz1717	4	#008000
zzz1718	4	#008000
zzz2075	4	#008000
zzz2076	4	#008000
zzz2077	4	#008000
zzz2078	4	#008000
zzz2079	4	#008000
zzz2080	4	#008000
zzz2081	4	#008000
zzz2082	4	#008000
zzz2083	4	#008000
zzz2084	4	#008000
zzz2085	4	#008000
zzz2086	4	#008000
zzz2087	4	#008000
zzz2088	4	#008000
zzz2089	4	#008000
zzz2090	4	#008000
zzz2091	4	#008000
zzz2092	4	#008000
zzz2093	4	#008000
zzz2310	4	#008000
zzz2311	4	#008000
zzz2312	4	#008000
zzz2313	4	#008000
zzz2314	4	#008000
zzz2597	4	#008000
zzz2598	4	#008000
zzz2599	4	#008000
zzz2600	4	#008000
zzz2601	4	#008000
zzz2602	4	#008000
zzz2603	4	#008000
zzz2676	4	#008000
zzz2677	4	#008000
zzz2678	4	#008000
zzz2679	4	#008000
zzz2680	4	#008000
zzz2681	4	#008000
zzz2682	4	#008000
zzz2683	4	#008000
zzz2684	4	#008000
zzz2685	4	#008000
zzz2686	4	#008000
zzz2687	4	#008000
zzz2688	4	#008000
zzz2689	4	#008000
zzz2720	4	#008000
zzz2721	4	#008000
zzz2722	4	#008000
zzz2723	4	#008000
zzz2724	4	#008000
zzzz903	4	#008000
zzzz904	4	#008000
zzzz905	4	#008000
zzzz906	4	#008000
zzzz907	4	#008000
zzzz914	4	#008000
zzzz915	4	#008000
zzzz916	4	#008000
zzzz917	4	#008000
zzzz918	4	#008000
zzzz919	4	#008000
zzzz920	4	#008000
zzzz921	4	#008000
zzzz922	4	#008000
zzzz923	4	#008000
zzzz924	4	#008000
zzzz925	4	#008000
zzzz926	4	#008000
zzzz927	4	#008000
zzzz928	4	#008000
zzzz929	4	#008000
zzzz930	4	#008000
zzzz931	4	#008000
zzzz932	4	#008000
zzzz933	4	#008000
zzzz934	4	#008000
zzzz935	4	#008000
