UniProt ID	Cluster Number	Cluster Color
zzz1006	1	#FF0000
zzz1035	1	#FF0000
zzz1078	1	#FF0000
zzz1079	1	#FF0000
zzz1088	1	#FF0000
zzz1106	1	#FF0000
zzz1112	1	#FF0000
zzz1115	1	#FF0000
zzz1117	1	#FF0000
zzz1119	1	#FF0000
zzz1121	1	#FF0000
zzz1128	1	#FF0000
zzz1130	1	#FF0000
zzz1133	1	#FF0000
zzz1140	1	#FF0000
zzz1147	1	#FF0000
zzz1148	1	#FF0000
zzz1151	1	#FF0000
zzz1157	1	#FF0000
zzz1158	1	#FF0000
zzz1161	1	#FF0000
zzz1162	1	#FF0000
zzz1163	1	#FF0000
zzz1165	1	#FF0000
zzz1166	1	#FF0000
zzz1167	1	#FF0000
zzz1168	1	#FF0000
zzz1180	1	#FF0000
zzz1181	1	#FF0000
zzz1182	1	#FF0000
zzz1184	1	#FF0000
zzz1193	1	#FF0000
zzz1194	1	#FF0000
zzz1199	1	#FF0000
zzz1225	1	#FF0000
zzz1227	1	#FF0000
zzz1233	1	#FF0000
zzz1236	1	#FF0000
zzz1241	1	#FF0000
zzz1245	1	#FF0000
zzz1248	1	#FF0000
zzz1250	1	#FF0000
zzz1251	1	#FF0000
zzz1296	1	#FF0000
zzz1301	1	#FF0000
zzz1302	1	#FF0000
zzz1303	1	#FF0000
zzz1304	1	#FF0000
zzz1305	1	#FF0000
zzz1307	1	#FF0000
zzz1312	1	#FF0000
zzz1313	1	#FF0000
zzz1321	1	#FF0000
zzz1322	1	#FF0000
zzz1323	1	#FF0000
zzz1324	1	#FF0000
zzz1325	1	#FF0000
zzz1326	1	#FF0000
zzz1328	1	#FF0000
zzz1351	1	#FF0000
zzz1352	1	#FF0000
zzz1353	1	#FF0000
zzz1354	1	#FF0000
zzz1355	1	#FF0000
zzz1357	1	#FF0000
zzz1361	1	#FF0000
zzz1378	1	#FF0000
zzz1379	1	#FF0000
zzz1380	1	#FF0000
zzz1382	1	#FF0000
zzz1383	1	#FF0000
zzz1384	1	#FF0000
zzz1400	1	#FF0000
zzz1402	1	#FF0000
zzz1405	1	#FF0000
zzz1406	1	#FF0000
zzz1408	1	#FF0000
zzz1410	1	#FF0000
zzz1422	1	#FF0000
zzz1423	1	#FF0000
zzz1424	1	#FF0000
zzz1425	1	#FF0000
zzz1427	1	#FF0000
zzz1428	1	#FF0000
zzz1443	1	#FF0000
zzz1448	1	#FF0000
zzz1452	1	#FF0000
zzz1455	1	#FF0000
zzz1458	1	#FF0000
zzz1462	1	#FF0000
zzz1463	1	#FF0000
zzz1473	1	#FF0000
zzz1489	1	#FF0000
zzz1492	1	#FF0000
zzz1494	1	#FF0000
zzz1495	1	#FF0000
zzz1503	1	#FF0000
zzz1509	1	#FF0000
zzz1515	1	#FF0000
zzz1516	1	#FF0000
zzz1517	1	#FF0000
zzz1522	1	#FF0000
zzz1523	1	#FF0000
zzz1525	1	#FF0000
zzz1528	1	#FF0000
zzz1530	1	#FF0000
zzz1531	1	#FF0000
zzz1533	1	#FF0000
zzzz151	1	#FF0000
zzzz152	1	#FF0000
zzzz154	1	#FF0000
zzzz155	1	#FF0000
zzzz156	1	#FF0000
zzzz157	1	#FF0000
zzzz160	1	#FF0000
zzzz163	1	#FF0000
zzzz181	1	#FF0000
zzzz182	1	#FF0000
zzzz183	1	#FF0000
zzzz185	1	#FF0000
zzzz239	1	#FF0000
zzzz246	1	#FF0000
zzzz254	1	#FF0000
zzzz255	1	#FF0000
zzzz256	1	#FF0000
zzzz258	1	#FF0000
zzzz259	1	#FF0000
zzzz260	1	#FF0000
zzzz267	1	#FF0000
zzzz299	1	#FF0000
zzzz305	1	#FF0000
zzzz306	1	#FF0000
zzzz328	1	#FF0000
zzzz332	1	#FF0000
zzzz333	1	#FF0000
zzzz335	1	#FF0000
zzzz337	1	#FF0000
zzzz338	1	#FF0000
zzzz339	1	#FF0000
zzzz340	1	#FF0000
zzzz343	1	#FF0000
zzzz344	1	#FF0000
zzzz345	1	#FF0000
zzzz367	1	#FF0000
zzzz390	1	#FF0000
zzzz404	1	#FF0000
zzzz405	1	#FF0000
zzzz406	1	#FF0000
zzzz408	1	#FF0000
zzzz411	1	#FF0000
zzzz485	1	#FF0000
zzzz487	1	#FF0000
zzzz488	1	#FF0000
zzzz489	1	#FF0000
zzzz490	1	#FF0000
zzzz491	1	#FF0000
zzzz492	1	#FF0000
zzzz494	1	#FF0000
zzzz496	1	#FF0000
zzzz497	1	#FF0000
zzzz499	1	#FF0000
zzzz500	1	#FF0000
zzzz501	1	#FF0000
zzzz502	1	#FF0000
zzzz505	1	#FF0000
zzzz508	1	#FF0000
zzzz527	1	#FF0000
zzzz528	1	#FF0000
zzzz537	1	#FF0000
zzzz547	1	#FF0000
zzzz549	1	#FF0000
zzzz552	1	#FF0000
zzzz582	1	#FF0000
zzzz593	1	#FF0000
zzzz595	1	#FF0000
zzzz596	1	#FF0000
zzzz597	1	#FF0000
zzzz598	1	#FF0000
zzzz627	1	#FF0000
zzzz628	1	#FF0000
zzzz629	1	#FF0000
zzzz630	1	#FF0000
zzzz632	1	#FF0000
zzzz633	1	#FF0000
zzzz637	1	#FF0000
zzzz638	1	#FF0000
zzzz650	1	#FF0000
zzzz651	1	#FF0000
zzzz655	1	#FF0000
zzzz657	1	#FF0000
zzzz661	1	#FF0000
zzzz662	1	#FF0000
zzzz663	1	#FF0000
zzzz664	1	#FF0000
zzzz665	1	#FF0000
zzzz666	1	#FF0000
zzzz668	1	#FF0000
zzzz670	1	#FF0000
zzzz671	1	#FF0000
zzzz674	1	#FF0000
zzzz675	1	#FF0000
zzzz676	1	#FF0000
zzzz677	1	#FF0000
zzzz678	1	#FF0000
zzzz680	1	#FF0000
zzzz681	1	#FF0000
zzzz726	1	#FF0000
zzzz730	1	#FF0000
zzzz732	1	#FF0000
zzzz741	1	#FF0000
zzzz742	1	#FF0000
zzzz744	1	#FF0000
zzzz747	1	#FF0000
zzzz749	1	#FF0000
zzzz750	1	#FF0000
zzzz752	1	#FF0000
zzzz759	1	#FF0000
zzzz760	1	#FF0000
zzzz761	1	#FF0000
zzzz767	1	#FF0000
zzzz768	1	#FF0000
zzzz788	1	#FF0000
zzzz789	1	#FF0000
zzzz791	1	#FF0000
zzzz801	1	#FF0000
zzzz811	1	#FF0000
zzzz813	1	#FF0000
zzzz814	1	#FF0000
zzzz817	1	#FF0000
zzzz826	1	#FF0000
zzzz835	1	#FF0000
zzzz836	1	#FF0000
zzzz858	1	#FF0000
zzzz864	1	#FF0000
zzzz866	1	#FF0000
zzzz867	1	#FF0000
zzzz868	1	#FF0000
zzzz869	1	#FF0000
zzzz870	1	#FF0000
zzzz871	1	#FF0000
zzzz873	1	#FF0000
zzzz880	1	#FF0000
zzzz889	1	#FF0000
zzzz890	1	#FF0000
zzzz898	1	#FF0000
zzzz900	1	#FF0000
zzzz905	1	#FF0000
zzzz908	1	#FF0000
zzzz910	1	#FF0000
zzzz912	1	#FF0000
zzzz913	1	#FF0000
zzzz914	1	#FF0000
zzzz915	1	#FF0000
zzzz917	1	#FF0000
zzzz918	1	#FF0000
zzzz922	1	#FF0000
zzzz923	1	#FF0000
zzzz924	1	#FF0000
zzzz925	1	#FF0000
zzzz926	1	#FF0000
zzzz928	1	#FF0000
zzzz934	1	#FF0000
zzzz935	1	#FF0000
zzzz936	1	#FF0000
zzzz939	1	#FF0000
zzzz942	1	#FF0000
zzzz943	1	#FF0000
zzzz947	1	#FF0000
zzzz948	1	#FF0000
zzzz951	1	#FF0000
zzzz952	1	#FF0000
zzzz954	1	#FF0000
zzzz957	1	#FF0000
zzzz960	1	#FF0000
zzzz962	1	#FF0000
zzzz963	1	#FF0000
zzzz965	1	#FF0000
zzzz980	1	#FF0000
zzzz981	1	#FF0000
zzzz983	1	#FF0000
zzzz985	1	#FF0000
zzzz986	1	#FF0000
zzzz988	1	#FF0000
zzzz992	1	#FF0000
zzzz993	1	#FF0000
zzzz994	1	#FF0000
zzzz995	1	#FF0000
zzzz996	1	#FF0000
zzzzz10	1	#FF0000
zzzzz15	1	#FF0000
zzzzz17	1	#FF0000
zzzzz24	1	#FF0000
zzzzz26	1	#FF0000
zzzzz27	1	#FF0000
zzzzz30	1	#FF0000
zzzzz44	1	#FF0000
zzzzz49	1	#FF0000
zzzzz58	1	#FF0000
zzzzz59	1	#FF0000
zzzzz82	1	#FF0000
zzzzz83	1	#FF0000
zzzzz87	1	#FF0000
zzzzz88	1	#FF0000
zzzzz89	1	#FF0000
zzz1000	2	#0000FF
zzz1001	2	#0000FF
zzz1002	2	#0000FF
zzz1003	2	#0000FF
zzz1004	2	#0000FF
zzz1005	2	#0000FF
zzz1007	2	#0000FF
zzz1071	2	#0000FF
zzz1072	2	#0000FF
zzz1073	2	#0000FF
zzz1074	2	#0000FF
zzz1075	2	#0000FF
zzz1076	2	#0000FF
zzz1080	2	#0000FF
zzz1081	2	#0000FF
zzz1082	2	#0000FF
zzz1083	2	#0000FF
