UniProt ID	Cluster Number	Cluster Color
zzz1023	1	#FF0000
zzz1080	1	#FF0000
zzz1083	1	#FF0000
zzz1084	1	#FF0000
zzz1085	1	#FF0000
zzz1086	1	#FF0000
zzz1088	1	#FF0000
zzz1089	1	#FF0000
zzz1091	1	#FF0000
zzz1094	1	#FF0000
zzz1096	1	#FF0000
zzz1097	1	#FF0000
zzz1098	1	#FF0000
zzz1099	1	#FF0000
zzz1100	1	#FF0000
zzz1101	1	#FF0000
zzz1103	1	#FF0000
zzz1105	1	#FF0000
zzz1106	1	#FF0000
zzz1107	1	#FF0000
zzz1108	1	#FF0000
zzz1109	1	#FF0000
zzz1110	1	#FF0000
zzz1111	1	#FF0000
zzz1126	1	#FF0000
zzz1127	1	#FF0000
zzz1132	1	#FF0000
zzz1139	1	#FF0000
zzz1140	1	#FF0000
zzz1141	1	#FF0000
zzz1142	1	#FF0000
zzz1143	1	#FF0000
zzz1144	1	#FF0000
zzz1145	1	#FF0000
zzz1146	1	#FF0000
zzz1147	1	#FF0000
zzz1148	1	#FF0000
zzz1151	1	#FF0000
zzz1152	1	#FF0000
zzz1205	1	#FF0000
zzz1206	1	#FF0000
zzz1207	1	#FF0000
zzz1208	1	#FF0000
zzz1210	1	#FF0000
zzz1211	1	#FF0000
zzz1212	1	#FF0000
zzz1224	1	#FF0000
zzz1225	1	#FF0000
zzz1228	1	#FF0000
zzz1229	1	#FF0000
zzz1230	1	#FF0000
zzz1231	1	#FF0000
zzz1232	1	#FF0000
zzz1233	1	#FF0000
zzz1234	1	#FF0000
zzz1310	1	#FF0000
zzz1311	1	#FF0000
zzz1312	1	#FF0000
zzz1316	1	#FF0000
zzz1343	1	#FF0000
zzz1345	1	#FF0000
zzz1346	1	#FF0000
zzz1347	1	#FF0000
zzz1348	1	#FF0000
zzz1349	1	#FF0000
zzz1350	1	#FF0000
zzz1351	1	#FF0000
zzz1360	1	#FF0000
zzz1361	1	#FF0000
zzz1362	1	#FF0000
zzz1363	1	#FF0000
zzz1364	1	#FF0000
zzz1365	1	#FF0000
zzz1370	1	#FF0000
zzz1371	1	#FF0000
zzz1372	1	#FF0000
zzz1373	1	#FF0000
zzz1374	1	#FF0000
zzz1375	1	#FF0000
zzz1376	1	#FF0000
zzz1377	1	#FF0000
zzz1378	1	#FF0000
zzz1379	1	#FF0000
zzz1403	1	#FF0000
zzz1405	1	#FF0000
zzz1407	1	#FF0000
zzz1408	1	#FF0000
zzz1409	1	#FF0000
zzz1582	1	#FF0000
zzz1583	1	#FF0000
zzz1584	1	#FF0000
zzz1585	1	#FF0000
