UniProt ID	Cluster Number	Cluster Color
zzzz108	1	#FF0000
zzzz109	1	#FF0000
zzzz110	1	#FF0000
zzzz111	1	#FF0000
zzzz126	1	#FF0000
zzzz127	1	#FF0000
zzzz128	1	#FF0000
zzzz131	1	#FF0000
zzzz182	1	#FF0000
zzzz184	1	#FF0000
zzzz186	1	#FF0000
zzzz187	1	#FF0000
zzzz188	1	#FF0000
zzzz189	1	#FF0000
zzzz190	1	#FF0000
zzzz192	1	#FF0000
zzzz194	1	#FF0000
zzzz196	1	#FF0000
zzzz208	1	#FF0000
zzzz210	1	#FF0000
zzzz212	1	#FF0000
zzzz214	1	#FF0000
zzzz216	1	#FF0000
zzzz218	1	#FF0000
zzzz220	1	#FF0000
zzzz221	1	#FF0000
zzzz222	1	#FF0000
zzzz223	1	#FF0000
zzzz224	1	#FF0000
zzzz225	1	#FF0000
zzzz233	1	#FF0000
zzzz234	1	#FF0000
zzzz236	1	#FF0000
zzzz242	1	#FF0000
zzzz244	1	#FF0000
zzzz246	1	#FF0000
zzzz247	1	#FF0000
zzzz254	1	#FF0000
zzzz255	1	#FF0000
zzzz256	1	#FF0000
zzzz271	1	#FF0000
zzzz272	1	#FF0000
zzzz276	1	#FF0000
zzzz281	1	#FF0000
zzzz290	1	#FF0000
zzzz314	1	#FF0000
zzzz323	1	#FF0000
zzzz325	1	#FF0000
zzzz337	1	#FF0000
zzzz339	1	#FF0000
zzzz344	1	#FF0000
zzzz345	1	#FF0000
zzzz352	1	#FF0000
zzzz353	1	#FF0000
zzzz354	1	#FF0000
zzzz355	1	#FF0000
zzzz362	1	#FF0000
zzzz364	1	#FF0000
zzzz366	1	#FF0000
zzzz370	1	#FF0000
zzzz371	1	#FF0000
zzzz374	1	#FF0000
zzzz375	1	#FF0000
zzzz378	1	#FF0000
zzzz379	1	#FF0000
zzzz380	1	#FF0000
zzzz381	1	#FF0000
zzzz382	1	#FF0000
zzzz383	1	#FF0000
zzzz386	1	#FF0000
zzzz387	1	#FF0000
zzzz388	1	#FF0000
zzzz389	1	#FF0000
zzzz390	1	#FF0000
zzzz391	1	#FF0000
zzzz392	1	#FF0000
zzzz393	1	#FF0000
zzzz404	1	#FF0000
zzzz406	1	#FF0000
zzzz408	1	#FF0000
zzzz410	1	#FF0000
zzzz417	1	#FF0000
zzzz419	1	#FF0000
zzzz421	1	#FF0000
zzzz423	1	#FF0000
zzzz429	1	#FF0000
zzzz431	1	#FF0000
zzzz435	1	#FF0000
zzzz436	1	#FF0000
zzzz442	1	#FF0000
zzzz443	1	#FF0000
zzzz444	1	#FF0000
zzzz445	1	#FF0000
zzzz446	1	#FF0000
zzzz452	1	#FF0000
zzzz470	1	#FF0000
zzzz472	1	#FF0000
zzzz480	1	#FF0000
zzzz483	1	#FF0000
zzzz485	1	#FF0000
zzzz487	1	#FF0000
zzzz489	1	#FF0000
zzzz498	1	#FF0000
zzzz500	1	#FF0000
zzzz502	1	#FF0000
zzzz504	1	#FF0000
zzzz505	1	#FF0000
zzzz506	1	#FF0000
zzzz508	1	#FF0000
zzzz510	1	#FF0000
zzzz512	1	#FF0000
zzzz517	1	#FF0000
zzzz518	1	#FF0000
zzzz521	1	#FF0000
zzzz523	1	#FF0000
zzzz524	1	#FF0000
zzzz525	1	#FF0000
zzzz526	1	#FF0000
zzzz550	1	#FF0000
zzzz551	1	#FF0000
zzzz552	1	#FF0000
zzzz553	1	#FF0000
zzzz554	1	#FF0000
zzzz555	1	#FF0000
zzzz564	1	#FF0000
zzzz566	1	#FF0000
zzzz568	1	#FF0000
zzzz570	1	#FF0000
zzzz576	1	#FF0000
zzzz577	1	#FF0000
zzzz578	1	#FF0000
zzzzz10	1	#FF0000
zzzzz13	1	#FF0000
zzzzz15	1	#FF0000
zzzzz25	1	#FF0000
zzzzz27	1	#FF0000
zzzzz29	1	#FF0000
zzzzz31	1	#FF0000
zzzzz33	1	#FF0000
zzzzz36	1	#FF0000
zzzzz38	1	#FF0000
zzzzz58	1	#FF0000
zzzzz60	1	#FF0000
zzzzz66	1	#FF0000
zzzzz68	1	#FF0000
zzzzz70	1	#FF0000
zzzzz72	1	#FF0000
zzzzz75	1	#FF0000
zzzzz82	1	#FF0000
zzzzz84	1	#FF0000
zzzzz86	1	#FF0000
zzzzz88	1	#FF0000
zzzzz90	1	#FF0000
zzzzz91	1	#FF0000
zzzzz93	1	#FF0000
zzzzz94	1	#FF0000
zzzzzz1	1	#FF0000
zzzzzz2	1	#FF0000
