UniProt ID	Cluster Number	Cluster Color
zzzz112	1	#FF0000
zzzz132	1	#FF0000
zzzz133	1	#FF0000
zzzz158	1	#FF0000
zzzz170	1	#FF0000
zzzz171	1	#FF0000
zzzz185	1	#FF0000
zzzz191	1	#FF0000
zzzz226	1	#FF0000
zzzz253	1	#FF0000
zzzz254	1	#FF0000
zzzz262	1	#FF0000
zzzz351	1	#FF0000
zzzz372	1	#FF0000
zzzz373	1	#FF0000
zzzz392	1	#FF0000
zzzz405	1	#FF0000
zzzz479	1	#FF0000
zzzz480	1	#FF0000
zzzz488	1	#FF0000
zzzz489	1	#FF0000
zzzz495	1	#FF0000
zzzz507	1	#FF0000
zzzz510	1	#FF0000
zzzz524	1	#FF0000
zzzz526	1	#FF0000
zzzz529	1	#FF0000
zzzz535	1	#FF0000
zzzz537	1	#FF0000
zzzz542	1	#FF0000
zzzz543	1	#FF0000
zzzz568	1	#FF0000
zzzz593	1	#FF0000
zzzz628	1	#FF0000
zzzz635	1	#FF0000
zzzz653	1	#FF0000
zzzz661	1	#FF0000
zzzz662	1	#FF0000
zzzz663	1	#FF0000
zzzz666	1	#FF0000
zzzzz17	1	#FF0000
zzzzz18	1	#FF0000
zzzzz30	1	#FF0000
zzzzz33	1	#FF0000
zzzzz39	1	#FF0000
zzzzz48	1	#FF0000
zzzzz62	1	#FF0000
zzzzz67	1	#FF0000
zzzzz85	1	#FF0000
zzzzz86	1	#FF0000
zzzzzz5	1	#FF0000
zzzzzz6	1	#FF0000
zzzz113	2	#0000FF
zzzz114	2	#0000FF
zzzz119	2	#0000FF
zzzz123	2	#0000FF
zzzz128	2	#0000FF
zzzz186	2	#0000FF
zzzz187	2	#0000FF
zzzz221	2	#0000FF
zzzz223	2	#0000FF
zzzz233	2	#0000FF
zzzz239	2	#0000FF
zzzz256	2	#0000FF
zzzz261	2	#0000FF
zzzz295	2	#0000FF
zzzz311	2	#0000FF
zzzz312	2	#0000FF
zzzz320	2	#0000FF
zzzz363	2	#0000FF
zzzz364	2	#0000FF
zzzz382	2	#0000FF
zzzz407	2	#0000FF
zzzz482	2	#0000FF
zzzz490	2	#0000FF
zzzz491	2	#0000FF
zzzz497	2	#0000FF
zzzz504	2	#0000FF
zzzz516	2	#0000FF
zzzz523	2	#0000FF
zzzz538	2	#0000FF
zzzz569	2	#0000FF
zzzz597	2	#0000FF
zzzz630	2	#0000FF
zzzz636	2	#0000FF
zzzz654	2	#0000FF
zzzz657	2	#0000FF
zzzz664	2	#0000FF
zzzzz12	2	#0000FF
zzzzz13	2	#0000FF
zzzzz35	2	#0000FF
zzzzz38	2	#0000FF
zzzzz41	2	#0000FF
zzzzz49	2	#0000FF
zzzzz56	2	#0000FF
zzzzz58	2	#0000FF
zzzzz64	2	#0000FF
zzzzz66	2	#0000FF
zzzzz68	2	#0000FF
zzzzzz4	2	#0000FF
zzzz140	3	#FFA500
zzzz211	3	#FFA500
zzzz212	3	#FFA500
zzzz214	3	#FFA500
zzzz215	3	#FFA500
zzzz227	3	#FFA500
zzzz281	3	#FFA500
zzzz355	3	#FFA500
zzzz356	3	#FFA500
zzzz357	3	#FFA500
zzzz358	3	#FFA500
zzzz359	3	#FFA500
zzzz467	3	#FFA500
zzzz552	3	#FFA500
zzzz192	4	#008000
zzzz193	4	#008000
zzzz249	4	#008000
zzzz257	4	#008000
zzzz317	4	#008000
zzzz318	4	#008000
zzzz319	4	#008000
zzzz406	4	#008000
zzzz450	4	#008000
zzzz451	4	#008000
zzzzz73	4	#008000
zzzzz96	4	#008000
zzzzz97	4	#008000
zzzz107	5	#FF00FF
zzzz134	5	#FF00FF
zzzz271	5	#FF00FF
zzzz280	5	#FF00FF
zzzz315	5	#FF00FF
zzzz423	5	#FF00FF
zzzz533	5	#FF00FF
zzzz551	5	#FF00FF
zzzz562	5	#FF00FF
zzzzz15	5	#FF00FF
zzzz340	6	#808080
zzzz360	6	#808080
zzzz361	6	#808080
zzzz498	6	#808080
zzzz499	6	#808080
zzzz563	6	#808080
zzzz564	6	#808080
zzzzzz7	6	#808080
zzzzzz8	6	#808080
zzzz282	7	#00FFFF
zzzz283	7	#00FFFF
zzzz417	7	#00FFFF
zzzz418	7	#00FFFF
zzzz419	7	#00FFFF
zzzz438	7	#00FFFF
zzzz440	7	#00FFFF
zzzz609	7	#00FFFF
zzzz250	8	#FFC0CB
zzzz251	8	#FFC0CB
zzzz326	8	#FFC0CB
zzzz327	8	#FFC0CB
zzzz616	8	#FFC0CB
zzzz617	8	#FFC0CB
zzzzzz9	8	#FFC0CB
zzzz102	9	#FF69B4
zzzz146	9	#FF69B4
zzzz520	9	#FF69B4
zzzz575	9	#FF69B4
zzzz585	9	#FF69B4
zzzz589	9	#FF69B4
zzzz592	9	#FF69B4
zzzz152	10	#808000
zzzz386	10	#808000
zzzz461	10	#808000
zzzz530	10	#808000
zzzz353	11	#FA8072
zzzz512	11	#FA8072
zzzzz23	11	#FA8072
zzzzz54	11	#FA8072
zzzz296	12	#EE82EE
zzzz333	12	#EE82EE
zzzz334	12	#EE82EE
zzzz341	12	#EE82EE
zzzz206	13	#006400
zzzz449	13	#006400
zzzz544	13	#006400
zzzz545	13	#006400
zzzz196	14	#00FF00
zzzzz10	14	#00FF00
zzzzz11	14	#00FF00
zzzz151	15	#B259B2
zzzz385	15	#B259B2
zzzz460	15	#B259B2
zzzz104	16	#003366
zzzz105	16	#003366
zzzz106	16	#003366
zzzz647	17	#7FFFBF
zzzz648	17	#7FFFBF
zzzz649	17	#7FFFBF
zzzz444	18	#8000FF
zzzz445	18	#8000FF
zzzz446	18	#8000FF
zzzz485	19	#B25900
zzzz486	19	#B25900
zzzz487	19	#B25900
zzzz342	20	#592C00
zzzz343	20	#592C00
zzzz344	20	#592C00
zzzz527	21	#800000
zzzz621	21	#800000
zzzzz80	21	#800000
zzzz384	22	#0080FF
zzzz435	22	#0080FF
zzzzz77	22	#0080FF
zzzz255	23	#404040
zzzz481	23	#404040
zzzz629	23	#404040
zzzz129	24	#FF4040
zzzz404	24	#FF4040
zzzzz37	24	#FF4040
zzzz565	25	#40FF40
zzzz655	25	#40FF40
zzzz331	26	#4040FF
zzzz332	26	#4040FF
