UniProt ID	Cluster Number	Cluster Color
zzz1000	1	#FF0000
zzz1001	1	#FF0000
zzz1002	1	#FF0000
zzz1003	1	#FF0000
zzz1026	1	#FF0000
zzz1052	1	#FF0000
zzz1057	1	#FF0000
zzz1063	1	#FF0000
zzz1082	1	#FF0000
zzz1097	1	#FF0000
zzz1132	1	#FF0000
zzz1134	1	#FF0000
zzz1137	1	#FF0000
zzz1138	1	#FF0000
zzz1139	1	#FF0000
zzz1140	1	#FF0000
zzz1141	1	#FF0000
zzz1143	1	#FF0000
zzz1144	1	#FF0000
zzz1145	1	#FF0000
zzzz138	1	#FF0000
zzzz142	1	#FF0000
zzzz144	1	#FF0000
zzzz156	1	#FF0000
zzzz161	1	#FF0000
zzzz205	1	#FF0000
zzzz211	1	#FF0000
zzzz217	1	#FF0000
zzzz219	1	#FF0000
zzzz220	1	#FF0000
zzzz258	1	#FF0000
zzzz260	1	#FF0000
zzzz263	1	#FF0000
zzzz265	1	#FF0000
zzzz266	1	#FF0000
zzzz267	1	#FF0000
zzzz268	1	#FF0000
zzzz296	1	#FF0000
zzzz299	1	#FF0000
zzzz301	1	#FF0000
zzzz306	1	#FF0000
zzzz307	1	#FF0000
zzzz314	1	#FF0000
zzzz316	1	#FF0000
zzzz318	1	#FF0000
zzzz323	1	#FF0000
zzzz324	1	#FF0000
zzzz325	1	#FF0000
zzzz326	1	#FF0000
zzzz327	1	#FF0000
zzzz328	1	#FF0000
zzzz329	1	#FF0000
zzzz334	1	#FF0000
zzzz340	1	#FF0000
zzzz345	1	#FF0000
zzzz347	1	#FF0000
zzzz349	1	#FF0000
zzzz350	1	#FF0000
zzzz351	1	#FF0000
zzzz353	1	#FF0000
zzzz371	1	#FF0000
zzzz393	1	#FF0000
zzzz416	1	#FF0000
zzzz439	1	#FF0000
zzzz442	1	#FF0000
zzzz446	1	#FF0000
zzzz447	1	#FF0000
zzzz449	1	#FF0000
zzzz478	1	#FF0000
zzzz479	1	#FF0000
zzzz480	1	#FF0000
zzzz481	1	#FF0000
zzzz482	1	#FF0000
zzzz484	1	#FF0000
zzzz485	1	#FF0000
zzzz486	1	#FF0000
zzzz516	1	#FF0000
zzzz533	1	#FF0000
zzzz540	1	#FF0000
zzzz541	1	#FF0000
zzzz542	1	#FF0000
zzzz543	1	#FF0000
zzzz549	1	#FF0000
zzzz583	1	#FF0000
zzzz600	1	#FF0000
zzzz626	1	#FF0000
zzzz633	1	#FF0000
zzzz636	1	#FF0000
zzzz637	1	#FF0000
zzzz638	1	#FF0000
zzzz639	1	#FF0000
zzzz642	1	#FF0000
zzzz644	1	#FF0000
zzzz645	1	#FF0000
zzzz646	1	#FF0000
zzzz651	1	#FF0000
zzzz682	1	#FF0000
zzzz686	1	#FF0000
zzzz715	1	#FF0000
zzzz720	1	#FF0000
zzzz721	1	#FF0000
zzzz722	1	#FF0000
zzzz725	1	#FF0000
zzzz739	1	#FF0000
zzzz740	1	#FF0000
zzzz743	1	#FF0000
zzzz744	1	#FF0000
zzzz745	1	#FF0000
zzzz746	1	#FF0000
zzzz758	1	#FF0000
zzzz765	1	#FF0000
zzzz772	1	#FF0000
zzzz773	1	#FF0000
zzzz774	1	#FF0000
zzzz779	1	#FF0000
zzzz784	1	#FF0000
zzzz785	1	#FF0000
zzzz790	1	#FF0000
zzzz793	1	#FF0000
zzzz794	1	#FF0000
zzzz795	1	#FF0000
zzzz796	1	#FF0000
zzzz808	1	#FF0000
zzzz828	1	#FF0000
zzzz829	1	#FF0000
zzzz830	1	#FF0000
zzzz831	1	#FF0000
zzzz832	1	#FF0000
zzzz833	1	#FF0000
zzzz838	1	#FF0000
zzzz839	1	#FF0000
zzzz840	1	#FF0000
zzzz860	1	#FF0000
zzzz861	1	#FF0000
zzzz862	1	#FF0000
zzzz863	1	#FF0000
zzzz864	1	#FF0000
zzzz868	1	#FF0000
zzzz880	1	#FF0000
zzzz882	1	#FF0000
zzzz895	1	#FF0000
zzzz898	1	#FF0000
zzzz906	1	#FF0000
zzzz907	1	#FF0000
zzzz908	1	#FF0000
zzzz909	1	#FF0000
zzzz949	1	#FF0000
zzzz950	1	#FF0000
zzzz951	1	#FF0000
zzzz952	1	#FF0000
zzzz953	1	#FF0000
zzzz955	1	#FF0000
zzzz957	1	#FF0000
zzzz965	1	#FF0000
