UniProt ID	Cluster Number	Cluster Color
zzz1000	1	#FF0000
zzz1001	1	#FF0000
zzz1003	1	#FF0000
zzz1004	1	#FF0000
zzz1005	1	#FF0000
zzz1006	1	#FF0000
zzz1008	1	#FF0000
zzz1009	1	#FF0000
zzz1038	1	#FF0000
zzz1041	1	#FF0000
zzz1056	1	#FF0000
zzz1058	1	#FF0000
zzz1083	1	#FF0000
zzz1084	1	#FF0000
zzz1085	1	#FF0000
zzz1086	1	#FF0000
zzz1087	1	#FF0000
zzz1089	1	#FF0000
zzz1090	1	#FF0000
zzz1092	1	#FF0000
zzz1110	1	#FF0000
zzz1111	1	#FF0000
zzz1113	1	#FF0000
zzz1118	1	#FF0000
zzz1121	1	#FF0000
zzz1122	1	#FF0000
zzz1123	1	#FF0000
zzz1124	1	#FF0000
zzz1126	1	#FF0000
zzz1129	1	#FF0000
zzz1130	1	#FF0000
zzz1131	1	#FF0000
zzz1132	1	#FF0000
zzz1141	1	#FF0000
zzz1158	1	#FF0000
zzz1159	1	#FF0000
zzz1161	1	#FF0000
zzz1162	1	#FF0000
zzz1163	1	#FF0000
zzz1164	1	#FF0000
zzz1165	1	#FF0000
zzz1166	1	#FF0000
zzz1240	1	#FF0000
zzz1270	1	#FF0000
zzz1271	1	#FF0000
zzz1276	1	#FF0000
zzz1279	1	#FF0000
zzz1282	1	#FF0000
zzz1283	1	#FF0000
zzz1284	1	#FF0000
zzz1285	1	#FF0000
zzz1287	1	#FF0000
zzz1288	1	#FF0000
zzz1291	1	#FF0000
zzz1300	1	#FF0000
zzz1301	1	#FF0000
zzz1305	1	#FF0000
zzz1306	1	#FF0000
zzz1307	1	#FF0000
zzz1308	1	#FF0000
zzz1356	1	#FF0000
zzz1371	1	#FF0000
zzz1372	1	#FF0000
zzz1373	1	#FF0000
zzz1374	1	#FF0000
zzz1377	1	#FF0000
zzz1379	1	#FF0000
zzz1381	1	#FF0000
zzz1384	1	#FF0000
zzz1385	1	#FF0000
zzz1387	1	#FF0000
zzz1388	1	#FF0000
zzz1393	1	#FF0000
zzz1394	1	#FF0000
zzz1395	1	#FF0000
zzz1397	1	#FF0000
zzz1399	1	#FF0000
zzz1400	1	#FF0000
zzz1402	1	#FF0000
zzz1403	1	#FF0000
zzz1415	1	#FF0000
zzz1416	1	#FF0000
zzz1418	1	#FF0000
zzz1420	1	#FF0000
zzz1421	1	#FF0000
zzz1444	1	#FF0000
zzz1452	1	#FF0000
zzz1453	1	#FF0000
zzz1455	1	#FF0000
zzz1460	1	#FF0000
zzz1461	1	#FF0000
zzz1462	1	#FF0000
zzz1463	1	#FF0000
zzz1464	1	#FF0000
zzz1465	1	#FF0000
zzz1472	1	#FF0000
zzz1473	1	#FF0000
zzz1474	1	#FF0000
zzz1476	1	#FF0000
zzz1477	1	#FF0000
zzz1493	1	#FF0000
zzz1496	1	#FF0000
zzz1498	1	#FF0000
zzz1499	1	#FF0000
zzz1501	1	#FF0000
zzz1502	1	#FF0000
zzz1505	1	#FF0000
zzz1506	1	#FF0000
zzz1507	1	#FF0000
zzz1508	1	#FF0000
zzz1509	1	#FF0000
zzz1510	1	#FF0000
zzz1512	1	#FF0000
zzz1513	1	#FF0000
zzz1514	1	#FF0000
zzz1515	1	#FF0000
zzz1523	1	#FF0000
zzz1524	1	#FF0000
zzz1525	1	#FF0000
zzz1526	1	#FF0000
zzz1528	1	#FF0000
zzz1531	1	#FF0000
zzz1539	1	#FF0000
zzz1542	1	#FF0000
zzz1549	1	#FF0000
zzz1550	1	#FF0000
zzz1551	1	#FF0000
zzz1552	1	#FF0000
zzz1553	1	#FF0000
zzz1620	1	#FF0000
zzz1621	1	#FF0000
zzz1622	1	#FF0000
zzz1623	1	#FF0000
zzz1624	1	#FF0000
zzz1626	1	#FF0000
zzz1628	1	#FF0000
zzz1629	1	#FF0000
zzz1630	1	#FF0000
zzz1632	1	#FF0000
zzz1637	1	#FF0000
zzz1638	1	#FF0000
zzz1644	1	#FF0000
zzz1645	1	#FF0000
zzz1646	1	#FF0000
zzz1707	1	#FF0000
zzz1708	1	#FF0000
zzz1709	1	#FF0000
zzz1710	1	#FF0000
zzz1711	1	#FF0000
zzz1724	1	#FF0000
zzz1737	1	#FF0000
zzz1738	1	#FF0000
zzz1740	1	#FF0000
zzz1745	1	#FF0000
