UniProt ID	Cluster Number	Cluster Color
zzz1001	1	#FF0000
zzz1002	1	#FF0000
zzz1003	1	#FF0000
zzz1004	1	#FF0000
zzz1006	1	#FF0000
zzz1007	1	#FF0000
zzz1008	1	#FF0000
zzz1009	1	#FF0000
zzz1010	1	#FF0000
zzz1011	1	#FF0000
zzz1012	1	#FF0000
zzz1014	1	#FF0000
zzz1015	1	#FF0000
zzz1026	1	#FF0000
zzz1027	1	#FF0000
zzz1028	1	#FF0000
zzz1029	1	#FF0000
zzz1030	1	#FF0000
zzz1031	1	#FF0000
zzz1032	1	#FF0000
zzz1033	1	#FF0000
zzz1034	1	#FF0000
zzz1035	1	#FF0000
zzz1042	1	#FF0000
zzz1043	1	#FF0000
zzz1047	1	#FF0000
zzz1048	1	#FF0000
zzz1049	1	#FF0000
zzz1050	1	#FF0000
zzz1052	1	#FF0000
zzz1053	1	#FF0000
zzz1055	1	#FF0000
zzz1056	1	#FF0000
zzz1057	1	#FF0000
zzz1058	1	#FF0000
zzz1059	1	#FF0000
zzz1060	1	#FF0000
zzz1061	1	#FF0000
zzz1069	1	#FF0000
zzz1070	1	#FF0000
zzz1071	1	#FF0000
zzz1072	1	#FF0000
zzz1073	1	#FF0000
zzz1074	1	#FF0000
zzz1075	1	#FF0000
zzz1076	1	#FF0000
zzz1077	1	#FF0000
zzz1078	1	#FF0000
zzz1079	1	#FF0000
zzz1080	1	#FF0000
zzz1082	1	#FF0000
zzz1083	1	#FF0000
zzz1084	1	#FF0000
zzz1085	1	#FF0000
zzz1086	1	#FF0000
zzz1088	1	#FF0000
zzz1089	1	#FF0000
zzz1090	1	#FF0000
zzz1091	1	#FF0000
zzz1092	1	#FF0000
zzz1093	1	#FF0000
zzz1094	1	#FF0000
zzz1096	1	#FF0000
zzz1097	1	#FF0000
zzz1098	1	#FF0000
zzz1099	1	#FF0000
zzz1100	1	#FF0000
zzz1101	1	#FF0000
zzz1102	1	#FF0000
zzz1146	1	#FF0000
zzz1147	1	#FF0000
zzz1148	1	#FF0000
zzz1149	1	#FF0000
zzz1150	1	#FF0000
zzz1151	1	#FF0000
zzz1152	1	#FF0000
zzz1163	1	#FF0000
zzz1165	1	#FF0000
zzz1166	1	#FF0000
zzz1167	1	#FF0000
zzz1168	1	#FF0000
zzz1169	1	#FF0000
zzz1170	1	#FF0000
zzz1171	1	#FF0000
zzz1172	1	#FF0000
zzz1173	1	#FF0000
zzz1214	1	#FF0000
zzz1216	1	#FF0000
zzz1223	1	#FF0000
zzz1226	1	#FF0000
zzz1227	1	#FF0000
zzz1228	1	#FF0000
zzz1230	1	#FF0000
zzz1232	1	#FF0000
zzz1270	1	#FF0000
zzz1271	1	#FF0000
zzz1272	1	#FF0000
zzz1276	1	#FF0000
zzz1277	1	#FF0000
zzz1278	1	#FF0000
zzz1279	1	#FF0000
zzz1280	1	#FF0000
zzz1281	1	#FF0000
zzz1282	1	#FF0000
zzz1284	1	#FF0000
zzz1285	1	#FF0000
zzz1286	1	#FF0000
zzz1287	1	#FF0000
zzz1288	1	#FF0000
zzz1290	1	#FF0000
zzz1291	1	#FF0000
zzz1293	1	#FF0000
zzz1294	1	#FF0000
zzz1295	1	#FF0000
zzz1296	1	#FF0000
zzz1299	1	#FF0000
zzz1300	1	#FF0000
zzz1301	1	#FF0000
zzz1302	1	#FF0000
zzz1307	1	#FF0000
zzz1310	1	#FF0000
zzz1327	1	#FF0000
zzz1336	1	#FF0000
zzz1352	1	#FF0000
zzz1395	1	#FF0000
zzz1396	1	#FF0000
zzz1397	1	#FF0000
zzz1398	1	#FF0000
zzz1399	1	#FF0000
zzz1400	1	#FF0000
zzz1401	1	#FF0000
zzz1402	1	#FF0000
zzz1403	1	#FF0000
zzz1404	1	#FF0000
zzz1405	1	#FF0000
zzz1406	1	#FF0000
zzz1407	1	#FF0000
zzz1408	1	#FF0000
zzz1410	1	#FF0000
zzz1411	1	#FF0000
zzz1412	1	#FF0000
zzz1414	1	#FF0000
zzz1415	1	#FF0000
zzz1451	1	#FF0000
zzz1454	1	#FF0000
zzz1458	1	#FF0000
zzz1459	1	#FF0000
zzz1460	1	#FF0000
zzz1461	1	#FF0000
zzz1462	1	#FF0000
zzz1463	1	#FF0000
zzz1464	1	#FF0000
zzz1465	1	#FF0000
zzz1466	1	#FF0000
zzz1467	1	#FF0000
zzz1468	1	#FF0000
zzz1473	1	#FF0000
zzz1474	1	#FF0000
zzz1475	1	#FF0000
zzz1476	1	#FF0000
zzz1477	1	#FF0000
zzz1478	1	#FF0000
zzz1479	1	#FF0000
zzz1480	1	#FF0000
zzz1481	1	#FF0000
zzz1518	1	#FF0000
zzz1532	1	#FF0000
zzz1533	1	#FF0000
zzz1534	1	#FF0000
zzz1535	1	#FF0000
zzz1536	1	#FF0000
zzz1537	1	#FF0000
zzz1538	1	#FF0000
zzz1539	1	#FF0000
zzz1540	1	#FF0000
zzz1541	1	#FF0000
zzz1544	1	#FF0000
zzz1545	1	#FF0000
zzz1558	1	#FF0000
zzz1562	1	#FF0000
zzz1563	1	#FF0000
zzz1564	1	#FF0000
zzz1565	1	#FF0000
zzz1566	1	#FF0000
zzz1567	1	#FF0000
zzz1568	1	#FF0000
zzz1569	1	#FF0000
zzz1570	1	#FF0000
zzz1571	1	#FF0000
zzz1572	1	#FF0000
zzz1573	1	#FF0000
zzz1574	1	#FF0000
zzz1577	1	#FF0000
zzz1578	1	#FF0000
zzz1579	1	#FF0000
zzz1580	1	#FF0000
zzz1581	1	#FF0000
zzz1582	1	#FF0000
zzz1583	1	#FF0000
zzz1584	1	#FF0000
zzz1585	1	#FF0000
zzz1586	1	#FF0000
zzz1587	1	#FF0000
zzz1588	1	#FF0000
zzz1590	1	#FF0000
zzz1591	1	#FF0000
zzz1592	1	#FF0000
zzz1593	1	#FF0000
zzz1594	1	#FF0000
zzz1595	1	#FF0000
zzz1596	1	#FF0000
zzz1597	1	#FF0000
zzz1598	1	#FF0000
zzz1609	1	#FF0000
zzz1610	1	#FF0000
zzz1611	1	#FF0000
zzz1612	1	#FF0000
zzz1613	1	#FF0000
zzz1614	1	#FF0000
zzz1615	1	#FF0000
zzz1644	1	#FF0000
zzz1645	1	#FF0000
zzz1646	1	#FF0000
zzz1647	1	#FF0000
zzz1648	1	#FF0000
zzz1649	1	#FF0000
zzz1650	1	#FF0000
zzz1651	1	#FF0000
zzz1652	1	#FF0000
zzz1653	1	#FF0000
zzz1654	1	#FF0000
zzz1655	1	#FF0000
zzz1656	1	#FF0000
zzz1657	1	#FF0000
zzz1658	1	#FF0000
zzz1659	1	#FF0000
zzz1660	1	#FF0000
zzz1661	1	#FF0000
zzz1667	1	#FF0000
zzz1668	1	#FF0000
zzz1669	1	#FF0000
zzz1670	1	#FF0000
zzz1671	1	#FF0000
zzz1675	1	#FF0000
zzz1676	1	#FF0000
zzz1677	1	#FF0000
zzz1678	1	#FF0000
zzz1679	1	#FF0000
zzz1680	1	#FF0000
zzz1681	1	#FF0000
zzz1682	1	#FF0000
zzz1683	1	#FF0000
zzz1684	1	#FF0000
zzz1685	1	#FF0000
zzz1706	1	#FF0000
zzz1707	1	#FF0000
zzz1708	1	#FF0000
zzz1709	1	#FF0000
zzz1711	1	#FF0000
zzz1712	1	#FF0000
zzz1713	1	#FF0000
zzz1714	1	#FF0000
zzz1717	1	#FF0000
zzz1719	1	#FF0000
zzz1720	1	#FF0000
zzz1721	1	#FF0000
zzz1722	1	#FF0000
zzz1723	1	#FF0000
zzz1728	1	#FF0000
zzz1729	1	#FF0000
zzz1730	1	#FF0000
zzz1731	1	#FF0000
zzz1732	1	#FF0000
zzz1733	1	#FF0000
zzz1734	1	#FF0000
zzz1735	1	#FF0000
zzz1736	1	#FF0000
zzz1737	1	#FF0000
zzz1738	1	#FF0000
zzz1739	1	#FF0000
zzz1740	1	#FF0000
zzz1741	1	#FF0000
zzz1742	1	#FF0000
zzz1743	1	#FF0000
zzz1744	1	#FF0000
zzz1745	1	#FF0000
zzz1746	1	#FF0000
zzz1747	1	#FF0000
zzz1748	1	#FF0000
zzz1751	1	#FF0000
zzz1752	1	#FF0000
zzz1754	1	#FF0000
zzz1755	1	#FF0000
zzz1756	1	#FF0000
zzz1758	1	#FF0000
zzz1759	1	#FF0000
zzz1765	1	#FF0000
zzz1766	1	#FF0000
zzz1767	1	#FF0000
zzz1768	1	#FF0000
zzz1769	1	#FF0000
zzz1774	1	#FF0000
zzz1776	1	#FF0000
zzz1777	1	#FF0000
zzz1780	1	#FF0000
zzz1781	1	#FF0000
zzz1784	1	#FF0000
zzz1786	1	#FF0000
zzz1787	1	#FF0000
zzz1795	1	#FF0000
zzz1813	1	#FF0000
zzz1814	1	#FF0000
zzz1815	1	#FF0000
zzz1816	1	#FF0000
zzz1842	1	#FF0000
zzz1843	1	#FF0000
zzz1844	1	#FF0000
zzz1845	1	#FF0000
zzz1846	1	#FF0000
zzz1847	1	#FF0000
zzz1848	1	#FF0000
zzz1849	1	#FF0000
zzz1852	1	#FF0000
zzz1853	1	#FF0000
zzz1854	1	#FF0000
zzz1855	1	#FF0000
zzz1856	1	#FF0000
zzz1859	1	#FF0000
zzz1860	1	#FF0000
zzz1861	1	#FF0000
zzz1862	1	#FF0000
zzz1863	1	#FF0000
zzz1864	1	#FF0000
zzz1865	1	#FF0000
zzz1866	1	#FF0000
zzz1867	1	#FF0000
zzz1868	1	#FF0000
zzz1869	1	#FF0000
zzz1870	1	#FF0000
zzz1900	1	#FF0000
zzz1901	1	#FF0000
zzz1902	1	#FF0000
zzz1903	1	#FF0000
zzz1904	1	#FF0000
zzz1905	1	#FF0000
zzz1906	1	#FF0000
zzz1907	1	#FF0000
zzz1908	1	#FF0000
zzz1909	1	#FF0000
zzz1910	1	#FF0000
zzz1911	1	#FF0000
zzz1912	1	#FF0000
zzz1913	1	#FF0000
zzz1953	1	#FF0000
zzz1954	1	#FF0000
zzz1955	1	#FF0000
zzz1956	1	#FF0000
zzz1957	1	#FF0000
zzz1970	1	#FF0000
zzz1972	1	#FF0000
zzz1973	1	#FF0000
zzz1974	1	#FF0000
zzz1975	1	#FF0000
zzz1976	1	#FF0000
zzz1977	1	#FF0000
zzz1981	1	#FF0000
zzz1982	1	#FF0000
zzz1983	1	#FF0000
zzz1984	1	#FF0000
zzz1985	1	#FF0000
zzz1986	1	#FF0000
zzz1987	1	#FF0000
zzz1994	1	#FF0000
zzz1995	1	#FF0000
zzz1996	1	#FF0000
zzz1997	1	#FF0000
zzz1998	1	#FF0000
zzz1999	1	#FF0000
zzz2000	1	#FF0000
zzz2001	1	#FF0000
zzz2002	1	#FF0000
zzz2003	1	#FF0000
zzz2004	1	#FF0000
zzz2005	1	#FF0000
zzz2006	1	#FF0000
zzz2034	1	#FF0000
zzz2039	1	#FF0000
zzz2044	1	#FF0000
zzz2046	1	#FF0000
zzz2047	1	#FF0000
zzz2048	1	#FF0000
zzz2061	1	#FF0000
zzz2062	1	#FF0000
zzz2063	1	#FF0000
zzz2064	1	#FF0000
zzz2065	1	#FF0000
zzz2066	1	#FF0000
zzz2067	1	#FF0000
zzz2082	1	#FF0000
zzz2085	1	#FF0000
zzz2137	1	#FF0000
zzz2138	1	#FF0000
zzz2139	1	#FF0000
zzz2140	1	#FF0000
zzz2141	1	#FF0000
zzz2142	1	#FF0000
zzz2143	1	#FF0000
zzz2144	1	#FF0000
zzz2145	1	#FF0000
zzz2146	1	#FF0000
zzz2170	1	#FF0000
zzz2171	1	#FF0000
zzz2172	1	#FF0000
zzz2173	1	#FF0000
zzz2174	1	#FF0000
zzz2175	1	#FF0000
zzz2176	1	#FF0000
zzz2177	1	#FF0000
zzz2178	1	#FF0000
zzz2179	1	#FF0000
zzz2180	1	#FF0000
zzz2181	1	#FF0000
zzz2182	1	#FF0000
zzz2183	1	#FF0000
zzz2185	1	#FF0000
zzz2186	1	#FF0000
zzz2187	1	#FF0000
zzz2188	1	#FF0000
zzzz133	1	#FF0000
zzzz134	1	#FF0000
zzzz135	1	#FF0000
zzzz136	1	#FF0000
zzzz137	1	#FF0000
zzzz138	1	#FF0000
zzzz139	1	#FF0000
zzzz140	1	#FF0000
zzzz160	1	#FF0000
zzzz161	1	#FF0000
zzzz162	1	#FF0000
zzzz163	1	#FF0000
zzzz164	1	#FF0000
zzzz165	1	#FF0000
zzzz166	1	#FF0000
zzzz167	1	#FF0000
zzzz168	1	#FF0000
zzzz169	1	#FF0000
zzzz170	1	#FF0000
zzzz204	1	#FF0000
zzzz205	1	#FF0000
zzzz206	1	#FF0000
zzzz207	1	#FF0000
zzzz208	1	#FF0000
zzzz209	1	#FF0000
zzzz210	1	#FF0000
zzzz249	1	#FF0000
zzzz271	1	#FF0000
zzzz274	1	#FF0000
zzzz277	1	#FF0000
zzzz313	1	#FF0000
zzzz314	1	#FF0000
zzzz315	1	#FF0000
zzzz316	1	#FF0000
zzzz317	1	#FF0000
zzzz318	1	#FF0000
zzzz319	1	#FF0000
zzzz320	1	#FF0000
zzzz321	1	#FF0000
zzzz322	1	#FF0000
zzzz323	1	#FF0000
zzzz324	1	#FF0000
zzzz329	1	#FF0000
zzzz330	1	#FF0000
zzzz331	1	#FF0000
zzzz332	1	#FF0000
zzzz333	1	#FF0000
zzzz334	1	#FF0000
zzzz335	1	#FF0000
zzzz343	1	#FF0000
zzzz346	1	#FF0000
zzzz391	1	#FF0000
zzzz392	1	#FF0000
zzzz393	1	#FF0000
zzzz394	1	#FF0000
zzzz395	1	#FF0000
zzzz396	1	#FF0000
zzzz397	1	#FF0000
zzzz398	1	#FF0000
zzzz407	1	#FF0000
zzzz408	1	#FF0000
zzzz409	1	#FF0000
zzzz410	1	#FF0000
zzzz411	1	#FF0000
zzzz416	1	#FF0000
zzzz417	1	#FF0000
zzzz419	1	#FF0000
zzzz420	1	#FF0000
zzzz421	1	#FF0000
zzzz425	1	#FF0000
zzzz426	1	#FF0000
zzzz427	1	#FF0000
zzzz428	1	#FF0000
zzzz429	1	#FF0000
zzzz430	1	#FF0000
zzzz431	1	#FF0000
zzzz432	1	#FF0000
zzzz470	1	#FF0000
zzzz471	1	#FF0000
zzzz472	1	#FF0000
zzzz473	1	#FF0000
zzzz474	1	#FF0000
zzzz475	1	#FF0000
zzzz502	1	#FF0000
zzzz503	1	#FF0000
zzzz504	1	#FF0000
zzzz505	1	#FF0000
zzzz506	1	#FF0000
zzzz507	1	#FF0000
zzzz508	1	#FF0000
zzzz509	1	#FF0000
zzzz517	1	#FF0000
zzzz518	1	#FF0000
zzzz519	1	#FF0000
zzzz520	1	#FF0000
zzzz521	1	#FF0000
zzzz522	1	#FF0000
zzzz523	1	#FF0000
zzzz524	1	#FF0000
zzzz525	1	#FF0000
zzzz526	1	#FF0000
zzzz527	1	#FF0000
zzzz528	1	#FF0000
zzzz529	1	#FF0000
zzzz531	1	#FF0000
zzzz532	1	#FF0000
zzzz533	1	#FF0000
zzzz534	1	#FF0000
zzzz535	1	#FF0000
zzzz536	1	#FF0000
zzzz537	1	#FF0000
zzzz538	1	#FF0000
zzzz547	1	#FF0000
zzzz548	1	#FF0000
zzzz549	1	#FF0000
zzzz550	1	#FF0000
zzzz551	1	#FF0000
zzzz561	1	#FF0000
zzzz563	1	#FF0000
zzzz564	1	#FF0000
zzzz565	1	#FF0000
zzzz566	1	#FF0000
zzzz567	1	#FF0000
zzzz568	1	#FF0000
zzzz569	1	#FF0000
zzzz582	1	#FF0000
zzzz583	1	#FF0000
zzzz584	1	#FF0000
zzzz585	1	#FF0000
zzzz587	1	#FF0000
zzzz588	1	#FF0000
zzzz589	1	#FF0000
