UniProt ID	Cluster Number	Cluster Color
zzzz101	1	#FF0000
zzzz111	1	#FF0000
zzzz116	1	#FF0000
zzzz122	1	#FF0000
zzzz124	1	#FF0000
zzzz130	1	#FF0000
zzzz136	1	#FF0000
zzzz143	1	#FF0000
zzzz144	1	#FF0000
zzzz145	1	#FF0000
zzzz146	1	#FF0000
zzzz153	1	#FF0000
zzzz155	1	#FF0000
zzzz167	1	#FF0000
zzzz173	1	#FF0000
zzzz178	1	#FF0000
zzzz182	1	#FF0000
zzzz186	1	#FF0000
zzzz188	1	#FF0000
zzzz192	1	#FF0000
zzzz199	1	#FF0000
zzzz201	1	#FF0000
zzzz204	1	#FF0000
zzzz208	1	#FF0000
zzzz213	1	#FF0000
zzzz217	1	#FF0000
zzzz218	1	#FF0000
zzzz222	1	#FF0000
zzzz225	1	#FF0000
zzzz227	1	#FF0000
zzzz228	1	#FF0000
zzzz229	1	#FF0000
zzzz233	1	#FF0000
zzzz240	1	#FF0000
zzzz244	1	#FF0000
zzzz246	1	#FF0000
zzzz248	1	#FF0000
zzzz250	1	#FF0000
zzzz252	1	#FF0000
zzzz253	1	#FF0000
zzzz258	1	#FF0000
zzzz261	1	#FF0000
zzzz266	1	#FF0000
zzzz268	1	#FF0000
zzzz272	1	#FF0000
zzzz285	1	#FF0000
zzzz290	1	#FF0000
zzzz293	1	#FF0000
zzzz302	1	#FF0000
zzzz303	1	#FF0000
zzzz309	1	#FF0000
zzzz310	1	#FF0000
zzzz316	1	#FF0000
zzzz321	1	#FF0000
zzzz324	1	#FF0000
zzzz327	1	#FF0000
zzzz328	1	#FF0000
zzzz329	1	#FF0000
zzzz330	1	#FF0000
zzzz332	1	#FF0000
zzzz333	1	#FF0000
zzzz337	1	#FF0000
zzzz338	1	#FF0000
zzzz340	1	#FF0000
zzzz354	1	#FF0000
zzzz359	1	#FF0000
zzzz364	1	#FF0000
zzzz365	1	#FF0000
zzzz369	1	#FF0000
zzzz371	1	#FF0000
zzzz377	1	#FF0000
zzzz379	1	#FF0000
zzzz385	1	#FF0000
zzzz388	1	#FF0000
zzzz392	1	#FF0000
zzzz394	1	#FF0000
zzzz398	1	#FF0000
zzzz401	1	#FF0000
zzzz402	1	#FF0000
zzzz405	1	#FF0000
zzzz412	1	#FF0000
zzzz424	1	#FF0000
zzzz428	1	#FF0000
zzzz432	1	#FF0000
zzzz437	1	#FF0000
zzzz447	1	#FF0000
zzzz448	1	#FF0000
zzzz451	1	#FF0000
zzzz453	1	#FF0000
zzzz454	1	#FF0000
zzzz456	1	#FF0000
zzzz460	1	#FF0000
zzzz462	1	#FF0000
zzzz463	1	#FF0000
zzzz465	1	#FF0000
zzzz470	1	#FF0000
zzzz472	1	#FF0000
zzzz479	1	#FF0000
zzzz482	1	#FF0000
zzzzz12	1	#FF0000
zzzzz17	1	#FF0000
zzzzz25	1	#FF0000
zzzzz29	1	#FF0000
zzzzz30	1	#FF0000
zzzzz34	1	#FF0000
zzzzz36	1	#FF0000
zzzzz41	1	#FF0000
zzzzz47	1	#FF0000
zzzzz50	1	#FF0000
zzzzz54	1	#FF0000
zzzzz56	1	#FF0000
zzzzz59	1	#FF0000
zzzzz61	1	#FF0000
zzzzz64	1	#FF0000
zzzzz66	1	#FF0000
zzzzz69	1	#FF0000
zzzzz70	1	#FF0000
zzzzz72	1	#FF0000
zzzzz83	1	#FF0000
zzzzz84	1	#FF0000
zzzzz87	1	#FF0000
zzzzz91	1	#FF0000
zzzzz94	1	#FF0000
zzzzzz6	1	#FF0000
zzzz117	2	#0000FF
zzzz123	2	#0000FF
zzzz139	2	#0000FF
