UniProt ID	Cluster Number	Cluster Color
zzz1016	1	#FF0000
zzz1017	1	#FF0000
zzz1019	1	#FF0000
zzz1024	1	#FF0000
zzz1027	1	#FF0000
zzz1028	1	#FF0000
zzz1029	1	#FF0000
zzz1030	1	#FF0000
zzz1032	1	#FF0000
zzz1035	1	#FF0000
zzz1036	1	#FF0000
zzz1037	1	#FF0000
zzz1038	1	#FF0000
zzz1047	1	#FF0000
zzz1061	1	#FF0000
zzz1062	1	#FF0000
zzz1064	1	#FF0000
zzz1065	1	#FF0000
zzz1066	1	#FF0000
zzz1067	1	#FF0000
zzz1068	1	#FF0000
zzz1069	1	#FF0000
zzz1136	1	#FF0000
zzz1137	1	#FF0000
zzz1138	1	#FF0000
zzz1139	1	#FF0000
zzz1140	1	#FF0000
zzz1142	1	#FF0000
zzz1143	1	#FF0000
zzz1145	1	#FF0000
zzz1151	1	#FF0000
zzz1177	1	#FF0000
zzz1182	1	#FF0000
zzz1185	1	#FF0000
zzz1188	1	#FF0000
zzz1189	1	#FF0000
zzz1190	1	#FF0000
zzz1191	1	#FF0000
zzz1193	1	#FF0000
zzz1194	1	#FF0000
zzz1196	1	#FF0000
zzz1202	1	#FF0000
zzz1203	1	#FF0000
zzz1207	1	#FF0000
zzz1208	1	#FF0000
zzz1209	1	#FF0000
zzz1210	1	#FF0000
zzz1257	1	#FF0000
zzz1272	1	#FF0000
zzz1273	1	#FF0000
zzz1274	1	#FF0000
zzz1275	1	#FF0000
zzz1278	1	#FF0000
zzz1280	1	#FF0000
zzz1282	1	#FF0000
zzz1285	1	#FF0000
zzz1286	1	#FF0000
zzz1288	1	#FF0000
zzz1289	1	#FF0000
zzz1294	1	#FF0000
zzz1295	1	#FF0000
zzz1296	1	#FF0000
zzz1299	1	#FF0000
zzz1301	1	#FF0000
zzz1302	1	#FF0000
zzz1304	1	#FF0000
zzz1305	1	#FF0000
zzz1340	1	#FF0000
zzz1347	1	#FF0000
zzz1348	1	#FF0000
zzz1350	1	#FF0000
zzz1354	1	#FF0000
zzz1355	1	#FF0000
zzz1356	1	#FF0000
zzz1357	1	#FF0000
zzz1358	1	#FF0000
zzz1359	1	#FF0000
zzz1366	1	#FF0000
zzz1367	1	#FF0000
zzz1368	1	#FF0000
zzz1370	1	#FF0000
zzz1371	1	#FF0000
zzz1386	1	#FF0000
zzz1389	1	#FF0000
zzz1391	1	#FF0000
zzz1392	1	#FF0000
zzz1394	1	#FF0000
zzz1395	1	#FF0000
zzz1398	1	#FF0000
zzz1399	1	#FF0000
zzz1400	1	#FF0000
zzz1401	1	#FF0000
zzz1402	1	#FF0000
zzz1403	1	#FF0000
zzz1405	1	#FF0000
zzz1406	1	#FF0000
zzz1407	1	#FF0000
zzz1408	1	#FF0000
zzz1409	1	#FF0000
zzz1416	1	#FF0000
zzz1417	1	#FF0000
zzz1418	1	#FF0000
zzz1419	1	#FF0000
zzz1420	1	#FF0000
zzz1421	1	#FF0000
zzz1422	1	#FF0000
zzz1424	1	#FF0000
zzz1432	1	#FF0000
zzz1435	1	#FF0000
zzz1442	1	#FF0000
zzz1443	1	#FF0000
zzz1444	1	#FF0000
zzz1445	1	#FF0000
zzz1446	1	#FF0000
zzz1511	1	#FF0000
zzz1512	1	#FF0000
zzz1513	1	#FF0000
zzz1514	1	#FF0000
zzz1515	1	#FF0000
zzz1517	1	#FF0000
zzz1519	1	#FF0000
zzz1520	1	#FF0000
zzz1521	1	#FF0000
zzz1523	1	#FF0000
zzz1528	1	#FF0000
zzz1529	1	#FF0000
zzz1535	1	#FF0000
zzz1536	1	#FF0000
zzz1537	1	#FF0000
zzz1566	1	#FF0000
zzz1567	1	#FF0000
zzz1568	1	#FF0000
zzz1569	1	#FF0000
zzz1570	1	#FF0000
zzz1572	1	#FF0000
zzz1573	1	#FF0000
zzz1575	1	#FF0000
zzz1576	1	#FF0000
zzz1604	1	#FF0000
zzz1605	1	#FF0000
zzz1606	1	#FF0000
zzz1607	1	#FF0000
zzz1608	1	#FF0000
zzz1621	1	#FF0000
zzz1623	1	#FF0000
zzz1634	1	#FF0000
zzz1635	1	#FF0000
zzz1637	1	#FF0000
zzz1642	1	#FF0000
zzz1643	1	#FF0000
zzz1644	1	#FF0000
zzz1645	1	#FF0000
zzz1646	1	#FF0000
zzz1647	1	#FF0000
zzz1648	1	#FF0000
zzz1649	1	#FF0000
zzz1650	1	#FF0000
zzz1651	1	#FF0000
zzz1652	1	#FF0000
zzz1653	1	#FF0000
zzz1673	1	#FF0000
zzz1674	1	#FF0000
zzz1676	1	#FF0000
zzz1678	1	#FF0000
zzz1679	1	#FF0000
zzz1691	1	#FF0000
zzz1697	1	#FF0000
zzz1698	1	#FF0000
zzz1719	1	#FF0000
zzz1720	1	#FF0000
zzz1736	1	#FF0000
zzz1785	1	#FF0000
zzz1786	1	#FF0000
zzz1787	1	#FF0000
zzz1788	1	#FF0000
zzz1790	1	#FF0000
zzz1791	1	#FF0000
zzz1793	1	#FF0000
zzz1803	1	#FF0000
zzz1806	1	#FF0000
zzz1807	1	#FF0000
zzz1808	1	#FF0000
zzz1809	1	#FF0000
zzz1811	1	#FF0000
zzz1812	1	#FF0000
zzz1813	1	#FF0000
zzz1815	1	#FF0000
zzz1816	1	#FF0000
zzz1817	1	#FF0000
zzz1822	1	#FF0000
zzzz101	1	#FF0000
zzzz104	1	#FF0000
zzzz129	1	#FF0000
zzzz133	1	#FF0000
zzzz136	1	#FF0000
zzzz153	1	#FF0000
zzzz154	1	#FF0000
zzzz155	1	#FF0000
zzzz156	1	#FF0000
zzzz157	1	#FF0000
zzzz158	1	#FF0000
zzzz159	1	#FF0000
zzzz160	1	#FF0000
zzzz161	1	#FF0000
zzzz163	1	#FF0000
zzzz164	1	#FF0000
zzzz190	1	#FF0000
zzzz191	1	#FF0000
zzzz197	1	#FF0000
zzzz200	1	#FF0000
zzzz236	1	#FF0000
zzzz259	1	#FF0000
zzzz260	1	#FF0000
zzzz262	1	#FF0000
zzzz264	1	#FF0000
zzzz265	1	#FF0000
