UniProt ID	Cluster Number	Cluster Color
zzzz106	1	#FF0000
zzzz107	1	#FF0000
zzzz108	1	#FF0000
zzzz109	1	#FF0000
zzzz110	1	#FF0000
zzzz111	1	#FF0000
zzzz112	1	#FF0000
zzzz113	1	#FF0000
zzzz114	1	#FF0000
zzzz115	1	#FF0000
zzzz116	1	#FF0000
zzzz117	1	#FF0000
zzzz118	1	#FF0000
zzzz120	1	#FF0000
zzzz121	1	#FF0000
zzzz122	1	#FF0000
zzzz123	1	#FF0000
zzzz132	1	#FF0000
zzzz133	1	#FF0000
zzzz135	1	#FF0000
zzzz136	1	#FF0000
zzzz137	1	#FF0000
zzzz138	1	#FF0000
zzzz139	1	#FF0000
zzzz140	1	#FF0000
zzzz149	1	#FF0000
zzzz150	1	#FF0000
zzzz151	1	#FF0000
zzzz152	1	#FF0000
zzzz153	1	#FF0000
zzzz154	1	#FF0000
zzzz155	1	#FF0000
zzzz156	1	#FF0000
zzzz157	1	#FF0000
zzzz158	1	#FF0000
zzzz159	1	#FF0000
zzzz160	1	#FF0000
zzzz161	1	#FF0000
zzzz162	1	#FF0000
zzzz171	1	#FF0000
zzzz172	1	#FF0000
zzzz173	1	#FF0000
zzzz175	1	#FF0000
zzzz176	1	#FF0000
zzzz177	1	#FF0000
zzzz178	1	#FF0000
zzzz179	1	#FF0000
zzzz180	1	#FF0000
zzzz181	1	#FF0000
zzzz182	1	#FF0000
zzzz183	1	#FF0000
zzzz184	1	#FF0000
zzzz192	1	#FF0000
zzzz193	1	#FF0000
zzzz194	1	#FF0000
zzzz195	1	#FF0000
zzzz196	1	#FF0000
zzzz197	1	#FF0000
zzzz200	1	#FF0000
zzzz201	1	#FF0000
zzzz202	1	#FF0000
zzzz204	1	#FF0000
zzzz208	1	#FF0000
zzzz209	1	#FF0000
zzzz210	1	#FF0000
zzzz211	1	#FF0000
zzzz218	1	#FF0000
zzzz228	1	#FF0000
zzzz229	1	#FF0000
zzzz230	1	#FF0000
zzzz231	1	#FF0000
zzzz232	1	#FF0000
zzzz233	1	#FF0000
