UniProt ID	Cluster Number	Cluster Color
zzzz100	1	#FF0000
zzzz101	1	#FF0000
zzzz104	1	#FF0000
zzzz109	1	#FF0000
zzzz117	1	#FF0000
zzzz127	1	#FF0000
zzzz131	1	#FF0000
zzzz136	1	#FF0000
zzzz145	1	#FF0000
zzzzz14	1	#FF0000
zzzzz15	1	#FF0000
zzzzz39	1	#FF0000
zzzzz47	1	#FF0000
zzzzz61	1	#FF0000
zzzzz82	1	#FF0000
zzzzz85	1	#FF0000
zzzzzz0	1	#FF0000
zzzzzz3	1	#FF0000
zzzz121	2	#0000FF
zzzz123	2	#0000FF
zzzz137	2	#0000FF
zzzz142	2	#0000FF
zzzz143	2	#0000FF
zzzz181	2	#0000FF
zzzz184	2	#0000FF
zzzzz16	2	#0000FF
zzzzz22	2	#0000FF
zzzzz40	2	#0000FF
zzzzz72	2	#0000FF
zzzzz76	2	#0000FF
zzzz102	3	#FFA500
zzzz132	3	#FFA500
zzzz153	3	#FFA500
zzzz156	3	#FFA500
zzzzz51	3	#FFA500
zzzzzz6	3	#FFA500
zzzzz10	4	#008000
zzzzz11	4	#008000
zzzzz25	4	#008000
zzzzz32	4	#008000
zzzzz98	4	#008000
zzzzz99	4	#008000
zzzz179	5	#FF00FF
zzzz183	5	#FF00FF
zzzzz35	5	#FF00FF
zzzzz46	5	#FF00FF
zzzzz64	5	#FF00FF
zzzz118	6	#808080
zzzz164	6	#808080
zzzzz12	6	#808080
zzzzz27	6	#808080
zzzzz29	6	#808080
zzzz122	7	#00FFFF
zzzz158	7	#00FFFF
zzzz159	7	#00FFFF
zzzzzz8	7	#00FFFF
zzzzzz9	7	#00FFFF
zzzz149	8	#FFC0CB
zzzz150	8	#FFC0CB
zzzz172	8	#FFC0CB
zzzz173	8	#FFC0CB
zzzz103	9	#FF69B4
zzzz175	9	#FF69B4
zzzzz30	9	#FF69B4
zzzzz68	9	#FF69B4
zzzz116	10	#808000
zzzz167	10	#808000
zzzzz50	10	#808000
zzzzz57	10	#808000
zzzz144	11	#FA8072
zzzzz19	11	#FA8072
zzzzz20	11	#FA8072
zzzz169	12	#EE82EE
zzzzz55	12	#EE82EE
zzzzz70	12	#EE82EE
zzzz128	13	#006400
zzzzz28	13	#006400
zzzzz34	13	#006400
zzzz107	14	#00FF00
zzzz108	14	#00FF00
zzzz165	15	#B259B2
zzzzz56	15	#B259B2
zzzzz45	16	#003366
zzzzz87	16	#003366
zzzz180	17	#7FFFBF
zzzzzz1	17	#7FFFBF
zzzz134	18	#8000FF
zzzzz58	18	#8000FF
zzzz130	19	#B25900
zzzzz54	19	#B25900
zzzzz31	20	#592C00
zzzzz71	20	#592C00
zzzz163	21	#800000
zzzz176	21	#800000
zzzz129	22	#0080FF
zzzzz53	22	#0080FF
zzzz135	23	#404040
zzzzz59	23	#404040
zzzzz60	24	#FF4040
zzzzzz4	24	#FF4040
zzzz146	25	#40FF40
zzzzz86	25	#40FF40
zzzz170	26	#4040FF
zzzzz18	26	#4040FF
zzzz120	27	#004040
zzzzz52	27	#004040
zzzz147	28	#400040
zzzzz38	28	#400040
zzzz112	29	#404000
zzzzz92	29	#404000
zzzz113	30	#804040
zzzz185	30	#804040
zzzzz23	31	#408040
zzzzz90	31	#408040
