UniProt ID	Cluster Number	Cluster Color
zzz1000	1	#FF0000
zzzz100	1	#FF0000
zzzz101	1	#FF0000
zzzz102	1	#FF0000
zzzz103	1	#FF0000
zzzz104	1	#FF0000
zzzz105	1	#FF0000
zzzz106	1	#FF0000
zzzz108	1	#FF0000
zzzz109	1	#FF0000
zzzz110	1	#FF0000
zzzz111	1	#FF0000
zzzz112	1	#FF0000
zzzz113	1	#FF0000
zzzz122	1	#FF0000
zzzz124	1	#FF0000
zzzz125	1	#FF0000
zzzz126	1	#FF0000
zzzz127	1	#FF0000
zzzz128	1	#FF0000
zzzz137	1	#FF0000
zzzz138	1	#FF0000
zzzz139	1	#FF0000
zzzz140	1	#FF0000
zzzz141	1	#FF0000
zzzz143	1	#FF0000
zzzz144	1	#FF0000
zzzz146	1	#FF0000
zzzz149	1	#FF0000
zzzz164	1	#FF0000
zzzz165	1	#FF0000
zzzz166	1	#FF0000
zzzz167	1	#FF0000
zzzz168	1	#FF0000
zzzz169	1	#FF0000
zzzz170	1	#FF0000
zzzz171	1	#FF0000
zzzz172	1	#FF0000
zzzz174	1	#FF0000
zzzz175	1	#FF0000
zzzz176	1	#FF0000
zzzz177	1	#FF0000
zzzz178	1	#FF0000
zzzz179	1	#FF0000
zzzz180	1	#FF0000
zzzz181	1	#FF0000
zzzz182	1	#FF0000
zzzz183	1	#FF0000
zzzz184	1	#FF0000
zzzz185	1	#FF0000
zzzz186	1	#FF0000
zzzz187	1	#FF0000
zzzz189	1	#FF0000
zzzz190	1	#FF0000
zzzz191	1	#FF0000
zzzz192	1	#FF0000
zzzz193	1	#FF0000
zzzz194	1	#FF0000
zzzz209	1	#FF0000
zzzz210	1	#FF0000
zzzz213	1	#FF0000
zzzz214	1	#FF0000
zzzz215	1	#FF0000
zzzz216	1	#FF0000
zzzz224	1	#FF0000
zzzz225	1	#FF0000
zzzz226	1	#FF0000
zzzz227	1	#FF0000
zzzz228	1	#FF0000
zzzz229	1	#FF0000
zzzz230	1	#FF0000
zzzz231	1	#FF0000
zzzz232	1	#FF0000
zzzz233	1	#FF0000
zzzz237	1	#FF0000
zzzz238	1	#FF0000
zzzz239	1	#FF0000
zzzz251	1	#FF0000
zzzz252	1	#FF0000
zzzz253	1	#FF0000
zzzz266	1	#FF0000
zzzz267	1	#FF0000
zzzz268	1	#FF0000
zzzz269	1	#FF0000
zzzz270	1	#FF0000
zzzz271	1	#FF0000
zzzz272	1	#FF0000
zzzz330	1	#FF0000
zzzz331	1	#FF0000
zzzz332	1	#FF0000
zzzz333	1	#FF0000
zzzz334	1	#FF0000
zzzz335	1	#FF0000
zzzz336	1	#FF0000
zzzz337	1	#FF0000
zzzz338	1	#FF0000
zzzz339	1	#FF0000
zzzz340	1	#FF0000
zzzz341	1	#FF0000
zzzz342	1	#FF0000
zzzz343	1	#FF0000
zzzz344	1	#FF0000
zzzz345	1	#FF0000
zzzz346	1	#FF0000
zzzz347	1	#FF0000
zzzz348	1	#FF0000
zzzz349	1	#FF0000
zzzz350	1	#FF0000
zzzz351	1	#FF0000
zzzz352	1	#FF0000
zzzz353	1	#FF0000
zzzz354	1	#FF0000
zzzz355	1	#FF0000
zzzz357	1	#FF0000
zzzz358	1	#FF0000
zzzz359	1	#FF0000
zzzz360	1	#FF0000
