UniProt ID	Cluster Number	Cluster Color
zzz1031	1	#FF0000
zzz1146	1	#FF0000
zzz1160	1	#FF0000
zzz1253	1	#FF0000
zzz1255	1	#FF0000
zzz1259	1	#FF0000
zzz1263	1	#FF0000
zzz1278	1	#FF0000
zzz1292	1	#FF0000
zzz1296	1	#FF0000
zzz1310	1	#FF0000
zzz1312	1	#FF0000
zzz1339	1	#FF0000
zzzz137	1	#FF0000
zzzz138	1	#FF0000
zzzz145	1	#FF0000
zzzz154	1	#FF0000
zzzz156	1	#FF0000
zzzz176	1	#FF0000
zzzz211	1	#FF0000
zzzz215	1	#FF0000
zzzz224	1	#FF0000
zzzz225	1	#FF0000
zzzz243	1	#FF0000
zzzz244	1	#FF0000
zzzz304	1	#FF0000
zzzz332	1	#FF0000
zzzz333	1	#FF0000
zzzz338	1	#FF0000
zzzz339	1	#FF0000
zzzz344	1	#FF0000
zzzz407	1	#FF0000
zzzz413	1	#FF0000
zzzz422	1	#FF0000
zzzz424	1	#FF0000
zzzz439	1	#FF0000
zzzz440	1	#FF0000
zzzz441	1	#FF0000
zzzz443	1	#FF0000
zzzz510	1	#FF0000
zzzz517	1	#FF0000
zzzz534	1	#FF0000
zzzz535	1	#FF0000
zzzz537	1	#FF0000
zzzz549	1	#FF0000
zzzz557	1	#FF0000
zzzz566	1	#FF0000
zzzz567	1	#FF0000
zzzz568	1	#FF0000
zzzz664	1	#FF0000
zzzz666	1	#FF0000
zzzz758	1	#FF0000
zzzz759	1	#FF0000
zzzz779	1	#FF0000
zzzz800	1	#FF0000
zzzz832	1	#FF0000
zzzz837	1	#FF0000
zzzz846	1	#FF0000
zzzz860	1	#FF0000
zzzz863	1	#FF0000
zzzz868	1	#FF0000
zzzz873	1	#FF0000
zzzz874	1	#FF0000
zzzz876	1	#FF0000
zzzz878	1	#FF0000
zzzz918	1	#FF0000
zzzz944	1	#FF0000
zzzz945	1	#FF0000
zzzz946	1	#FF0000
zzzz948	1	#FF0000
zzzz969	1	#FF0000
zzzz981	1	#FF0000
zzzz986	1	#FF0000
zzzzz10	1	#FF0000
zzzzz19	1	#FF0000
zzzzz36	1	#FF0000
zzzzz45	1	#FF0000
zzzzz51	1	#FF0000
zzzzz52	1	#FF0000
zzzzz85	1	#FF0000
zzzzz87	1	#FF0000
zzzzz90	1	#FF0000
zzzzz97	1	#FF0000
zzzz887	2	#0000FF
zzzz888	2	#0000FF
zzzz889	2	#0000FF
zzzz890	2	#0000FF
zzzz891	2	#0000FF
zzzz892	2	#0000FF
zzzz893	2	#0000FF
zzzz894	2	#0000FF
zzzz895	2	#0000FF
zzzz896	2	#0000FF
zzzz897	2	#0000FF
zzzz898	2	#0000FF
zzzz899	2	#0000FF
zzzz900	2	#0000FF
zzzz901	2	#0000FF
zzzz902	2	#0000FF
zzz1197	3	#FFA500
zzz1222	3	#FFA500
zzzz124	3	#FFA500
zzzz247	3	#FFA500
zzzz249	3	#FFA500
zzzz309	3	#FFA500
zzzz659	3	#FFA500
zzz1101	4	#008000
zzzz518	4	#008000
zzzz519	4	#008000
zzzz530	4	#008000
zzzz532	4	#008000
zzz1095	5	#FF00FF
zzzz187	5	#FF00FF
zzzz507	5	#FF00FF
zzzz905	5	#FF00FF
zzz1267	6	#808080
zzz1319	6	#808080
zzz1320	6	#808080
zzzz119	6	#808080
zzz1054	7	#00FFFF
zzz1059	7	#00FFFF
zzzz268	7	#00FFFF
zzzz269	7	#00FFFF
zzzz351	8	#FFC0CB
zzzz356	8	#FFC0CB
zzzz378	8	#FFC0CB
zzzzz99	8	#FFC0CB
zzz1269	9	#FF69B4
zzzz613	9	#FF69B4
zzzz654	9	#FF69B4
zzzz221	10	#808000
zzzz240	10	#808000
zzzzz41	10	#808000
zzzz320	11	#FA8072
zzzz636	11	#FA8072
zzzz713	11	#FA8072
zzz1021	12	#EE82EE
zzz1221	12	#EE82EE
zzzz234	12	#EE82EE
zzzz831	13	#006400
zzzz834	13	#006400
zzzz842	13	#006400
zzz1333	14	#00FF00
zzzz572	14	#00FF00
zzzz573	14	#00FF00
zzz1348	15	#B259B2
zzz1349	15	#B259B2
zzz1350	15	#B259B2
zzzz836	16	#003366
zzzz841	16	#003366
zzzz844	16	#003366
zzzz479	17	#7FFFBF
zzzz721	17	#7FFFBF
zzz1091	18	#8000FF
zzzz502	18	#8000FF
zzzz383	19	#B25900
zzzz390	19	#B25900
zzzz474	20	#592C00
zzzz717	20	#592C00
zzzz476	21	#800000
zzzz719	21	#800000
zzzz438	22	#0080FF
zzzz943	22	#0080FF
zzz1268	23	#404040
zzz1344	23	#404040
zzzz217	24	#FF4040
zzzz236	24	#FF4040
zzzz631	25	#40FF40
zzzz686	25	#40FF40
zzzz148	26	#4040FF
zzzz416	26	#4040FF
zzzz562	27	#004040
zzzz825	27	#004040
zzz1069	28	#400040
zzz1177	28	#400040
zzzz227	29	#404000
zzzz246	29	#404000
zzzz634	30	#804040
zzzz637	30	#804040
zzzz445	31	#408040
zzzz950	31	#408040
zzz1191	32	#404080
zzzz809	32	#404080
zzzz126	33	#40FFFF
zzzz140	33	#40FFFF
zzzz151	34	#FF40FF
zzzz419	34	#FF40FF
zzzz729	35	#FF0040
zzzz730	35	#FF0040
zzzz559	36	#40FF00
zzzz560	36	#40FF00
zzzz455	37	#0040FF
zzzz960	37	#0040FF
zzz1061	38	#FF8040
zzz1062	38	#FF8040
zzz1162	39	#40FF80
zzzz777	39	#40FF80
zzzz632	40	#8040FF
zzzz685	40	#8040FF
zzz1208	41	#00FF40
zzzz165	41	#00FF40
zzzz146	42	#4000FF
zzzz414	42	#4000FF
zzzz647	43	#FF4000
zzzz650	43	#FF4000
zzzz908	44	#000040
zzzz914	44	#000040
zzz1006	45	#400000
zzz1008	45	#400000
zzz1051	46	#004000
zzz1052	46	#004000
zzz1113	47	#008040
zzz1115	47	#008040
zzzz444	48	#400080
zzzz949	48	#400080
