UniProt ID	Cluster Number	Cluster Color
zzzz100	1	#FF0000
zzzz104	1	#FF0000
zzzz105	1	#FF0000
zzzz107	1	#FF0000
zzzz109	1	#FF0000
zzzz114	1	#FF0000
zzzz116	1	#FF0000
zzzz119	1	#FF0000
zzzz120	1	#FF0000
zzzz122	1	#FF0000
zzzz123	1	#FF0000
zzzz141	1	#FF0000
zzzz142	1	#FF0000
zzzz147	1	#FF0000
zzzz152	1	#FF0000
zzzz153	1	#FF0000
zzzz157	1	#FF0000
zzzz159	1	#FF0000
zzzz164	1	#FF0000
zzzzz10	1	#FF0000
zzzzz17	1	#FF0000
zzzzz21	1	#FF0000
zzzzz27	1	#FF0000
zzzzz28	1	#FF0000
zzzzz34	1	#FF0000
zzzzz35	1	#FF0000
zzzzz37	1	#FF0000
zzzzz45	1	#FF0000
zzzzz46	1	#FF0000
zzzzz49	1	#FF0000
zzzzz50	1	#FF0000
zzzzz51	1	#FF0000
zzzzz58	1	#FF0000
zzzzz60	1	#FF0000
zzzzz62	1	#FF0000
zzzzz66	1	#FF0000
zzzzz78	1	#FF0000
zzzzz79	1	#FF0000
zzzzz81	1	#FF0000
zzzzz99	1	#FF0000
zzzzzz2	1	#FF0000
zzzzzz4	1	#FF0000
zzzzzz7	1	#FF0000
zzzzzz8	1	#FF0000
zzzz101	2	#0000FF
zzzz128	2	#0000FF
zzzz144	2	#0000FF
zzzz146	2	#0000FF
zzzz149	2	#0000FF
zzzzz32	2	#0000FF
zzzzz33	2	#0000FF
zzzzz54	2	#0000FF
zzzzz59	2	#0000FF
zzzzz82	2	#0000FF
zzzzzz6	2	#0000FF
zzzz112	3	#FFA500
zzzz113	3	#FFA500
zzzz129	3	#FFA500
zzzz135	3	#FFA500
zzzz169	3	#FFA500
zzzzz11	3	#FFA500
zzzzz26	3	#FFA500
zzzzz48	3	#FFA500
zzzzz56	3	#FFA500
zzzzz71	3	#FFA500
zzzzzz5	3	#FFA500
zzzz131	4	#008000
zzzz145	4	#008000
zzzz167	4	#008000
zzzzz14	4	#008000
zzzzz16	4	#008000
zzzzz75	4	#008000
zzzzz93	4	#008000
zzzzzz0	4	#008000
zzzzzz9	4	#008000
zzzz103	5	#FF00FF
zzzz125	5	#FF00FF
zzzz134	5	#FF00FF
zzzz136	5	#FF00FF
zzzz150	5	#FF00FF
zzzzz41	5	#FF00FF
zzzzz57	5	#FF00FF
zzzzz91	5	#FF00FF
zzzz106	6	#808080
zzzz140	6	#808080
zzzz160	6	#808080
zzzzz30	6	#808080
zzzzz73	6	#808080
zzzzz74	6	#808080
zzzzz84	6	#808080
zzzzzz1	6	#808080
zzzz108	7	#00FFFF
zzzzz13	7	#00FFFF
zzzzz24	7	#00FFFF
zzzzz87	7	#00FFFF
zzzz126	8	#FFC0CB
zzzzz12	8	#FFC0CB
zzzzz44	8	#FFC0CB
zzzzz97	8	#FFC0CB
zzzzz61	9	#FF69B4
zzzzzz3	9	#FF69B4
zzzz165	10	#808000
zzzzz20	10	#808000
zzzz156	11	#FA8072
zzzz162	11	#FA8072
zzzz121	12	#EE82EE
zzzzz63	12	#EE82EE
zzzzz86	13	#006400
zzzzz96	13	#006400
