UniProt ID	Cluster Number	Cluster Color
zzzz100	1	#FF0000
zzzz103	1	#FF0000
zzzz104	1	#FF0000
zzzz106	1	#FF0000
zzzz112	1	#FF0000
zzzz113	1	#FF0000
zzzz121	1	#FF0000
zzzz122	1	#FF0000
zzzz127	1	#FF0000
zzzz128	1	#FF0000
zzzz133	1	#FF0000
zzzz134	1	#FF0000
zzzz144	1	#FF0000
zzzz145	1	#FF0000
zzzz155	1	#FF0000
zzzz169	1	#FF0000
zzzz170	1	#FF0000
zzzz172	1	#FF0000
zzzz173	1	#FF0000
zzzz178	1	#FF0000
zzzz182	1	#FF0000
zzzz185	1	#FF0000
zzzz186	1	#FF0000
zzzz200	1	#FF0000
zzzz201	1	#FF0000
zzzz202	1	#FF0000
zzzz205	1	#FF0000
zzzz208	1	#FF0000
zzzz221	1	#FF0000
zzzz222	1	#FF0000
zzzz229	1	#FF0000
zzzz233	1	#FF0000
zzzz236	1	#FF0000
zzzz239	1	#FF0000
zzzz243	1	#FF0000
zzzz244	1	#FF0000
zzzz247	1	#FF0000
zzzz248	1	#FF0000
zzzz252	1	#FF0000
zzzz255	1	#FF0000
zzzz256	1	#FF0000
zzzz262	1	#FF0000
zzzz265	1	#FF0000
zzzz271	1	#FF0000
zzzz282	1	#FF0000
zzzz292	1	#FF0000
zzzz295	1	#FF0000
zzzz296	1	#FF0000
zzzz297	1	#FF0000
zzzz298	1	#FF0000
zzzz299	1	#FF0000
zzzz303	1	#FF0000
zzzz304	1	#FF0000
zzzz306	1	#FF0000
zzzz314	1	#FF0000
zzzz317	1	#FF0000
zzzz318	1	#FF0000
zzzz319	1	#FF0000
zzzz325	1	#FF0000
zzzz326	1	#FF0000
zzzz352	1	#FF0000
zzzz354	1	#FF0000
zzzz355	1	#FF0000
zzzz361	1	#FF0000
zzzz362	1	#FF0000
zzzz366	1	#FF0000
zzzz377	1	#FF0000
zzzz383	1	#FF0000
zzzz391	1	#FF0000
zzzz394	1	#FF0000
zzzz397	1	#FF0000
zzzz398	1	#FF0000
zzzz428	1	#FF0000
zzzz447	1	#FF0000
zzzz449	1	#FF0000
zzzz458	1	#FF0000
zzzz459	1	#FF0000
zzzz462	1	#FF0000
zzzz478	1	#FF0000
zzzzz13	1	#FF0000
zzzzz14	1	#FF0000
zzzzz19	1	#FF0000
zzzzz20	1	#FF0000
zzzzz22	1	#FF0000
zzzzz24	1	#FF0000
zzzzz26	1	#FF0000
zzzzz28	1	#FF0000
zzzzz29	1	#FF0000
zzzzz31	1	#FF0000
zzzzz32	1	#FF0000
zzzzz40	1	#FF0000
zzzzz50	1	#FF0000
zzzzz56	1	#FF0000
