UniProt ID	Cluster Number	Cluster Color
zzz1003	1	#FF0000
zzz1004	1	#FF0000
zzzz107	1	#FF0000
zzzz108	1	#FF0000
zzzz122	1	#FF0000
zzzz123	1	#FF0000
zzzz131	1	#FF0000
zzzz132	1	#FF0000
zzzz140	1	#FF0000
zzzz141	1	#FF0000
zzzz144	1	#FF0000
zzzz145	1	#FF0000
zzzz152	1	#FF0000
zzzz153	1	#FF0000
zzzz156	1	#FF0000
zzzz157	1	#FF0000
zzzz161	1	#FF0000
zzzz162	1	#FF0000
zzzz174	1	#FF0000
zzzz175	1	#FF0000
zzzz176	1	#FF0000
zzzz177	1	#FF0000
zzzz181	1	#FF0000
zzzz182	1	#FF0000
zzzz193	1	#FF0000
zzzz194	1	#FF0000
zzzz195	1	#FF0000
zzzz196	1	#FF0000
zzzz200	1	#FF0000
zzzz201	1	#FF0000
zzzz204	1	#FF0000
zzzz205	1	#FF0000
zzzz226	1	#FF0000
zzzz227	1	#FF0000
zzzz260	1	#FF0000
zzzz261	1	#FF0000
zzzz269	1	#FF0000
zzzz270	1	#FF0000
zzzz282	1	#FF0000
zzzz283	1	#FF0000
zzzz295	1	#FF0000
zzzz296	1	#FF0000
zzzz318	1	#FF0000
zzzz319	1	#FF0000
zzzz335	1	#FF0000
zzzz336	1	#FF0000
zzzz341	1	#FF0000
zzzz342	1	#FF0000
zzzz353	1	#FF0000
zzzz354	1	#FF0000
zzzz367	1	#FF0000
zzzz368	1	#FF0000
zzzz384	1	#FF0000
zzzz385	1	#FF0000
zzzz396	1	#FF0000
zzzz397	1	#FF0000
zzzz402	1	#FF0000
zzzz403	1	#FF0000
zzzz414	1	#FF0000
zzzz415	1	#FF0000
zzzz418	1	#FF0000
zzzz419	1	#FF0000
zzzz433	1	#FF0000
zzzz434	1	#FF0000
zzzz437	1	#FF0000
zzzz438	1	#FF0000
zzzz443	1	#FF0000
zzzz444	1	#FF0000
zzzz450	1	#FF0000
zzzz457	1	#FF0000
zzzz458	1	#FF0000
zzzz464	1	#FF0000
zzzz465	1	#FF0000
zzzz466	1	#FF0000
zzzz467	1	#FF0000
zzzz479	1	#FF0000
zzzz480	1	#FF0000
zzzz484	1	#FF0000
zzzz485	1	#FF0000
zzzz488	1	#FF0000
zzzz489	1	#FF0000
zzzz494	1	#FF0000
zzzz495	1	#FF0000
zzzz496	1	#FF0000
zzzz497	1	#FF0000
zzzz509	1	#FF0000
zzzz510	1	#FF0000
zzzz517	1	#FF0000
zzzz518	1	#FF0000
zzzz528	1	#FF0000
zzzz529	1	#FF0000
zzzz531	1	#FF0000
zzzz532	1	#FF0000
zzzz538	1	#FF0000
zzzz539	1	#FF0000
zzzz549	1	#FF0000
zzzz550	1	#FF0000
zzzz551	1	#FF0000
zzzz552	1	#FF0000
zzzz562	1	#FF0000
zzzz563	1	#FF0000
zzzz567	1	#FF0000
zzzz568	1	#FF0000
zzzz572	1	#FF0000
zzzz573	1	#FF0000
zzzz574	1	#FF0000
zzzz575	1	#FF0000
zzzz584	1	#FF0000
zzzz585	1	#FF0000
zzzz588	1	#FF0000
zzzz589	1	#FF0000
zzzz630	1	#FF0000
zzzz631	1	#FF0000
zzzz641	1	#FF0000
zzzz642	1	#FF0000
zzzz646	1	#FF0000
zzzz647	1	#FF0000
zzzz659	1	#FF0000
zzzz660	1	#FF0000
zzzz661	1	#FF0000
zzzz662	1	#FF0000
zzzz676	1	#FF0000
zzzz677	1	#FF0000
zzzz693	1	#FF0000
zzzz694	1	#FF0000
zzzz705	1	#FF0000
zzzz706	1	#FF0000
zzzz710	1	#FF0000
zzzz711	1	#FF0000
zzzz718	1	#FF0000
zzzz719	1	#FF0000
zzzz720	1	#FF0000
zzzz721	1	#FF0000
zzzz722	1	#FF0000
zzzz723	1	#FF0000
zzzz724	1	#FF0000
zzzz725	1	#FF0000
zzzz729	1	#FF0000
zzzz730	1	#FF0000
zzzz734	1	#FF0000
zzzz735	1	#FF0000
zzzz740	1	#FF0000
zzzz741	1	#FF0000
zzzz742	1	#FF0000
zzzz743	1	#FF0000
zzzz745	1	#FF0000
zzzz746	1	#FF0000
zzzz781	1	#FF0000
zzzz782	1	#FF0000
zzzz790	1	#FF0000
zzzz799	1	#FF0000
zzzz800	1	#FF0000
