UniProt ID	Cluster Number	Cluster Color
zzzz103	1	#FF0000
zzzz107	1	#FF0000
zzzz112	1	#FF0000
zzzz115	1	#FF0000
zzzz122	1	#FF0000
zzzz131	1	#FF0000
zzzz139	1	#FF0000
zzzz143	1	#FF0000
zzzz145	1	#FF0000
zzzz147	1	#FF0000
zzzz150	1	#FF0000
zzzz151	1	#FF0000
zzzz154	1	#FF0000
zzzz158	1	#FF0000
zzzz165	1	#FF0000
zzzz171	1	#FF0000
zzzz178	1	#FF0000
zzzz185	1	#FF0000
zzzz187	1	#FF0000
zzzz233	1	#FF0000
zzzz239	1	#FF0000
zzzz253	1	#FF0000
zzzz256	1	#FF0000
zzzz258	1	#FF0000
zzzz266	1	#FF0000
zzzz287	1	#FF0000
zzzz291	1	#FF0000
zzzz299	1	#FF0000
zzzz309	1	#FF0000
zzzz312	1	#FF0000
zzzz320	1	#FF0000
zzzz324	1	#FF0000
zzzz331	1	#FF0000
zzzz332	1	#FF0000
zzzz335	1	#FF0000
zzzz337	1	#FF0000
zzzz343	1	#FF0000
zzzz344	1	#FF0000
zzzz346	1	#FF0000
zzzz348	1	#FF0000
zzzz354	1	#FF0000
zzzz357	1	#FF0000
zzzz359	1	#FF0000
zzzz362	1	#FF0000
zzzz364	1	#FF0000
zzzz374	1	#FF0000
zzzz376	1	#FF0000
zzzz379	1	#FF0000
zzzz382	1	#FF0000
zzzz390	1	#FF0000
zzzz395	1	#FF0000
zzzz396	1	#FF0000
zzzz398	1	#FF0000
zzzzz21	1	#FF0000
zzzzz29	1	#FF0000
zzzzz46	1	#FF0000
zzzzz53	1	#FF0000
zzzzz57	1	#FF0000
zzzzz58	1	#FF0000
zzzzz63	1	#FF0000
zzzzz72	1	#FF0000
zzzzz79	1	#FF0000
zzzzz85	1	#FF0000
zzzzz91	1	#FF0000
zzzzz92	1	#FF0000
zzzzzz7	1	#FF0000
zzzz140	2	#0000FF
zzzz265	2	#0000FF
zzzz333	2	#0000FF
zzzzz47	2	#0000FF
zzzzz78	2	#0000FF
zzzz257	3	#FFA500
zzzz355	3	#FFA500
zzzzz90	3	#FFA500
zzzzzz1	3	#FFA500
zzzzzz6	3	#FFA500
zzzz308	4	#008000
zzzz363	4	#008000
zzzzz31	4	#008000
zzzzz60	4	#008000
zzzz123	5	#FF00FF
zzzz157	5	#FF00FF
zzzzz52	5	#FF00FF
zzzz284	6	#808080
zzzz322	6	#808080
zzzzzz2	6	#808080
zzzz106	7	#00FFFF
zzzz129	7	#00FFFF
zzzzz19	7	#00FFFF
zzzz132	8	#FFC0CB
zzzz133	8	#FFC0CB
zzzz361	8	#FFC0CB
zzzz142	9	#FF69B4
zzzz356	9	#FF69B4
zzzzz84	9	#FF69B4
zzzz109	10	#808000
zzzz164	10	#808000
zzzz218	10	#808000
zzzz111	11	#FA8072
zzzz114	11	#FA8072
zzzz196	11	#FA8072
zzzz110	12	#EE82EE
zzzz113	12	#EE82EE
zzzz126	12	#EE82EE
zzzz119	13	#006400
zzzz120	13	#006400
zzzz201	14	#00FF00
zzzz300	14	#00FF00
zzzz224	15	#B259B2
zzzz227	15	#B259B2
zzzz288	16	#003366
zzzzz18	16	#003366
zzzz179	17	#7FFFBF
zzzz391	17	#7FFFBF
zzzz292	18	#8000FF
zzzz353	18	#8000FF
zzzz116	19	#B25900
zzzz117	19	#B25900
zzzz149	20	#592C00
zzzzz59	20	#592C00
zzzz191	21	#800000
zzzzz77	21	#800000
zzzz223	22	#0080FF
zzzz226	22	#0080FF
zzzz222	23	#404040
zzzz225	23	#404040
zzzz268	24	#FF4040
zzzz310	24	#FF4040
zzzz194	25	#40FF40
zzzz235	25	#40FF40
zzzz198	26	#4040FF
zzzz275	26	#4040FF
zzzz169	27	#004040
zzzz249	27	#004040
zzzz168	28	#400040
zzzz347	28	#400040
zzzz199	29	#404000
zzzzz83	29	#404000
zzzzz26	30	#804040
zzzzz74	30	#804040
zzzz220	31	#408040
zzzz221	31	#408040
zzzz368	32	#404080
zzzz373	32	#404080
zzzzz25	33	#40FFFF
zzzzz44	33	#40FFFF
zzzz207	34	#FF40FF
zzzz208	34	#FF40FF
