UniProt ID	Cluster Number	Cluster Color
zzzz100	1	#FF0000
zzzz104	1	#FF0000
zzzz107	1	#FF0000
zzzz108	1	#FF0000
zzzz109	1	#FF0000
zzzz110	1	#FF0000
zzzz112	1	#FF0000
zzzz115	1	#FF0000
zzzzz15	1	#FF0000
zzzzz19	1	#FF0000
zzzzz20	1	#FF0000
zzzzz22	1	#FF0000
zzzzz23	1	#FF0000
zzzzz28	1	#FF0000
zzzzz36	1	#FF0000
zzzzz37	1	#FF0000
zzzzz42	1	#FF0000
zzzzz43	1	#FF0000
zzzzz45	1	#FF0000
zzzzz55	1	#FF0000
zzzzz56	1	#FF0000
zzzzz59	1	#FF0000
zzzzz70	1	#FF0000
zzzzz71	1	#FF0000
zzzzz72	1	#FF0000
zzzzz73	1	#FF0000
zzzzz74	1	#FF0000
zzzzz79	1	#FF0000
zzzzz83	1	#FF0000
zzzzz84	1	#FF0000
zzzzz86	1	#FF0000
zzzzz87	1	#FF0000
zzzzz93	1	#FF0000
zzzzz99	1	#FF0000
zzzzzz0	1	#FF0000
zzzzzz7	1	#FF0000
zzzz116	2	#0000FF
zzzzz13	2	#0000FF
zzzzz18	2	#0000FF
zzzzz34	2	#0000FF
zzzzz41	2	#0000FF
zzzzz52	2	#0000FF
zzzzz77	2	#0000FF
zzzzz78	2	#0000FF
zzzzz91	2	#0000FF
zzzzz95	2	#0000FF
zzzzzz3	2	#0000FF
zzzzzz8	2	#0000FF
zzzzz48	3	#FFA500
zzzzz49	3	#FFA500
zzzzz67	3	#FFA500
zzzzz88	3	#FFA500
zzzzz92	3	#FFA500
zzzzz94	3	#FFA500
zzzzz51	4	#008000
zzzzz66	4	#008000
zzzzz68	4	#008000
zzzzz39	5	#FF00FF
zzzzz40	5	#FF00FF
zzzzzz5	5	#FF00FF
zzzzz24	6	#808080
zzzzz30	6	#808080
zzzzz82	6	#808080
zzzz113	7	#00FFFF
zzzzz14	7	#00FFFF
zzzzz58	8	#FFC0CB
zzzzzz6	8	#FFC0CB
zzzzz46	9	#FF69B4
zzzzz85	9	#FF69B4
zzzzz10	10	#808000
zzzzz53	10	#808000
zzzzz44	11	#FA8072
zzzzzz1	11	#FA8072
