UniProt ID	Cluster Number	Cluster Color
zzzz103	1	#FF0000
zzzz104	1	#FF0000
zzzz108	1	#FF0000
zzzz109	1	#FF0000
zzzz117	1	#FF0000
zzzz118	1	#FF0000
zzzz121	1	#FF0000
zzzz122	1	#FF0000
zzzz127	1	#FF0000
zzzz128	1	#FF0000
zzzz135	1	#FF0000
zzzz136	1	#FF0000
zzzz140	1	#FF0000
zzzz141	1	#FF0000
zzzz142	1	#FF0000
zzzz143	1	#FF0000
zzzz151	1	#FF0000
zzzz152	1	#FF0000
zzzz170	1	#FF0000
zzzz171	1	#FF0000
zzzz230	1	#FF0000
zzzz231	1	#FF0000
zzzz241	1	#FF0000
zzzz242	1	#FF0000
zzzz244	1	#FF0000
zzzz245	1	#FF0000
zzzz252	1	#FF0000
zzzz253	1	#FF0000
zzzzz11	1	#FF0000
zzzzz12	1	#FF0000
zzzzz19	1	#FF0000
zzzzz20	1	#FF0000
zzzzz29	1	#FF0000
zzzzz30	1	#FF0000
zzzzz31	1	#FF0000
zzzzz32	1	#FF0000
zzzzz36	1	#FF0000
zzzzz37	1	#FF0000
zzzzz59	1	#FF0000
zzzzz60	1	#FF0000
zzzzz70	1	#FF0000
zzzzz71	1	#FF0000
zzzzz82	1	#FF0000
zzzzz83	1	#FF0000
zzzz137	2	#0000FF
zzzz138	2	#0000FF
zzzz158	2	#0000FF
zzzz159	2	#0000FF
zzzz172	2	#0000FF
zzzz173	2	#0000FF
zzzz187	2	#0000FF
zzzz188	2	#0000FF
zzzz192	2	#0000FF
zzzz193	2	#0000FF
zzzz206	2	#0000FF
zzzz207	2	#0000FF
zzzz213	2	#0000FF
zzzz214	2	#0000FF
zzzz219	2	#0000FF
zzzz220	2	#0000FF
zzzz232	2	#0000FF
zzzz233	2	#0000FF
zzzz246	2	#0000FF
zzzz247	2	#0000FF
zzzzz13	2	#0000FF
zzzzz14	2	#0000FF
zzzzz21	2	#0000FF
zzzzz22	2	#0000FF
zzzzz25	2	#0000FF
zzzzz26	2	#0000FF
zzzzz42	2	#0000FF
zzzzz43	2	#0000FF
zzzzz48	2	#0000FF
zzzzz49	2	#0000FF
zzzzz84	2	#0000FF
zzzzz85	2	#0000FF
zzzzzz2	2	#0000FF
zzzzzz3	2	#0000FF
zzzzzz6	2	#0000FF
zzzzzz7	2	#0000FF
zzzz139	3	#FFA500
zzzz157	3	#FFA500
zzzz189	3	#FFA500
zzzz194	3	#FFA500
zzzz208	3	#FFA500
zzzz215	3	#FFA500
zzzz234	3	#FFA500
zzzz248	3	#FFA500
zzzzz23	3	#FFA500
zzzzz86	3	#FFA500
zzzzzz5	3	#FFA500
zzzz129	4	#008000
zzzz130	4	#008000
zzzz257	4	#008000
zzzz258	4	#008000
zzzzz27	4	#008000
zzzzz28	4	#008000
zzzzz50	4	#008000
zzzzz51	4	#008000
zzzzz52	4	#008000
zzzzz53	4	#008000
zzzz179	5	#FF00FF
zzzz180	5	#FF00FF
zzzz204	5	#FF00FF
zzzz205	5	#FF00FF
zzzzz55	5	#FF00FF
zzzzz56	5	#FF00FF
zzzzzz0	5	#FF00FF
zzzzzz1	5	#FF00FF
zzzz181	6	#808080
zzzz182	6	#808080
zzzz260	6	#808080
zzzz261	6	#808080
zzzzz17	6	#808080
zzzzz18	6	#808080
zzzzz68	6	#808080
zzzzz69	6	#808080
zzzz174	7	#00FFFF
zzzz221	7	#00FFFF
zzzzz10	7	#00FFFF
zzzzz15	7	#00FFFF
zzzzz24	7	#00FFFF
zzzzz44	7	#00FFFF
zzzzz47	7	#00FFFF
zzzzzz4	7	#00FFFF
zzzz195	8	#FFC0CB
zzzz196	8	#FFC0CB
zzzzz45	8	#FFC0CB
zzzzz46	8	#FFC0CB
zzzzz87	8	#FFC0CB
zzzzz88	8	#FFC0CB
zzzz153	9	#FF69B4
zzzz154	9	#FF69B4
zzzz185	9	#FF69B4
zzzz186	9	#FF69B4
zzzzz33	9	#FF69B4
zzzz107	10	#808000
zzzz147	10	#808000
zzzz224	10	#808000
zzzz239	10	#808000
zzzzz34	10	#808000
zzzz175	11	#FA8072
zzzz176	11	#FA8072
zzzzz74	11	#FA8072
zzzzz75	11	#FA8072
zzzz177	12	#EE82EE
zzzz178	12	#EE82EE
zzzzz61	12	#EE82EE
zzzzz62	12	#EE82EE
zzzz228	13	#006400
zzzz229	13	#006400
zzzzz40	13	#006400
zzzzz41	13	#006400
zzzz106	14	#00FF00
zzzz146	14	#00FF00
zzzz225	14	#00FF00
zzzz240	14	#00FF00
zzzzz91	15	#B259B2
zzzzz92	15	#B259B2
zzzzzz8	15	#B259B2
zzzzzz9	15	#B259B2
zzzz144	16	#003366
zzzz145	16	#003366
zzzzz16	16	#003366
zzzz110	17	#7FFFBF
zzzz203	17	#7FFFBF
zzzzz64	17	#7FFFBF
zzzz105	18	#8000FF
zzzz134	18	#8000FF
zzzz254	18	#8000FF
zzzz125	19	#B25900
zzzz126	19	#B25900
zzzzz76	19	#B25900
zzzz155	20	#592C00
zzzz212	20	#592C00
zzzz237	21	#800000
zzzz238	21	#800000
zzzz183	22	#0080FF
zzzz184	22	#0080FF
zzzz166	23	#404040
zzzz167	23	#404040
zzzz222	24	#FF4040
zzzz223	24	#FF4040
zzzz112	25	#40FF40
zzzz113	25	#40FF40
zzzzz77	26	#4040FF
zzzzz78	26	#4040FF
zzzz101	27	#004040
zzzz102	27	#004040
zzzzz38	28	#400040
zzzzz39	28	#400040
zzzzz95	29	#404000
zzzzz96	29	#404000
zzzzz97	30	#804040
zzzzz98	30	#804040
zzzz149	31	#408040
zzzz150	31	#408040
zzzzz89	32	#404080
zzzzz90	32	#404080
zzzz201	33	#40FFFF
zzzz202	33	#40FFFF
zzzz209	34	#FF40FF
zzzz210	34	#FF40FF
zzzz162	35	#FF0040
zzzz163	35	#FF0040
zzzzz80	36	#40FF00
zzzzz81	36	#40FF00
zzzz114	37	#0040FF
zzzz115	37	#0040FF
zzzz160	38	#FF8040
zzzz161	38	#FF8040
zzzzz57	39	#40FF80
zzzzz58	39	#40FF80
zzzz132	40	#8040FF
zzzz133	40	#8040FF
zzzzz66	41	#00FF40
zzzzz67	41	#00FF40
zzzzz72	42	#4000FF
zzzzz73	42	#4000FF
zzzz124	43	#FF4000
zzzzz99	43	#FF4000
zzzz164	44	#000040
zzzz165	44	#000040
zzzz255	45	#400000
zzzz256	45	#400000
zzzz217	46	#004000
zzzz218	46	#004000
zzzz100	47	#008040
zzzz123	47	#008040
zzzz197	48	#400080
zzzz198	48	#400080
