UniProt ID	Cluster Number	Cluster Color
zzzz115	1	#FF0000
zzzz147	1	#FF0000
zzzz175	1	#FF0000
zzzz176	1	#FF0000
zzzz191	1	#FF0000
zzzz229	1	#FF0000
zzzz252	1	#FF0000
zzzz256	1	#FF0000
zzzz276	1	#FF0000
zzzz277	1	#FF0000
zzzz289	1	#FF0000
zzzz290	1	#FF0000
zzzz364	1	#FF0000
zzzzz22	1	#FF0000
zzzzz28	1	#FF0000
zzzzz61	1	#FF0000
zzzzz62	1	#FF0000
zzzzz65	1	#FF0000
zzzzz93	1	#FF0000
zzzzzz0	1	#FF0000
zzzz153	2	#0000FF
zzzz154	2	#0000FF
zzzz156	2	#0000FF
zzzz164	2	#0000FF
zzzz185	2	#0000FF
zzzz187	2	#0000FF
zzzz208	2	#0000FF
zzzz209	2	#0000FF
zzzz218	2	#0000FF
zzzz245	2	#0000FF
zzzz248	2	#0000FF
zzzz249	2	#0000FF
zzzz275	2	#0000FF
zzzz301	2	#0000FF
zzzz342	2	#0000FF
zzzzz19	2	#0000FF
zzzzz21	2	#0000FF
zzzzz29	2	#0000FF
zzzzz89	2	#0000FF
zzzzz90	2	#0000FF
zzzz190	3	#FFA500
zzzz267	3	#FFA500
zzzz273	3	#FFA500
zzzz316	3	#FFA500
zzzz340	3	#FFA500
zzzz345	3	#FFA500
zzzz346	3	#FFA500
zzzzzz7	3	#FFA500
zzzzzz8	3	#FFA500
zzzz205	4	#008000
zzzz224	4	#008000
zzzz293	4	#008000
zzzz310	4	#008000
zzzz355	4	#008000
zzzz365	4	#008000
zzzzz63	4	#008000
zzzzz72	4	#008000
zzzzzz6	4	#008000
zzzz230	5	#FF00FF
zzzz231	5	#FF00FF
zzzz232	5	#FF00FF
zzzz236	5	#FF00FF
zzzz237	5	#FF00FF
zzzz238	5	#FF00FF
zzzzz84	5	#FF00FF
zzzzz85	5	#FF00FF
zzzz198	6	#808080
zzzz199	6	#808080
zzzz322	6	#808080
zzzz324	6	#808080
zzzzz43	6	#808080
zzzzz44	6	#808080
zzzzz68	6	#808080
zzzzz69	6	#808080
zzzz114	7	#00FFFF
zzzz116	7	#00FFFF
zzzz234	7	#00FFFF
zzzz235	7	#00FFFF
zzzz240	7	#00FFFF
zzzz241	7	#00FFFF
zzzz337	7	#00FFFF
zzzz138	8	#FFC0CB
zzzz139	8	#FFC0CB
zzzz306	8	#FFC0CB
zzzz307	8	#FFC0CB
zzzz311	8	#FFC0CB
zzzzz71	8	#FFC0CB
zzzzzz1	8	#FFC0CB
zzzz161	9	#FF69B4
zzzz193	9	#FF69B4
zzzz194	9	#FF69B4
zzzz211	9	#FF69B4
zzzz368	9	#FF69B4
zzzz369	9	#FF69B4
zzzzz12	9	#FF69B4
zzzz213	10	#808000
zzzz222	10	#808000
zzzzz48	10	#808000
zzzzz57	10	#808000
zzzzz58	10	#808000
zzzzz94	10	#808000
zzzz202	11	#FA8072
zzzz203	11	#FA8072
zzzz358	11	#FA8072
zzzzz74	11	#FA8072
zzzzz75	11	#FA8072
zzzzzz9	11	#FA8072
zzzz303	12	#EE82EE
zzzz320	12	#EE82EE
zzzz357	12	#EE82EE
zzzzz66	12	#EE82EE
zzzzzz5	12	#EE82EE
zzzz150	13	#006400
zzzz284	13	#006400
zzzz305	13	#006400
zzzzz70	13	#006400
zzzzz59	14	#00FF00
zzzzz60	14	#00FF00
zzzzzz3	14	#00FF00
zzzzzz4	14	#00FF00
zzzz295	15	#B259B2
zzzz296	15	#B259B2
zzzz350	15	#B259B2
zzzz351	15	#B259B2
zzzz173	16	#003366
zzzz204	16	#003366
zzzz266	16	#003366
zzzz270	16	#003366
zzzz129	17	#7FFFBF
zzzz130	17	#7FFFBF
zzzz219	17	#7FFFBF
zzzz220	17	#7FFFBF
zzzz128	18	#8000FF
zzzz258	18	#8000FF
zzzzz56	18	#8000FF
zzzz165	19	#B25900
zzzz166	19	#B25900
zzzz167	19	#B25900
zzzz125	20	#592C00
zzzz253	20	#592C00
zzzz366	20	#592C00
zzzz317	21	#800000
zzzzzz2	21	#800000
zzzz168	22	#0080FF
zzzz169	22	#0080FF
zzzz233	23	#404040
zzzz239	23	#404040
zzzz279	24	#FF4040
zzzz280	24	#FF4040
zzzz200	25	#40FF40
zzzz201	25	#40FF40
zzzz327	26	#4040FF
zzzzz36	26	#4040FF
zzzz223	27	#004040
zzzz299	27	#004040
zzzz137	28	#400040
zzzz214	28	#400040
zzzzz10	29	#404000
zzzzz76	29	#404000
zzzz184	30	#804040
zzzz373	30	#804040
