UniProt ID	Cluster Number	Cluster Color
zzzz100	1	#FF0000
zzzz101	1	#FF0000
zzzz111	1	#FF0000
zzzz116	1	#FF0000
zzzz117	1	#FF0000
zzzz127	1	#FF0000
zzzz146	1	#FF0000
zzzz147	1	#FF0000
zzzz150	1	#FF0000
zzzz151	1	#FF0000
zzzz154	1	#FF0000
zzzz156	1	#FF0000
zzzz157	1	#FF0000
zzzz161	1	#FF0000
zzzz162	1	#FF0000
zzzz174	1	#FF0000
zzzz175	1	#FF0000
zzzz178	1	#FF0000
zzzz179	1	#FF0000
zzzz186	1	#FF0000
zzzz205	1	#FF0000
zzzz220	1	#FF0000
zzzz221	1	#FF0000
zzzzz16	1	#FF0000
zzzzz17	1	#FF0000
zzzzz25	1	#FF0000
zzzzz34	1	#FF0000
zzzzz35	1	#FF0000
zzzzz42	1	#FF0000
zzzzz43	1	#FF0000
zzzzz50	1	#FF0000
zzzzz51	1	#FF0000
zzzzz71	1	#FF0000
zzzzz72	1	#FF0000
zzzzz75	1	#FF0000
zzzzz76	1	#FF0000
zzzzz97	1	#FF0000
zzzzzz2	1	#FF0000
zzzzzz3	1	#FF0000
zzzz109	2	#0000FF
zzzz110	2	#0000FF
zzzz114	2	#0000FF
zzzz115	2	#0000FF
zzzz128	2	#0000FF
zzzz129	2	#0000FF
zzzz144	2	#0000FF
zzzz145	2	#0000FF
zzzz148	2	#0000FF
zzzz149	2	#0000FF
zzzz152	2	#0000FF
zzzz153	2	#0000FF
zzzz176	2	#0000FF
zzzz177	2	#0000FF
zzzz184	2	#0000FF
zzzz185	2	#0000FF
zzzz196	2	#0000FF
zzzz197	2	#0000FF
zzzz203	2	#0000FF
zzzzz14	2	#0000FF
zzzzz15	2	#0000FF
zzzzz26	2	#0000FF
zzzzz27	2	#0000FF
zzzzz32	2	#0000FF
zzzzz33	2	#0000FF
zzzzz40	2	#0000FF
zzzzz41	2	#0000FF
zzzzz48	2	#0000FF
zzzzz49	2	#0000FF
zzzzz65	2	#0000FF
zzzzz66	2	#0000FF
zzzzz69	2	#0000FF
zzzzz70	2	#0000FF
zzzzz95	2	#0000FF
zzzzz96	2	#0000FF
zzzzzz0	2	#0000FF
zzzzzz1	2	#0000FF
zzzz130	3	#FFA500
zzzz131	3	#FFA500
zzzz132	3	#FFA500
zzzz133	3	#FFA500
zzzz142	3	#FFA500
zzzz143	3	#FFA500
zzzz194	3	#FFA500
zzzz195	3	#FFA500
zzzz209	3	#FFA500
zzzz210	3	#FFA500
zzzz224	3	#FFA500
zzzz225	3	#FFA500
zzzzz28	3	#FFA500
zzzzz29	3	#FFA500
zzzzz59	3	#FFA500
zzzzz60	3	#FFA500
zzzzz61	3	#FFA500
zzzzz62	3	#FFA500
zzzzz82	3	#FFA500
zzzzz83	3	#FFA500
zzzzz90	3	#FFA500
zzzzz91	3	#FFA500
zzzz163	4	#008000
zzzz164	4	#008000
zzzz222	4	#008000
zzzz223	4	#008000
zzzzz98	4	#008000
zzzzz99	4	#008000
zzzzz80	5	#FF00FF
zzzzz81	5	#FF00FF
zzzzzz4	5	#FF00FF
zzzzzz5	5	#FF00FF
zzzzz67	6	#808080
zzzzz68	6	#808080
zzzzz77	6	#808080
zzzzz78	6	#808080
zzzzz57	7	#00FFFF
zzzzz58	7	#00FFFF
zzzzz84	7	#00FFFF
zzzzz85	7	#00FFFF
zzzz172	8	#FFC0CB
zzzz173	8	#FFC0CB
zzzzz73	8	#FFC0CB
zzzzz74	8	#FFC0CB
zzzz136	9	#FF69B4
zzzz137	9	#FF69B4
zzzzz86	9	#FF69B4
zzzzz87	9	#FF69B4
zzzz211	10	#808000
zzzz212	10	#808000
zzzzz20	10	#808000
zzzz118	11	#FA8072
zzzz189	11	#FA8072
zzzzz24	11	#FA8072
zzzzz36	12	#EE82EE
zzzzz37	12	#EE82EE
zzzz216	13	#006400
zzzz217	13	#006400
zzzz166	14	#00FF00
zzzz167	14	#00FF00
zzzzz88	15	#B259B2
zzzzz89	15	#B259B2
zzzz191	16	#003366
zzzz192	16	#003366
zzzz213	17	#7FFFBF
zzzzz21	17	#7FFFBF
zzzz121	18	#8000FF
zzzz122	18	#8000FF
zzzzz92	19	#B25900
zzzzz93	19	#B25900
zzzzz38	20	#592C00
zzzzz39	20	#592C00
zzzzzz8	21	#800000
zzzzzz9	21	#800000
zzzz125	22	#0080FF
zzzz126	22	#0080FF
zzzzz46	23	#404040
zzzzz47	23	#404040
zzzz102	24	#FF4040
zzzz103	24	#FF4040
zzzz134	25	#40FF40
zzzz135	25	#40FF40
zzzzz30	26	#4040FF
zzzzz31	26	#4040FF
zzzz138	27	#004040
zzzz139	27	#004040
zzzz168	28	#400040
zzzz169	28	#400040
zzzz198	29	#404000
zzzz199	29	#404000
zzzz206	30	#804040
zzzz207	30	#804040
zzzzz11	31	#408040
zzzzz12	31	#408040
zzzzz18	32	#404080
zzzzz19	32	#404080
zzzz123	33	#40FFFF
zzzz124	33	#40FFFF
zzzz170	34	#FF40FF
zzzz171	34	#FF40FF
zzzz218	35	#FF0040
zzzz219	35	#FF0040
zzzz187	36	#40FF00
zzzz188	36	#40FF00
zzzzzz6	37	#0040FF
zzzzzz7	37	#0040FF
zzzz106	38	#FF8040
zzzz107	38	#FF8040
zzzz200	39	#40FF80
zzzz201	39	#40FF80
zzzz158	40	#8040FF
zzzz159	40	#8040FF
zzzzz54	41	#00FF40
zzzzz55	41	#00FF40
zzzzz44	42	#4000FF
zzzzz45	42	#4000FF
zzzz180	43	#FF4000
zzzz181	43	#FF4000
