UniProt ID	Cluster Number	Cluster Color
zzzz101	1	#FF0000
zzzz102	1	#FF0000
zzzz104	1	#FF0000
zzzz108	1	#FF0000
zzzz111	1	#FF0000
zzzz112	1	#FF0000
zzzz119	1	#FF0000
zzzz123	1	#FF0000
zzzz132	1	#FF0000
zzzz137	1	#FF0000
zzzz146	1	#FF0000
zzzz164	1	#FF0000
zzzz165	1	#FF0000
zzzz168	1	#FF0000
zzzz173	1	#FF0000
zzzz174	1	#FF0000
zzzz184	1	#FF0000
zzzz187	1	#FF0000
zzzz188	1	#FF0000
zzzz190	1	#FF0000
zzzz197	1	#FF0000
zzzz198	1	#FF0000
zzzz205	1	#FF0000
zzzz215	1	#FF0000
zzzz218	1	#FF0000
zzzz223	1	#FF0000
zzzz228	1	#FF0000
zzzz232	1	#FF0000
zzzz237	1	#FF0000
zzzz240	1	#FF0000
zzzz247	1	#FF0000
zzzz248	1	#FF0000
zzzz258	1	#FF0000
zzzz261	1	#FF0000
zzzz266	1	#FF0000
zzzz273	1	#FF0000
zzzz276	1	#FF0000
zzzz277	1	#FF0000
zzzz291	1	#FF0000
zzzz292	1	#FF0000
zzzz293	1	#FF0000
zzzz294	1	#FF0000
zzzz296	1	#FF0000
zzzz299	1	#FF0000
zzzz301	1	#FF0000
zzzz302	1	#FF0000
zzzz303	1	#FF0000
zzzz305	1	#FF0000
zzzz317	1	#FF0000
zzzz318	1	#FF0000
zzzzz18	1	#FF0000
zzzzz23	1	#FF0000
zzzzz36	1	#FF0000
zzzzz50	1	#FF0000
zzzzz51	1	#FF0000
zzzzz53	1	#FF0000
zzzzz55	1	#FF0000
zzzzz57	1	#FF0000
zzzzz62	1	#FF0000
zzzzz65	1	#FF0000
zzzzz68	1	#FF0000
zzzzz69	1	#FF0000
zzzzz72	1	#FF0000
zzzzz84	1	#FF0000
zzzzz85	1	#FF0000
zzzzz88	1	#FF0000
zzzzz90	1	#FF0000
zzzzz93	1	#FF0000
zzzzz94	1	#FF0000
zzzzzz0	1	#FF0000
zzzz152	2	#0000FF
zzzz159	2	#0000FF
zzzz180	2	#0000FF
zzzz185	2	#0000FF
zzzz191	2	#0000FF
zzzz194	2	#0000FF
zzzz209	2	#0000FF
zzzz288	2	#0000FF
zzzz289	2	#0000FF
zzzz308	2	#0000FF
zzzz310	2	#0000FF
zzzz313	2	#0000FF
zzzzz16	2	#0000FF
zzzzz17	2	#0000FF
zzzzz33	2	#0000FF
zzzzz35	2	#0000FF
zzzzz66	2	#0000FF
zzzzz78	2	#0000FF
zzzzz80	2	#0000FF
zzzz211	3	#FFA500
zzzz239	3	#FFA500
zzzzz41	3	#FFA500
zzzzz48	3	#FFA500
zzzzz49	3	#FFA500
zzzz110	4	#008000
zzzz213	4	#008000
zzzz300	4	#008000
zzzzz24	4	#008000
zzzzz54	4	#008000
zzzz290	5	#FF00FF
zzzz295	5	#FF00FF
zzzzz77	5	#FF00FF
zzzzz79	5	#FF00FF
zzzz126	6	#808080
zzzz200	6	#808080
zzzzz31	6	#808080
zzzzzz9	6	#808080
zzzz176	7	#00FFFF
zzzz255	7	#00FFFF
zzzzz60	7	#00FFFF
zzzzz64	7	#00FFFF
zzzz192	8	#FFC0CB
zzzz193	8	#FFC0CB
zzzzz86	8	#FFC0CB
zzzzz87	8	#FFC0CB
zzzz204	9	#FF69B4
zzzz272	9	#FF69B4
zzzzz91	9	#FF69B4
zzzz262	10	#808000
zzzzz56	10	#808000
zzzzz73	10	#808000
zzzz115	11	#FA8072
zzzz116	11	#FA8072
zzzz129	11	#FA8072
zzzzz10	12	#EE82EE
zzzzz12	12	#EE82EE
zzzzz34	12	#EE82EE
zzzz306	13	#006400
zzzz307	13	#006400
zzzzz44	13	#006400
zzzz199	14	#00FF00
zzzzz32	14	#00FF00
zzzzzz8	14	#00FF00
zzzz114	15	#B259B2
zzzz170	15	#B259B2
zzzz314	15	#B259B2
zzzzzz2	16	#003366
zzzzzz3	16	#003366
zzzz181	17	#7FFFBF
zzzz208	17	#7FFFBF
zzzz120	18	#8000FF
zzzz121	18	#8000FF
zzzz133	19	#B25900
zzzz268	19	#B25900
zzzz202	20	#592C00
zzzz270	20	#592C00
zzzz160	21	#800000
zzzzz20	21	#800000
zzzz106	22	#0080FF
zzzzz96	22	#0080FF
zzzz219	23	#404040
zzzz220	23	#404040
zzzz117	24	#FF4040
zzzz216	24	#FF4040
zzzz107	25	#40FF40
zzzzz95	25	#40FF40
zzzzz13	26	#4040FF
zzzzz46	26	#4040FF
zzzz134	27	#004040
zzzz267	27	#004040
zzzz246	28	#400040
zzzz319	28	#400040
zzzz153	29	#404000
zzzzz14	29	#404000
zzzzz42	30	#804040
zzzzz43	30	#804040
zzzz100	31	#408040
zzzz297	31	#408040
zzzz230	32	#404080
zzzz231	32	#404080
zzzz287	33	#40FFFF
zzzzz74	33	#40FFFF
zzzz203	34	#FF40FF
zzzz271	34	#FF40FF
zzzzz21	35	#FF0040
zzzzz81	35	#FF0040
zzzzz98	36	#40FF00
zzzzz99	36	#40FF00
