UniProt ID	Cluster Number	Cluster Color
zzzz100	1	#FF0000
zzzz107	1	#FF0000
zzzz108	1	#FF0000
zzzz109	1	#FF0000
zzzz126	1	#FF0000
zzzz138	1	#FF0000
zzzz150	1	#FF0000
zzzz162	1	#FF0000
zzzz184	1	#FF0000
zzzzz13	1	#FF0000
zzzzz22	1	#FF0000
zzzzz23	1	#FF0000
zzzzz85	1	#FF0000
zzzzzz2	1	#FF0000
zzzz105	2	#0000FF
zzzz118	2	#0000FF
zzzz137	2	#0000FF
zzzz148	2	#0000FF
zzzz149	2	#0000FF
zzzz151	2	#0000FF
zzzz163	2	#0000FF
zzzzz24	2	#0000FF
zzzzz37	2	#0000FF
zzzzz69	2	#0000FF
zzzzz79	2	#0000FF
zzzzzz0	2	#0000FF
zzzz111	3	#FFA500
zzzz127	3	#FFA500
zzzz161	3	#FFA500
zzzzz12	3	#FFA500
zzzzz31	3	#FFA500
zzzzz47	3	#FFA500
zzzzzz1	3	#FFA500
zzzzzz3	3	#FFA500
zzzz113	4	#008000
zzzz186	4	#008000
zzzzz39	4	#008000
zzzzz40	4	#008000
zzzzz49	4	#008000
zzzzz66	4	#008000
zzzzz74	4	#008000
zzzz112	5	#FF00FF
zzzz185	5	#FF00FF
zzzzz38	5	#FF00FF
zzzzz50	5	#FF00FF
zzzzz65	5	#FF00FF
zzzzz75	5	#FF00FF
zzzz141	6	#808080
zzzz168	6	#808080
zzzz180	6	#808080
zzzz188	6	#808080
zzzzz32	6	#808080
zzzzz41	6	#808080
zzzz139	7	#00FFFF
zzzz140	7	#00FFFF
zzzz142	7	#00FFFF
zzzz143	7	#00FFFF
zzzzz25	7	#00FFFF
zzzz176	8	#FFC0CB
zzzzz21	8	#FFC0CB
zzzzz29	8	#FFC0CB
zzzzz43	8	#FFC0CB
zzzzzz5	8	#FFC0CB
zzzz120	9	#FF69B4
zzzz160	9	#FF69B4
zzzzz56	9	#FF69B4
zzzzz82	9	#FF69B4
zzzzz99	9	#FF69B4
zzzz175	10	#808000
zzzzz20	10	#808000
zzzzz30	10	#808000
zzzzz44	10	#808000
zzzzzz4	10	#808000
zzzz119	11	#FA8072
zzzz159	11	#FA8072
zzzzz55	11	#FA8072
zzzzz81	11	#FA8072
zzzzz98	11	#FA8072
zzzz128	12	#EE82EE
zzzzz15	12	#EE82EE
zzzzz17	12	#EE82EE
zzzzz62	12	#EE82EE
zzzzz88	12	#EE82EE
zzzz144	13	#006400
zzzzz36	13	#006400
zzzzz86	13	#006400
zzzzz87	13	#006400
zzzz103	14	#00FF00
zzzz116	14	#00FF00
zzzz146	14	#00FF00
zzzzz46	14	#00FF00
zzzz110	15	#B259B2
zzzz189	15	#B259B2
zzzzz28	15	#B259B2
zzzzz64	15	#B259B2
zzzz101	16	#003366
zzzz172	16	#003366
zzzzz71	16	#003366
zzzzz95	16	#003366
zzzz121	17	#7FFFBF
zzzz169	17	#7FFFBF
zzzzz11	17	#7FFFBF
zzzzz96	17	#7FFFBF
zzzz106	18	#8000FF
zzzzz67	18	#8000FF
zzzzz76	18	#8000FF
zzzz182	19	#B25900
zzzzz48	19	#B25900
zzzzz53	19	#B25900
zzzz133	20	#592C00
zzzz170	20	#592C00
zzzzz51	20	#592C00
zzzz134	21	#800000
zzzz171	21	#800000
zzzzz52	21	#800000
zzzz102	22	#0080FF
zzzz147	22	#0080FF
zzzzz45	22	#0080FF
zzzz129	23	#404040
zzzzz61	23	#404040
zzzzz89	23	#404040
zzzz123	24	#FF4040
zzzz165	24	#FF4040
zzzzz72	24	#FF4040
zzzz122	25	#40FF40
zzzz164	25	#40FF40
zzzzz73	25	#40FF40
zzzzz27	26	#4040FF
zzzzz84	26	#4040FF
zzzz114	27	#004040
zzzzz54	27	#004040
zzzz179	28	#400040
zzzzz18	28	#400040
zzzz177	29	#404000
zzzzzz7	29	#404000
zzzz104	30	#804040
zzzzz83	30	#804040
zzzz178	31	#408040
zzzzzz6	31	#408040
zzzzz10	32	#404080
zzzzzz9	32	#404080
zzzz158	33	#40FFFF
zzzzz80	33	#40FFFF
zzzzz78	34	#FF40FF
zzzzzz8	34	#FF40FF
