UniProt ID	Cluster Number	Cluster Color
zzzz100	1	#FF0000
zzzz102	1	#FF0000
zzzz106	1	#FF0000
zzzz108	1	#FF0000
zzzz133	1	#FF0000
zzzz134	1	#FF0000
zzzz138	1	#FF0000
zzzz153	1	#FF0000
zzzz160	1	#FF0000
zzzz166	1	#FF0000
zzzz182	1	#FF0000
zzzz185	1	#FF0000
zzzz190	1	#FF0000
zzzz196	1	#FF0000
zzzz202	1	#FF0000
zzzz216	1	#FF0000
zzzz231	1	#FF0000
zzzz234	1	#FF0000
zzzz250	1	#FF0000
zzzz253	1	#FF0000
zzzz255	1	#FF0000
zzzz258	1	#FF0000
zzzz262	1	#FF0000
zzzz279	1	#FF0000
zzzz284	1	#FF0000
zzzz293	1	#FF0000
zzzzz11	1	#FF0000
zzzzz16	1	#FF0000
zzzzz20	1	#FF0000
zzzzz32	1	#FF0000
zzzzz50	1	#FF0000
zzzzz52	1	#FF0000
zzzzz60	1	#FF0000
zzzzz69	1	#FF0000
zzzzz74	1	#FF0000
zzzzz82	1	#FF0000
zzzzz89	1	#FF0000
zzzzz92	1	#FF0000
zzzz109	2	#0000FF
zzzz110	2	#0000FF
zzzz126	2	#0000FF
zzzz151	2	#0000FF
zzzz163	2	#0000FF
zzzz164	2	#0000FF
zzzz178	2	#0000FF
zzzz179	2	#0000FF
zzzz188	2	#0000FF
zzzz189	2	#0000FF
zzzz242	2	#0000FF
zzzz256	2	#0000FF
zzzz260	2	#0000FF
zzzz272	2	#0000FF
zzzz273	2	#0000FF
zzzzz33	2	#0000FF
zzzzz62	2	#0000FF
zzzzz63	2	#0000FF
zzzzz64	2	#0000FF
zzzzz73	2	#0000FF
zzzzz84	2	#0000FF
zzzzz88	2	#0000FF
zzzzzz4	2	#0000FF
zzzz107	3	#FFA500
zzzz130	3	#FFA500
zzzz131	3	#FFA500
zzzz132	3	#FFA500
zzzz140	3	#FFA500
zzzz194	3	#FFA500
zzzz218	3	#FFA500
zzzz225	3	#FFA500
zzzz269	3	#FFA500
zzzz282	3	#FFA500
zzzzz19	3	#FFA500
zzzzz23	3	#FFA500
zzzzz45	3	#FFA500
zzzzz49	3	#FFA500
zzzzz54	3	#FFA500
zzzzz59	3	#FFA500
zzzzz77	3	#FFA500
zzzzz93	3	#FFA500
zzzzzz0	3	#FFA500
zzzz117	4	#008000
zzzz123	4	#008000
zzzz139	4	#008000
zzzz161	4	#008000
zzzz167	4	#008000
zzzz183	4	#008000
zzzz186	4	#008000
zzzz201	4	#008000
zzzz248	4	#008000
zzzz249	4	#008000
zzzz254	4	#008000
zzzz259	4	#008000
zzzz266	4	#008000
zzzzz41	4	#008000
zzzzz70	4	#008000
zzzzz78	4	#008000
zzzzz87	4	#008000
zzzzz90	4	#008000
zzzzz91	4	#008000
