UniProt ID	Cluster Number	Cluster Color
zzzz101	1	#FF0000
zzzz104	1	#FF0000
zzzz105	1	#FF0000
zzzz106	1	#FF0000
zzzz107	1	#FF0000
zzzz108	1	#FF0000
zzzz109	1	#FF0000
zzzz111	1	#FF0000
zzzz112	1	#FF0000
zzzz114	1	#FF0000
zzzz116	1	#FF0000
zzzz117	1	#FF0000
zzzz120	1	#FF0000
zzzz121	1	#FF0000
zzzz122	1	#FF0000
zzzz123	1	#FF0000
zzzz125	1	#FF0000
zzzz130	1	#FF0000
zzzz131	1	#FF0000
zzzz132	1	#FF0000
zzzz133	1	#FF0000
zzzz135	1	#FF0000
zzzz137	1	#FF0000
zzzz138	1	#FF0000
zzzz139	1	#FF0000
zzzz140	1	#FF0000
zzzz141	1	#FF0000
zzzz142	1	#FF0000
zzzz143	1	#FF0000
zzzz144	1	#FF0000
zzzz145	1	#FF0000
zzzz146	1	#FF0000
zzzz147	1	#FF0000
zzzz148	1	#FF0000
zzzz149	1	#FF0000
zzzz150	1	#FF0000
zzzz151	1	#FF0000
zzzz153	1	#FF0000
zzzz155	1	#FF0000
zzzz156	1	#FF0000
zzzz157	1	#FF0000
zzzz158	1	#FF0000
zzzz161	1	#FF0000
zzzz162	1	#FF0000
zzzz163	1	#FF0000
zzzz164	1	#FF0000
zzzz165	1	#FF0000
zzzz168	1	#FF0000
zzzz169	1	#FF0000
zzzz171	1	#FF0000
zzzz172	1	#FF0000
zzzz173	1	#FF0000
zzzz174	1	#FF0000
zzzz175	1	#FF0000
zzzz177	1	#FF0000
zzzz178	1	#FF0000
zzzz179	1	#FF0000
zzzz180	1	#FF0000
zzzz182	1	#FF0000
zzzz186	1	#FF0000
zzzz188	1	#FF0000
zzzz189	1	#FF0000
zzzz190	1	#FF0000
zzzz191	1	#FF0000
zzzz198	1	#FF0000
zzzz200	1	#FF0000
zzzz203	1	#FF0000
zzzz204	1	#FF0000
zzzz206	1	#FF0000
zzzz208	1	#FF0000
zzzz210	1	#FF0000
zzzz211	1	#FF0000
zzzz213	1	#FF0000
zzzz215	1	#FF0000
zzzz216	1	#FF0000
zzzz224	1	#FF0000
zzzz225	1	#FF0000
zzzz227	1	#FF0000
zzzz229	1	#FF0000
zzzz230	1	#FF0000
zzzz231	1	#FF0000
zzzz234	1	#FF0000
zzzz236	1	#FF0000
zzzz237	1	#FF0000
zzzzz11	1	#FF0000
zzzzz12	1	#FF0000
zzzzz13	1	#FF0000
zzzzz14	1	#FF0000
zzzzz15	1	#FF0000
zzzzz21	1	#FF0000
zzzzz22	1	#FF0000
zzzzz23	1	#FF0000
zzzzz25	1	#FF0000
zzzzz26	1	#FF0000
zzzzz30	1	#FF0000
zzzzz34	1	#FF0000
zzzzz37	1	#FF0000
zzzzz38	1	#FF0000
zzzzz39	1	#FF0000
zzzzz41	1	#FF0000
zzzzz42	1	#FF0000
zzzzz44	1	#FF0000
zzzzz45	1	#FF0000
zzzzz46	1	#FF0000
zzzzz47	1	#FF0000
zzzzz51	1	#FF0000
zzzzz52	1	#FF0000
zzzzz53	1	#FF0000
zzzzz54	1	#FF0000
zzzzz55	1	#FF0000
zzzzz56	1	#FF0000
zzzzz57	1	#FF0000
zzzzz58	1	#FF0000
zzzzz59	1	#FF0000
zzzzz61	1	#FF0000
zzzzz62	1	#FF0000
zzzzz64	1	#FF0000
zzzzz65	1	#FF0000
zzzzz66	1	#FF0000
zzzzz67	1	#FF0000
zzzzz68	1	#FF0000
zzzzz69	1	#FF0000
zzzzz70	1	#FF0000
zzzzz71	1	#FF0000
zzzzz72	1	#FF0000
zzzzz74	1	#FF0000
zzzzz75	1	#FF0000
zzzzz76	1	#FF0000
zzzzz77	1	#FF0000
zzzzz78	1	#FF0000
zzzzz79	1	#FF0000
zzzzz80	1	#FF0000
zzzzz81	1	#FF0000
zzzzz88	1	#FF0000
zzzzz97	1	#FF0000
zzzzz98	1	#FF0000
zzzzzz0	1	#FF0000
zzzzzz3	1	#FF0000
zzzzzz4	1	#FF0000
zzzzzz8	1	#FF0000
zzzzzz9	1	#FF0000
zzzz118	2	#0000FF
zzzz159	2	#0000FF
zzzzz24	2	#0000FF
zzzz103	3	#FFA500
zzzzz94	3	#FFA500
zzzzzz6	3	#FFA500
zzzz154	4	#008000
zzzz176	4	#008000
zzzz181	4	#008000
zzzz226	5	#FF00FF
zzzzz60	5	#FF00FF
zzzz110	6	#808080
zzzz115	6	#808080
zzzz160	7	#00FFFF
zzzzz96	7	#00FFFF
zzzz170	8	#FFC0CB
zzzzz73	8	#FFC0CB
zzzz102	9	#FF69B4
zzzzz95	9	#FF69B4
zzzzz87	10	#808000
zzzzzz7	10	#808000
zzzz212	11	#FA8072
zzzz217	11	#FA8072
zzzz219	12	#EE82EE
zzzzz28	12	#EE82EE
