UniProt ID	Cluster Number	Cluster Color
zzzz181	1	#FF0000
zzzz182	1	#FF0000
zzzz184	1	#FF0000
zzzz185	1	#FF0000
zzzz187	1	#FF0000
zzzz188	1	#FF0000
zzzz200	1	#FF0000
zzzz201	1	#FF0000
zzzz203	1	#FF0000
zzzz204	1	#FF0000
zzzzz66	1	#FF0000
zzzzz67	1	#FF0000
zzzzz69	1	#FF0000
zzzzz70	1	#FF0000
zzzzz79	1	#FF0000
zzzzz80	1	#FF0000
zzzz101	2	#0000FF
zzzz102	2	#0000FF
zzzz160	2	#0000FF
zzzz161	2	#0000FF
zzzz210	2	#0000FF
zzzz211	2	#0000FF
zzzz215	2	#0000FF
zzzz216	2	#0000FF
zzzzz34	2	#0000FF
zzzzz35	2	#0000FF
zzzzz58	2	#0000FF
zzzzz98	2	#0000FF
zzzz142	3	#FFA500
zzzz143	3	#FFA500
zzzz206	3	#FFA500
zzzz207	3	#FFA500
zzzzz30	3	#FFA500
zzzzz31	3	#FFA500
zzzzz55	3	#FFA500
zzzzz56	3	#FFA500
zzzzz95	3	#FFA500
zzzzz96	3	#FFA500
zzzz103	4	#008000
zzzz162	4	#008000
zzzz196	4	#008000
zzzz197	4	#008000
zzzzz42	4	#008000
zzzzz43	4	#008000
zzzzzz0	4	#008000
zzzz138	5	#FF00FF
zzzz139	5	#FF00FF
zzzz178	5	#FF00FF
zzzz179	5	#FF00FF
zzzzz51	5	#FF00FF
zzzzz52	5	#FF00FF
zzzz104	6	#808080
zzzz105	6	#808080
zzzz163	6	#808080
zzzz164	6	#808080
zzzzzz1	6	#808080
zzzzzz2	6	#808080
zzzz208	7	#00FFFF
zzzz209	7	#00FFFF
zzzzz32	7	#00FFFF
zzzzz33	7	#00FFFF
zzzzz57	7	#00FFFF
zzzzz97	7	#00FFFF
zzzzz23	8	#FFC0CB
zzzzz24	8	#FFC0CB
zzzzz45	8	#FFC0CB
zzzzz46	8	#FFC0CB
zzzzz47	8	#FFC0CB
zzzzz48	8	#FFC0CB
zzzz154	9	#FF69B4
zzzz190	9	#FF69B4
zzzz198	9	#FF69B4
zzzz199	9	#FF69B4
zzzzz17	9	#FF69B4
zzzz113	10	#808000
zzzz114	10	#808000
zzzz122	10	#808000
zzzz123	10	#808000
zzzz100	11	#FA8072
zzzz158	11	#FA8072
zzzz159	11	#FA8072
zzzzz99	11	#FA8072
zzzz170	12	#EE82EE
zzzzz22	12	#EE82EE
zzzzz26	12	#EE82EE
zzzzz27	12	#EE82EE
zzzz140	13	#006400
zzzz141	13	#006400
zzzzz74	13	#006400
zzzzz75	13	#006400
zzzzz89	14	#00FF00
zzzzz90	14	#00FF00
zzzzz91	14	#00FF00
zzzzz78	15	#B259B2
zzzzz84	15	#B259B2
zzzzz85	15	#B259B2
zzzz115	16	#003366
zzzz124	16	#003366
zzzzz40	17	#7FFFBF
zzzzz41	17	#7FFFBF
zzzz116	18	#8000FF
zzzz117	18	#8000FF
zzzz152	19	#B25900
zzzz153	19	#B25900
zzzzz72	20	#592C00
zzzzz73	20	#592C00
zzzzz38	21	#800000
zzzzz39	21	#800000
zzzzz18	22	#0080FF
zzzzz19	22	#0080FF
zzzz131	23	#404040
zzzz132	23	#404040
zzzz136	24	#FF4040
zzzz137	24	#FF4040
zzzz175	25	#40FF40
zzzz176	25	#40FF40
zzzz110	26	#4040FF
zzzz119	26	#4040FF
zzzz112	27	#004040
zzzz121	27	#004040
zzzzz53	28	#400040
zzzzz54	28	#400040
zzzz193	29	#404000
zzzz194	29	#404000
zzzzz36	30	#804040
zzzzz37	30	#804040
zzzz155	31	#408040
zzzzz63	31	#408040
zzzz108	32	#404080
zzzz109	32	#404080
zzzz191	33	#40FFFF
zzzz192	33	#40FFFF
zzzzz49	34	#FF40FF
zzzzz50	34	#FF40FF
zzzzz61	35	#FF0040
zzzzz62	35	#FF0040
zzzzz87	36	#40FF00
zzzzz88	36	#40FF00
zzzz213	37	#0040FF
zzzz214	37	#0040FF
zzzzz82	38	#FF8040
zzzzz83	38	#FF8040
zzzz106	39	#40FF80
zzzz107	39	#40FF80
zzzzz28	40	#8040FF
zzzzz29	40	#8040FF
zzzz111	41	#00FF40
zzzz120	41	#00FF40
zzzz126	42	#4000FF
zzzz127	42	#4000FF
zzzz172	43	#FF4000
zzzz173	43	#FF4000
zzzzz12	44	#000040
zzzzz13	44	#000040
zzzzz20	45	#400000
zzzzz21	45	#400000
zzzzz14	46	#004000
zzzzz15	46	#004000
zzzzz10	47	#008040
zzzzz11	47	#008040
zzzz165	48	#400080
zzzz166	48	#400080
zzzzz59	49	#804000
zzzzz60	49	#804000
zzzzzz5	50	#80FF40
zzzzzz6	50	#80FF40
zzzz118	51	#4080FF
zzzz125	51	#4080FF
zzzz168	52	#FF4080
zzzz169	52	#FF4080
