UniProt ID	Cluster Number	Cluster Color
zzzz155	1	#FF0000
zzzz156	1	#FF0000
zzzz158	1	#FF0000
zzzz159	1	#FF0000
zzzz161	1	#FF0000
zzzz162	1	#FF0000
zzzz166	1	#FF0000
zzzz172	1	#FF0000
zzzz173	1	#FF0000
zzzz175	1	#FF0000
zzzz176	1	#FF0000
zzzz179	1	#FF0000
zzzzz11	1	#FF0000
zzzzz23	1	#FF0000
zzzzz33	1	#FF0000
zzzzz35	1	#FF0000
zzzzz41	1	#FF0000
zzzzz42	1	#FF0000
zzzzz44	1	#FF0000
zzzzz45	1	#FF0000
zzzzz52	1	#FF0000
zzzzz53	1	#FF0000
zzzzz54	1	#FF0000
zzzzz56	1	#FF0000
zzzzz57	1	#FF0000
zzzzz67	1	#FF0000
zzzz103	2	#0000FF
zzzz104	2	#0000FF
zzzz118	2	#0000FF
zzzz119	2	#0000FF
zzzz136	2	#0000FF
zzzz137	2	#0000FF
zzzz138	2	#0000FF
zzzz141	2	#0000FF
zzzz180	2	#0000FF
zzzz182	2	#0000FF
zzzz183	2	#0000FF
zzzzz16	2	#0000FF
zzzzz24	2	#0000FF
zzzzz29	2	#0000FF
zzzzz30	2	#0000FF
zzzzz36	2	#0000FF
zzzzz38	2	#0000FF
zzzzz48	2	#0000FF
zzzzz68	2	#0000FF
zzzzz69	2	#0000FF
zzzzz70	2	#0000FF
zzzzz71	2	#0000FF
zzzz139	3	#FFA500
zzzz169	3	#FFA500
zzzz170	3	#FFA500
zzzzz72	3	#FFA500
zzzzz88	3	#FFA500
zzzzz89	3	#FFA500
zzzzzz0	3	#FFA500
zzzz157	4	#008000
zzzz160	4	#008000
zzzz163	4	#008000
zzzz174	4	#008000
zzzz177	4	#008000
zzzzz43	4	#008000
zzzzz46	4	#008000
zzzz101	5	#FF00FF
zzzz102	5	#FF00FF
zzzzz90	5	#FF00FF
zzzzz91	5	#FF00FF
zzzzzz5	5	#FF00FF
zzzzzz9	5	#FF00FF
zzzz120	6	#808080
zzzz178	6	#808080
zzzzz22	6	#808080
zzzzz34	6	#808080
zzzzz66	6	#808080
zzzzz25	7	#00FFFF
zzzzz26	7	#00FFFF
zzzzz27	7	#00FFFF
zzzzz28	7	#00FFFF
zzzz133	8	#FFC0CB
zzzz164	8	#FFC0CB
zzzz171	8	#FFC0CB
zzzzz94	8	#FFC0CB
zzzz147	9	#FF69B4
zzzz148	9	#FF69B4
zzzzz14	9	#FF69B4
zzzzz15	9	#FF69B4
zzzz140	10	#808000
zzzzz73	10	#808000
zzzzz74	10	#808000
zzzzzz1	10	#808000
zzzzz61	11	#FA8072
zzzzz62	11	#FA8072
zzzzz63	11	#FA8072
zzzz145	12	#EE82EE
zzzzz13	12	#EE82EE
zzzzz18	12	#EE82EE
zzzz111	13	#006400
zzzz121	13	#006400
zzzz122	13	#006400
zzzz100	14	#00FF00
zzzzz82	14	#00FF00
zzzzz92	15	#B259B2
zzzzz93	15	#B259B2
zzzz115	16	#003366
zzzz116	16	#003366
zzzzz81	17	#7FFFBF
zzzzz99	17	#7FFFBF
zzzzz78	18	#8000FF
zzzzz96	18	#8000FF
zzzz129	19	#B25900
zzzz130	19	#B25900
zzzzz79	20	#592C00
zzzzz97	20	#592C00
zzzz131	21	#800000
zzzz132	21	#800000
zzzzz49	22	#0080FF
zzzzz50	22	#0080FF
zzzzzz2	23	#404040
zzzzzz3	23	#404040
zzzz107	24	#FF4040
zzzz108	24	#FF4040
zzzzz83	25	#40FF40
zzzzz84	25	#40FF40
zzzzz77	26	#4040FF
zzzzz95	26	#4040FF
zzzz151	27	#004040
zzzzz10	27	#004040
zzzz127	28	#400040
zzzz128	28	#400040
zzzz117	29	#404000
zzzz153	29	#404000
zzzz134	30	#804040
zzzzz39	30	#804040
zzzz135	31	#408040
zzzzz40	31	#408040
zzzzz80	32	#404080
zzzzz98	32	#404080
