UniProt ID	Cluster Number	Cluster Color
zzzz101	1	#FF0000
zzzz102	1	#FF0000
zzzz103	1	#FF0000
zzzz106	1	#FF0000
zzzz110	1	#FF0000
zzzz129	1	#FF0000
zzzz146	1	#FF0000
zzzz164	1	#FF0000
zzzz175	1	#FF0000
zzzz177	1	#FF0000
zzzz179	1	#FF0000
zzzz184	1	#FF0000
zzzz188	1	#FF0000
zzzz201	1	#FF0000
zzzz202	1	#FF0000
zzzz206	1	#FF0000
zzzz208	1	#FF0000
zzzz209	1	#FF0000
zzzz212	1	#FF0000
zzzz226	1	#FF0000
zzzz234	1	#FF0000
zzzz236	1	#FF0000
zzzz241	1	#FF0000
zzzz242	1	#FF0000
zzzz251	1	#FF0000
zzzz269	1	#FF0000
zzzz271	1	#FF0000
zzzz276	1	#FF0000
zzzz278	1	#FF0000
zzzz280	1	#FF0000
zzzz308	1	#FF0000
zzzz309	1	#FF0000
zzzz322	1	#FF0000
zzzz334	1	#FF0000
zzzz336	1	#FF0000
zzzz337	1	#FF0000
zzzz338	1	#FF0000
zzzz340	1	#FF0000
zzzz360	1	#FF0000
zzzz361	1	#FF0000
zzzz362	1	#FF0000
zzzz363	1	#FF0000
zzzz376	1	#FF0000
zzzz377	1	#FF0000
zzzz385	1	#FF0000
zzzz386	1	#FF0000
zzzz413	1	#FF0000
zzzz435	1	#FF0000
zzzzz36	1	#FF0000
zzzzz37	1	#FF0000
zzzzz42	1	#FF0000
zzzzz48	1	#FF0000
zzzzz49	1	#FF0000
zzzzz53	1	#FF0000
zzzzz54	1	#FF0000
zzzzz89	1	#FF0000
zzzz127	2	#0000FF
zzzz131	2	#0000FF
zzzz231	2	#0000FF
zzzz240	2	#0000FF
zzzz249	2	#0000FF
zzzz252	2	#0000FF
zzzz257	2	#0000FF
zzzz272	2	#0000FF
zzzz274	2	#0000FF
zzzz290	2	#0000FF
zzzz326	2	#0000FF
zzzz339	2	#0000FF
zzzz345	2	#0000FF
zzzz352	2	#0000FF
zzzz353	2	#0000FF
zzzz403	2	#0000FF
zzzzz31	2	#0000FF
zzzzz64	2	#0000FF
zzzzz75	2	#0000FF
zzzzzz0	2	#0000FF
zzzzzz4	2	#0000FF
zzzz211	3	#FFA500
zzzz213	3	#FFA500
zzzz215	3	#FFA500
zzzz297	3	#FFA500
zzzz298	3	#FFA500
zzzz300	3	#FFA500
zzzz307	3	#FFA500
zzzz310	3	#FFA500
zzzz350	3	#FFA500
zzzz391	3	#FFA500
zzzz395	3	#FFA500
zzzzz12	3	#FFA500
zzzzz13	3	#FFA500
zzzzz17	3	#FFA500
zzzzz18	3	#FFA500
zzzz135	4	#008000
zzzz153	4	#008000
zzzz172	4	#008000
zzzz207	4	#008000
zzzz246	4	#008000
zzzz254	4	#008000
zzzz256	4	#008000
zzzzz24	4	#008000
zzzzz29	4	#008000
zzzzz44	4	#008000
zzzzz67	4	#008000
zzzzz95	4	#008000
zzzzz98	4	#008000
zzzz154	5	#FF00FF
zzzz159	5	#FF00FF
zzzz187	5	#FF00FF
zzzz221	5	#FF00FF
zzzz235	5	#FF00FF
zzzz243	5	#FF00FF
zzzz412	5	#FF00FF
zzzz416	5	#FF00FF
zzzz420	5	#FF00FF
zzzz429	5	#FF00FF
zzzzz41	5	#FF00FF
zzzzz55	5	#FF00FF
zzzz138	6	#808080
zzzz161	6	#808080
zzzz163	6	#808080
zzzz238	6	#808080
zzzz299	6	#808080
zzzz318	6	#808080
zzzz335	6	#808080
zzzz388	6	#808080
zzzz157	7	#00FFFF
zzzz185	7	#00FFFF
zzzz223	7	#00FFFF
zzzz233	7	#00FFFF
zzzz415	7	#00FFFF
zzzz431	7	#00FFFF
zzzzz40	7	#00FFFF
zzzz285	8	#FFC0CB
zzzz394	8	#FFC0CB
zzzz424	8	#FFC0CB
zzzzz25	8	#FFC0CB
zzzzz94	8	#FFC0CB
zzzz156	9	#FF69B4
zzzz244	9	#FF69B4
zzzz293	9	#FF69B4
zzzz332	9	#FF69B4
zzzzz30	9	#FF69B4
zzzz136	10	#808000
zzzz204	10	#808000
zzzz342	10	#808000
zzzz356	10	#808000
zzzzz60	10	#808000
zzzz287	11	#FA8072
zzzz313	11	#FA8072
zzzzz45	11	#FA8072
zzzzz87	11	#FA8072
zzzz266	12	#EE82EE
zzzz303	12	#EE82EE
zzzz397	12	#EE82EE
zzzzz38	12	#EE82EE
zzzz229	13	#006400
zzzz284	13	#006400
zzzz414	13	#006400
zzzzz52	13	#006400
zzzz367	14	#00FF00
zzzz410	14	#00FF00
zzzzz10	14	#00FF00
zzzz260	15	#B259B2
zzzz263	15	#B259B2
zzzz117	16	#003366
zzzzz33	16	#003366
zzzz359	17	#7FFFBF
zzzzzz5	17	#7FFFBF
zzzz148	18	#8000FF
zzzz248	18	#8000FF
zzzz111	19	#B25900
zzzz295	19	#B25900
