UniProt ID	Cluster Number	Cluster Color
zzzz100	1	#FF0000
zzzz114	1	#FF0000
zzzz124	1	#FF0000
zzzz125	1	#FF0000
zzzz129	1	#FF0000
zzzz130	1	#FF0000
zzzz136	1	#FF0000
zzzz137	1	#FF0000
zzzz141	1	#FF0000
zzzz143	1	#FF0000
zzzz148	1	#FF0000
zzzz151	1	#FF0000
zzzz172	1	#FF0000
zzzz174	1	#FF0000
zzzz178	1	#FF0000
zzzz183	1	#FF0000
zzzz185	1	#FF0000
zzzz197	1	#FF0000
zzzz200	1	#FF0000
zzzz201	1	#FF0000
zzzz205	1	#FF0000
zzzz215	1	#FF0000
zzzz217	1	#FF0000
zzzz218	1	#FF0000
zzzzz11	1	#FF0000
zzzzz17	1	#FF0000
zzzzz20	1	#FF0000
zzzzz23	1	#FF0000
zzzzz42	1	#FF0000
zzzzz47	1	#FF0000
zzzzz50	1	#FF0000
zzzzz55	1	#FF0000
zzzzz58	1	#FF0000
zzzzz70	1	#FF0000
zzzzz73	1	#FF0000
zzzzz79	1	#FF0000
zzzzz81	1	#FF0000
zzzzz82	1	#FF0000
zzzzz86	1	#FF0000
zzzzz90	1	#FF0000
zzzzz92	1	#FF0000
zzzzz93	1	#FF0000
zzzzz98	1	#FF0000
zzzzzz0	1	#FF0000
zzzzzz8	1	#FF0000
zzzzzz9	1	#FF0000
zzzz102	2	#0000FF
zzzz109	2	#0000FF
zzzz115	2	#0000FF
zzzz118	2	#0000FF
zzzz139	2	#0000FF
zzzz142	2	#0000FF
zzzz156	2	#0000FF
zzzz157	2	#0000FF
zzzz160	2	#0000FF
zzzz171	2	#0000FF
zzzz177	2	#0000FF
zzzz193	2	#0000FF
zzzz194	2	#0000FF
zzzz203	2	#0000FF
zzzz207	2	#0000FF
zzzz223	2	#0000FF
zzzzz30	2	#0000FF
zzzzz31	2	#0000FF
zzzzz43	2	#0000FF
zzzzz45	2	#0000FF
zzzzz61	2	#0000FF
zzzzz85	2	#0000FF
zzzz104	3	#FFA500
zzzz111	3	#FFA500
zzzz128	3	#FFA500
zzzz152	3	#FFA500
zzzz153	3	#FFA500
zzzz173	3	#FFA500
zzzz180	3	#FFA500
zzzz190	3	#FFA500
zzzz199	3	#FFA500
zzzz202	3	#FFA500
zzzz216	3	#FFA500
zzzz220	3	#FFA500
zzzz221	3	#FFA500
zzzz222	3	#FFA500
zzzzz13	3	#FFA500
zzzzz15	3	#FFA500
zzzzz18	3	#FFA500
zzzzz19	3	#FFA500
zzzzz49	3	#FFA500
zzzzz56	3	#FFA500
zzzzz87	3	#FFA500
zzzzzz2	3	#FFA500
zzzz132	4	#008000
zzzz145	4	#008000
zzzz163	4	#008000
zzzz175	4	#008000
zzzz176	4	#008000
zzzz188	4	#008000
zzzz189	4	#008000
zzzz191	4	#008000
zzzzz24	4	#008000
zzzzz33	4	#008000
zzzzz34	4	#008000
zzzzz60	4	#008000
zzzzz88	4	#008000
zzzzz95	4	#008000
zzzzz96	4	#008000
zzzzzz7	4	#008000
zzzz106	5	#FF00FF
zzzz107	5	#FF00FF
zzzz187	5	#FF00FF
zzzzz46	5	#FF00FF
zzzzz57	5	#FF00FF
zzzzz59	5	#FF00FF
zzzzz71	5	#FF00FF
zzzzz75	5	#FF00FF
zzzzz91	5	#FF00FF
zzzzzz4	5	#FF00FF
zzzz147	6	#808080
zzzz158	6	#808080
zzzz179	6	#808080
zzzz186	6	#808080
zzzz213	6	#808080
zzzz214	6	#808080
zzzz208	7	#00FFFF
zzzz209	7	#00FFFF
zzzz211	7	#00FFFF
zzzz116	8	#FFC0CB
zzzz119	8	#FFC0CB
zzzzz62	8	#FFC0CB
zzzz105	9	#FF69B4
zzzz196	9	#FF69B4
zzzzzz1	9	#FF69B4
zzzz122	10	#808000
zzzz150	10	#808000
zzzz198	10	#808000
zzzz103	11	#FA8072
zzzz110	11	#FA8072
zzzzz80	11	#FA8072
zzzz140	12	#EE82EE
zzzzz51	12	#EE82EE
zzzzz67	12	#EE82EE
zzzz112	13	#006400
zzzz134	13	#006400
zzzzz99	13	#006400
zzzz126	14	#00FF00
zzzz127	14	#00FF00
zzzz206	14	#00FF00
zzzzz27	15	#B259B2
zzzzz68	15	#B259B2
zzzzz65	16	#003366
zzzzz66	16	#003366
zzzz169	17	#7FFFBF
zzzz170	17	#7FFFBF
zzzz165	18	#8000FF
zzzz166	18	#8000FF
zzzz117	19	#B25900
zzzzz72	19	#B25900
zzzz113	20	#592C00
zzzzz22	20	#592C00
zzzz135	21	#800000
zzzzz84	21	#800000
zzzzz28	22	#0080FF
zzzzz44	22	#0080FF
